book,chapter,verse_number,text
Exodus,1,1,"Iyo ini an mga aki ni Jacob na nag-iriba saiya pasiring sa Egipto, kaiba an saindang mga pamilya:"
Exodus,1,2,"si Ruben, Simeon, Levi, Juda,"
Exodus,1,3,"Issakar, Zabulon, Benjamin,"
Exodus,1,4,"Dan, Neftali, Gad, asin Aser."
Exodus,1,5,"Setenta gabos an kapagarakian ni Jacob. Si Jose na saro pa niyang aki, haloy na sa Egipto."
Exodus,1,6,"Dangan nagadan si Jose, an saiyang mga tugang asin an gabos na henerasyon na idto."
Exodus,1,7,"Alagad an saindang kapagarakian, an mga Israelita, nagkaigwa nin dakul na mga aki kaya kuminosog sinda asin napano ninda an Egipto."
Exodus,1,8,Dangan nagkaigwa an Egipto nin bagong hade na dai midbid si Jose.
Exodus,1,9,"Nagsabi an hade sa saiyang banwaan, “Dakul nang marahay an mga Israelita asin mas makosog na ki sa sato."
Exodus,1,10,"Kaipuhan magin tuso kita tanganing mapugol an saindang pagdakul, ta kun magkagera, tibaad umapil sinda sa satong mga kaiwal, labanan kita dangan bayaan an satong daga.”"
Exodus,1,11,"Kaya nagbugtak sinda nin mga makuring parapamahala tanganing pasakitan an mga Israelita sa paagi nin mga magabat na trabaho. Ipinatugdok sa sainda kan hade an Pitom asin Rameses, mga syudad na sarayan kan mga pagkakan asin kagamitan."
Exodus,1,12,"Alagad kun kasuarin pinasakitan an mga Israelita, lalo logod sindang nagdakul asin orog na nakalakop sa daga nin Egipto. Natakot an mga Egipcio sa mga Israelita"
Exodus,1,13,kaya ginibo nindang makaherak an buhay kan mga ini sa paagi nin magagabat na trabaho.
Exodus,1,14,Mayong pagkaherak na pinirit nindang magtrabaho an mga Israelita sa saindang mga proyektong pagtugdok nin mga edipisyo asin sa gabos na trabaho sa saindang oma.
Exodus,1,15,"Dangan sinabihan kan hade si Sifra asin si Pua, mga parterang nagpapaaki sa mga babaeng Hebreyo."
Exodus,1,16,"“Kun kamo magpaaki sa mga babaeng Hebreyo, gadanon nindo an aki kun lalaki alagad pabayaan nindong mabuhay kun babae.”"
Exodus,1,17,Alagad dai sinunod kan mga partera an pagboot kan hade huli ta may pagkatakot sinda sa Dios; pinabayaan nindang mabuhay an mga aking lalaki.
Exodus,1,18,"Kaya ipinaapod sinda kan hade dangan hinapot, “Tano ta dai kamo nagsunod? Tadaw ta pinabayaan nindong mabuhay an mga aking lalaki?”"
Exodus,1,19,"Nagsimbag sinda, “Iba kaya an mga babaeng Hebreyo sa mga babaeng taga Egipto; bako sindang masakit mangaki, kaya bago umabot an saro samo, nakapangaki na sinda.”"
Exodus,1,20,"Huli kaini, benendisyonan nin Dios an mga partera asin tinawan niya sinda nin dakul na mga aki."
Exodus,1,21,Padagos man na nagdakul asin nagkosog an mga Israelita.
Exodus,1,22,"Kaya nagboot an hade sa mga Egipcio, “Itapok nindo sa Salog nin Nilo an lambang bagong mamundag na lalaki sa mga Hebreyo, alagad pabayaan nindong mabuhay an gabos na aking babae.”"
Exodus,2,1,"Kan panahon na ini, may sarong lalaki sa tribu ni Levi na nag-agom nin sarong babaeng katribu niya."
Exodus,2,2,"Nagbados an babae asin nag-aki nin lalaki. Kan mahiling kan ina na magayon an aki, tolong bulan niya ining itinago."
Exodus,2,3,"Alagad kan dai na niya ini pwedeng itago, kuminua siya nin basket na gibo sa bariw asin linahidan niya nin aspalto tanganing dai laogon nin tubig. Ilinaog niya an saiyang aki sa basket, dangan iwinalat sa tahaw kan mga talahib sa gilid kan salog."
Exodus,2,4,An aki binantayan kan tugang niyang babae sa horoharayo tanganing hilingon kun ano an mangyayari saiya.
Exodus,2,5,"Kan magduman sa salog an aking babae kan hade tanganing magkarigos, mantang naglalakaw-lakaw sa pangpang an saiyang mga katabang, nahiling niya an basket sa tahaw kan mga talahib. Ipinakua niya idto sa sarong katabang."
Exodus,2,6,"Kan bukasan niya an basket, nahiling niya an aking lalaki na naghihibi kaya naherak siya. “Saro ini sa mga aking Hebreyo,” an sabi niya."
Exodus,2,7,"Nagrani sa prinsesa an tugang kan aki dangan naghapot, “Gusto mong ihanap taka nin babaeng Hebreyo na mag-aataman sa aking iyan?”"
Exodus,2,8,"“Sige, ihanap mo ako,” an simbag kan prinsesa. Kaya naghale an aking babae asin kinua niya an ina kan aki."
Exodus,2,9,"Sinabihan kan prinsesa an babae, “Atamanon mo an aking ini asin babayadan taka.” Kaya dinara kan babae an aki asin inataman."
Exodus,2,10,"Kan dakula na an aki, ibinalik siya kan saiyang ina sa prinsesa, asin inako siya kaini bilang sadiring aki. Nagsabi an prinsesa, “Ngangaranan ko siyang Moises huli ta hinawas ko siya sa tubig.”"
Exodus,2,11,"Kan soltero na si Moises, dinalaw niya an kapwa niya mga Hebreyo, asin nahiling niyang pinapasakitan sinda sa paagi nin magagabat na trabaho. Nahiling pa niya kan pinapakol nin sarong Egipcio an sarong kapwa niya Hebreyo."
Exodus,2,12,"Nangalag-kalag si Moises asin kan mahiling niyang mayo man nin ibang tawo, ginadan niya an Egipcio dangan tinahoban nin baybay."
Exodus,2,13,"Sunod na aldaw, nagbalik siya asin nahiling niyang nag-iiwal an duwang Hebreyo. Hinapot niya an may sala, “Tadaw ta kinukulog mo an kapwa mo Hebreyo?”"
Exodus,2,14,"Nagsimbag an lalaki, “Siisay an nagbugtak saimo na magin samong pamayo asin hukom? Ano, gagadanon mo man ako arog kan ginibo mo sa Egipcio?” Natakot si Moises asin nagsaboot, “Aram na palan an ginibo ko.”"
Exodus,2,15,"Kan maaraman kan hade an nangyari, naghingowa siyang gadanon si Moises, alagad nagdulag ini pasiring sa Midian tanganing duman na mag-erok."
Exodus,2,16,"Kan nagtutukaw si Moises sa may bubon, uminabot an pitong aking daraga ni Jetro na padi kan Midian, tanganing magharok nin tubig para sa mga raraan kan mga karnero asin kanding kan saindang ama."
Exodus,2,17,May nag-abot man na mga pastor asin pinalayas sinda. Alagad sinurog ni Moises an mga babae asin pinainom an mga hayop ninda.
Exodus,2,18,"Pagpuli ninda, naghapot an saindang ama, “Tadaw ta naamay kamo ngunyan?”"
Exodus,2,19,"“Sinurog kaya kami nin sarong Egipcio kan palayason kami kan mga pastor,” an simbag ninda. “Ihinarok pa ngani niya kami nin tubig dangan pinainom an mga hayop.”"
Exodus,2,20,“Haen siya?” an hapot ni Jetro sa saiyang mga aki. “Tano ta binayaan nindo siya duman? Balik kamo asin alokon nindo siyang magkakan digdi sato.”
Exodus,2,21,Pinagmarahay ni Moises na duman na mag-erok. Dangan ipinaagom ni Jetro saiya an aki niyang si Zippora.
Exodus,2,22,"Nag-aki si Zippora nin lalaki. Nagsaboot si Moises, “Ngangaranan ko siyang Gersom huli ta saro akong dayuhan sa dagang ini.”"
Exodus,2,23,"Pakalihis nin halawig na panahon, nagadan an hade nin Egipto, alagad an mga Israelita padagos na nasa kaoripnan. Kaya nag-agrangay sinda sa sobrang pagtios—inagrangay na nakaabot sa Dios."
Exodus,2,24,"Nadangog sinda nin Dios asin nagiromdoman niya an saiyang tipan ki Abraham, ki Isaac asin ki Jacob."
Exodus,2,25,Nahiling niya an kamugtakan kan mga Israelita kaya naherak siya sainda.
Exodus,3,1,"Kan panahon na iyan si Moises iyo an nag-aataman kan mga karnero asin mga kanding kan panugangan niyang si Jetro, na padi kan Midian. Sarong aldaw, inalaw niya an mga hayop pasiring sa solnopan kan kalangtadan sagkod na nakaabot siya sa Sinai, an bukid nin Dios."
Exodus,3,2,Nagpahiling saiya duman an anghel nin Kagurangnan sa laad nin kalayo na naghahale sa tahaw kan sarong marambong na tinanom. Nahiling niya na nagkakalayo an marambong na tinanom alagad dai man ini nasusulo.
Exodus,3,3,“Makangangalas!” an sabi niya. “Ranihon ko daw asin hilingon kun tano ta dai ini nasusulo.”
Exodus,3,4,"Kan mahiling nin Kagurangnan na nagrarani si Moises, nag-apod siya hale sa tahaw kan nagkakalayong tinanom, “Moises! Moises!” “Uya ako,” an simbag ni Moises."
Exodus,3,5,"Nagtaram an Kagurangnan , “Dai ka magrani. Halea an saimong mga sandalyas, huli ta banal an lugar na saimong natitindogan."
Exodus,3,6,"Ako an Dios nin saimong mga magurang, an Dios ni Abraham, ni Isaac, asin ni Jacob.” Kaya tinahoban ni Moises an saiyang lalawogon huli ta natakot siyang maghiling sa Dios."
Exodus,3,7,"Nagtaram pa an Kagurangnan , “Nahiling ko an grabeng kasakitan kan sakong banwaan sa Egipto. Nadangog ko an saindang inagrangay na iligtas sinda sa mga nag-ooripon sa sainda. Naaaraman ko an gabos nindang tinitios,"
Exodus,3,8,"kaya naghilig ako tanganing iligtas sinda sa mga Egipcio asin darahon sa dagang matubang, mahiwas asin mayaman sa gabos na bagay. Dadarahon ko sinda sa dagang pinag-eerokan ngunyan kan mga Cananeo, Heteo, Amoreo, Perezeo, Heveo asin Jebuseo."
Exodus,3,9,Nadangog ko an inagrangay kan sakong banwaan asin nahiling ko an pag-api sainda kan mga Egipcio.
Exodus,3,10,Ngunyan susugoon taka sa hade tanganing ikaluwas mo sa Egipto an mga Israelita na sakong banwaan.”
Exodus,3,11,"Alagad nagsimbag si Moises sa Dios, “Siisay man ako na maduman sa hade nin Egipto tanganing iluwas sa saiyang nasyon an mga Israelita?”"
Exodus,3,12,"Nagtaram an Dios, “Iibahan taka, asin iyan an patotoo na sinugo taka. Sa panahon na ikaluwas mo na sa Egipto an mga tawo, sasambahon nindo ako sa bukid na ini.”"
Exodus,3,13,"Alagad nagsimbag si Moises, “Kun magduman ako sa mga Israelita asin magsabi sainda, ‘Sinugo ako kan Dios nin saindong mga ginikanan,’ dangan hapoton ninda ako kun ano an saimong ngaran, ano an sasabihon ko?”"
Exodus,3,14,"Nagtaram an Dios, “AKO IYO AKO. Sabihan mo sinda: ‘An inaapod na IYO AKO an nagsugo sako sa saindo.’"
Exodus,3,15,"Sabihan mo man an mga Israelita na an Kagurangnan , an Dios kan saindang mga ginikanan, ni Abraham, ni Isaac, asin ni Jacob, iyo an nagsugo saimo sa sainda. Iyo ini an sakong ngaran sagkod pa man. Gigiromdomon ako sa ngaran na ini sa gabos na henerasyon."
Exodus,3,16,"Lakaw asin tipona an mga lider nin Israel dangan sabihan mo sinda na Ako, an Kagurangnan , an Dios kan saindang mga ginikanan, an Dios ni Abraham, ni Isaac, asin ni Jacob nagpahiling saimo. Sabihan mo na dinalaw ko sinda asin nahiling ko kun ano an ginigibo sainda kan mga Egipcio."
Exodus,3,17,"Nangangako ako na iluluwas ko sinda sa Egipto na nag-ooripon sa sainda asin dadarahon ko sinda sa mayaman saka matubang na daga kan mga Cananeo, Heteo, Amoreo, Perezeo, Heveo, asin Jebuseo."
Exodus,3,18,"“Dadangogon ka kan sakong banwaan; dangan, kaiba an mga lider nin Israel, magduman kamo sa hade nin Egipto asin sabihan nindo siya, ‘An Kagurangnan , an Dios kan mga Hebreyo, nagpahiling sa samo. Ngunyan, tugote kaming maglakaw nin tolong aldaw pasiring sa kalangtadan tanganing mag-atang sa Kagurangnan , na samuyang Dios.’"
Exodus,3,19,Aram kong dai matugot an hade na maghale kamo sagkod na dai siya mapiritan.
Exodus,3,20,Kaya gagamiton ko an sakong kapangyarihan asin papadusahan ko an Egipto sa paagi nin makangingirhat na mga bagay na gigibohon ko duman. Pakatapos kaiyan papahaleon na niya kamo.
Exodus,3,21,"“Gigibohon kong igalang kamo kan mga Egipcio tanganing paghale nindo, may dara kamo."
Exodus,3,22,"An lambang babaeng Israelita mahagad nin gubing, alahas na plata asin bulawan sa saiyang mga kataed o sa mga Egipciong nag-eerok sa saiyang harong. Isusulot ninda iyan sa saindang mga aki, kaya madadara ninda an kayamanan kan mga Egipcio.”"
Exodus,4,1,"Dangan naghapot si Moises sa Kagurangnan , “Halimbawang dai magtubod asin magdangog sako an mga Israelita, ano an gigibohon ko kun magsabi sindang dai ka man nagpahiling sa sako?”"
Exodus,4,2,"Kaya hinapot man siya nin Kagurangnan , “Ano iyan na nakakapotan mo?” “Sarong sugkod,” an simbag ni Moises."
Exodus,4,3,"Nagtaram an Kagurangnan , “Tapokan iyan sa daga.” Pagkatapokan ni Moises kan sugkod, nagin halas idto, kaya duminulag siya."
Exodus,4,4,"Dangan tinaraman nin Kagurangnan si Moises, “Dakopa sa ikog an halas.” Kaya dinakop ni Moises an halas asin ini nagin sugkod giraray."
Exodus,4,5,"Nagtaram an Kagurangnan , “Arog kaiyan an gibohon mo tanganing tumubod an mga Israelita na nagpahiling saimo an Kagurangnan , an Dios kan saindang mga ginikanan, an Dios ni Abraham, ni Isaac, asin ni Jacob.”"
Exodus,4,6,"Nagtaram pa an Kagurangnan ki Moises, “Laogan an saimong kamot sa saimong gubing sa may daghan.” Nagsunod si Moises; kan iluwas niya ini, maputi nang marahay huli sa daot."
Exodus,4,7,"“Laogan giraray an saimong kamot,” pasunod nin Dios ki Moises. Ilinaog niya ini asin kan iluwas niya giraray, an saiyang kamot mayo nang daot."
Exodus,4,8,"Nagtaram an Dios, “Kun dai ka ninda tubodan sa enot na ngangalasan pwedeng sa ikaduwa."
Exodus,4,9,"Kun habo pa nanggad sindang magtubod sa duwang ngangalasan na ini asin habong magdangog saimo, kumua ka nin tubig sa Salog nin Nilo asin iula mo sa mamarang daga. An tubig magigin dugo.”"
Exodus,4,10,"Alagad nagsabi si Moises, “Hare ako pagsugoa, Kagurangnan . Maluya asin kamol akong magtaram. Dati akong maluyang magtaram poon kaidto sagkod ngunyan na makipag-olay ka sako.”"
Exodus,4,11,"Nagtaram saiya an Kagurangnan , “Siisay an nagtatao nin ngoso sa tawo? Siisay an may kapangyarihan na gibohon siyang bongog o pola, may pakahiling o buta? Bakong ako, an Kagurangnan ?"
