book,chapter,verse_number,text
Genesis,1,1,"Sa kapinonan, kan lalangon nin Dios an kalangitan asin an daga,"
Genesis,1,2,an kinaban mayo nin ano man na porma saka laog. An nag-aalimbukay na kadagatan na minatahob kaini napapatos nin kadikloman asin an espiritu nin Dios naghihiro sa ibabaw kan katubigan.
Genesis,1,3,"Nagboot an Dios, “Magkaigwa nin liwanag,” asin nagkaigwa nin liwanag."
Genesis,1,4,Nahiling nin Dios na marahay an liwanag. Isinuhay niya an liwanag sa kadikloman
Genesis,1,5,"dangan inapod niyang “Aldaw” an liwanag, asin an kadikloman inapod niyang “Banggi.” Nagkahapon dangan nagkaaga: an enot na aldaw."
Genesis,1,6,"Dangan nagboot an Dios, “Magkaigwa nin kahiwasan na masuhay kan katubigan tanganing mamugtak ini sa duwang lugar.”"
Genesis,1,7,Nangyari ini. Ginibo nin Dios an kahiwasan na nagsuhay kan tubig na nasa irarom sa tubig na nasa ibabaw.
Genesis,1,8,An kahiwasan inapod niyang “Kalangitan.” Nagkahapon dangan nagkaaga: an ikaduwang aldaw.
Genesis,1,9,"Dangan nagboot an Dios, “Magkatiripon sa saro sanang lugar an katubigan sa irarom kan kalangitan tanganing mahiling an mamarang kadagaan,” asin ini nangyari."
Genesis,1,10,"An mamarang kadagaan inapod niyang “Daga,” asin an nagkatiripon na katubigan inapod niyang “Dagat.” Nahiling nin Dios na ini marahay."
Genesis,1,11,"Dangan nagboot siya, “Magkaigwa sa daga kan gabos na klase nin tinanom na nagtatao nin banhi asin nin kahoy na nagtatao nin bunga.” Nangyari ini."
Genesis,1,12,"Kaya nagtaralubo sa daga an gabos na klase nin tinanom asin kahoy, saka nahiling nin Dios na ini marahay."
Genesis,1,13,Nagkahapon dangan nagkaaga: an ikatolong aldaw.
Genesis,1,14,"Dangan nagboot an Dios, “Magtunga sa kalangitan an mga ilaw tanganing masuhay an aldaw sa banggi, asin tanganing maaraman kun nuarin mapoon an mga aldaw, an mga taon patin an mga panahon."
Genesis,1,15,Magliliwanag an mga ini sa kalangitan tanganing magtao nin liwanag sa daga.” Nangyari ini.
Genesis,1,16,Kaya ginibo nin Dios an duwang darakulang ilaw: an aldaw na masakop kan bilog na maghapon asin an bulan na masakop kan bilog na banggi; ginibo man niya an mga bitoon.
Genesis,1,17,"Ibinugtak niya sa kalangitan an mga ilaw tanganing magtao nin liwanag sa daga,"
Genesis,1,18,"magsakop kan aldaw saka banggi, asin magsuhay kan liwanag sa kadikloman. Nahiling nin Dios na ini marahay."
Genesis,1,19,Nagkahapon dangan nagkaaga: an ikaapat na aldaw.
Genesis,1,20,"Dangan nagboot an Dios, “Magkaigwa nin manlaen-laen na may buhay an katubigan asin nin manlaen-laen na gamgam an kaitaasan.”"
Genesis,1,21,"Kaya linalang nin Dios an mga darakula saka makangirhat na linalang sa katubigan, an gabos na nabubuhay diyan asin an gabos na klase nin gamgam. Nahiling nin Dios na ini marahay."
Genesis,1,22,"Benendisyonan niya ini gabos asin tinaraman, “Magdakul kamo asin panoon nindo an kadagatan asin magdakul man an mga gamgam sa daga.”"
Genesis,1,23,Nagkahapon dangan nagkaaga: an ikalimang aldaw.
Genesis,1,24,"Dangan nagboot an Dios, “Magkaigwa sa daga kan gabos na hayop: manso asin lalaw, dakula saka sadit,”—asin nangyari ini."
Genesis,1,25,Kaya ginibo nin Dios ini gabos asin nahiling niya na ini marahay.
Genesis,1,26,"Dangan nagtaram an Dios, “Ngunyan gibohon ta an katawohan sa satong ladawan; gibohon ta sindang arog sato. Magkakaigwa sinda nin kapangyarihan sa mga sira, sa mga gamgam, asin sa gabos na hayop, manso man o lalaw, dakula man o sadit.”"
Genesis,1,27,Kaya linalang nin Dios an katawohan siring sa saiyang ladawan; linalang niya sindang lalaki asin babae.
Genesis,1,28,"Benendisyonan niya sinda dangan tinaraman, “Magmabinunga asin magdakul kamo; panoon nindo an bilog na kinaban asin pamahalaan iyan. Magkaigwa kamo nin kapangyarihan sa mga sira, sa mga gamgam asin sa gabos na hayop."
Genesis,1,29,Itinatao ko saindo an gabos na klase nin tinanom na nagtatao nin banhi asin nin mga kahoy na nagtatao nin bunga; iyan an saindong magigin pagkakan.
Genesis,1,30,"Sa gabos na hayop asin gamgam, itinatao ko an mga doot saka an mga madahon na tinanom, bilang pagkakan.” Nangyari ini."
Genesis,1,31,Nahiling nin Dios na an gabos niyang ginibo orog karahay. Nag-aga dangan naghapon–iyo idto an ikaanom na aldaw.
Genesis,2,1,Kaya nahaman an kalangitan asin an daga.
Genesis,2,2,"Kan matapos nin Dios an gabos niyang gibo, nagpahingalo siya sa ikapitong aldaw."
Genesis,2,3,"Kaya benendisyonan niya asin pinabanal an ikapitong aldaw, huli ta sa aldaw na iyan nagpahingalo siya sa gabos niyang gibo nin paglalang."
Genesis,2,4,"Siring kaini an pagkalalang kan kalangitan asin kan daga. Kan gibohon nin Kagurangnan Dios an kalangitan asin an daga,"
Genesis,2,5,"mayo nin ano man na tinanom asin banhi na nagtalubo sa ibabaw nin daga, huli ta dai pa niya pinapauran asin mayo pa nin mag-aataman;"
Genesis,2,6,alagad an tubig hale sa irarom kan daga iyo an nakakadumog sa daga.
Genesis,2,7,Dangan nagkua nin kabokabo hale sa daga an Kagurangnan Dios; pinorma niyang tawo asin hinangosan sa dungo kan hinangos nin buhay asin an tawo nagin sarong buhay na linalang.
Genesis,2,8,"Dangan nagbugtak an Kagurangnan Dios nin sarong tatamnan sa Eden sa parteng sirangan, asin duman niya ibinugtak an tawo na saiyang ginibo."
Genesis,2,9,"Pinatalubo niya duman an manlaen-laen na kahoy na magayon paghilingon asin nagtatao nin masiram na bunga. Sa tahaw kan tatamnan idtoon an kahoy na nagtatao nin buhay, saka an kahoy na nagtatao nin pakaaram kan marahay asin kan maraot."
Genesis,2,10,May sarong salog na nagbubulos sa Eden asin nagpapatubig kan tatamnan; pakaluwas sa Eden minasanga ini asin nagigin apat na salog.
Genesis,2,11,An enot iyo an Pison; minabulos ini sa palibot kan daga nin Havila.
Genesis,2,12,"Digdi makukua an purong bulawan, an mga pambihirang pahamot asin mga batong oniks."
Genesis,2,13,An ikaduwa iyo an Gihon na minabulos sa palibot kan daga nin Cus
Genesis,2,14,An ikatolo iyo an Tigris na minabulos sa sirangan kan Asiria asin an ikaapat iyo an Eufrates.
Genesis,2,15,Dangan ibinugtak nin Kagurangnan Dios an tawo sa tatamnan nin Eden tanganing pangatamanon asin bantayan ini.
Genesis,2,16,"Tinaraman niya an tawo, “Pwede mong kakanon an bunga kan arin man na kahoy digdi"
Genesis,2,17,"alagad dai ka nanggad magkakan kan bunga kan kahoy nin pakaaram kan marahay asin kan maraot; sa oras na magkakan ka, magagadan ka.”"
Genesis,2,18,"Dangan nagtaram an Kagurangnan Dios, “Bakong marahay na magsolo-solo an tawo. Magibo ako nin sarong maninigong kaibahan niya na makakatabang saiya.”"
Genesis,2,19,Hale sa daga ginibo nin Kagurangnan Dios an gabos na hayop asin gamgam dangan dinara niya an mga ini sa tawo tanganing ngaranan; an inginaran sainda iyo na an pag-apod sainda.
Genesis,2,20,Kaya nginaranan kan tawo an gabos na gamgam asin hayop alagad dai siya nakakua nin sarong maninigong kaibahan na makakatabang saiya.
Genesis,2,21,"Kaya pinatorog nin Kagurangnan Dios an tawo asin mantang torog pa ini, kuminua siya nin sarong gusok dangan isinara niya an laman."
Genesis,2,22,Guminibo siya nin sarong babae hale sa gusok asin dinara niya ini sa lalaki.
Genesis,2,23,"Dangan nagsabi an lalaki, “Ini nanggad an tolang kan sakong tolang asin an laman kan sakong laman. Aapodon siyang ‘Babae’ huli ta kinua siya hale sa lalaki.”"
Genesis,2,24,"Kaya babayaan nin lalaki an saiyang ama saka ina dangan masaro sa saiyang agom na babae, asin sindang duwa magigin saro."
Genesis,2,25,"An lalaki asin babae parehong huba, alagad dai sinda nasopog."
Genesis,3,1,"Sa gabos na hayop na ginibo nin Kagurangnan Dios, an halas an pinakatuso. Hinapot kan halas an babae, “Totoo mananggad na tinaraman kamo nin Dios na dai magkakan kan bunga kan arin man na kahoy sa laog kan tatamnan?”"
Genesis,3,2,"Nagsimbag an babae, “Pwede ming kakanon an bunga kan arin man na kahoy sa laog kan tatamnan"
Genesis,3,3,"alagad tinaraman kami nin Dios na dai nanggad kami magkakan o magdotdot kan bunga kan kahoy sa tahaw kan tatamnan; kun gibohon mi iyan, magagadan kami.”"
Genesis,3,4,"Alagad nagsimbag an halas, “Bakong totoo iyan; dai kamo magagadan."
Genesis,3,5,"Itinaram iyan nin Dios huli ta aram niya na sa oras na kumakan kamo kaiyan, makakaarog kamo sa Dios asin maaaraman na nindo an marahay asin an maraot.”"
Genesis,3,6,Nahiling kan babae na magayon an kahoy asin garo masiram pagkakanon an bunga kaini patin naisip niya na an kahoy makakatao nin kadonongan. Kaya kuminua siya kan bunga dangan kuminakan. Dangan tinawan man niya an saiyang agom asin kuminakan man ini.
Genesis,3,7,"Pakatapos nindang magkakan, nagkaigwa sinda nin pakasabot, asin naaraman ninda na sinda huba; kaya nagtahi sinda nin mga dahon kan higera dangan ginibo ninda ining pantahob sa saindang hawak."
Genesis,3,8,"Kan hapon na idto nadangog nindang naglalakaw sa tatamnan an Kagurangnan Dios, kaya nagtago sinda sa kakahoyan."
Genesis,3,9,"Alagad inapod nin Kagurangnan Dios an lalaki, “Haen ka?”"
Genesis,3,10,"Nagsimbag siya, “Nadangog taka sa tatamnan; natakot ako kaya nagtago ako huli ta huba ako.”"
Genesis,3,11,“Siisay an nagsabi saimo na huba ka?” an hapot nin Dios. “Nagkakan ka kan bunga kan kahoy na ipinapangalad ko?”
Genesis,3,12,"Nagsimbag an lalaki, “An babaeng itinao mo tanganing magin kaibahan ko iyo an nagtao sako kan bunga, kaya nagkakan ako.”"
Genesis,3,13,"Hinapot nin Kagurangnan Dios an babae, “Tano ta ginibo mo ini?” Nagsimbag an babae, “Dinaya ako kan halas kaya nagkakan ako.”"
Genesis,3,14,"Dangan tinaraman nin Kagurangnan Dios an halas, “Huli ta ginibo mo ini, isinusumpa taka sa gabos na hayop. Poon ngunyan magkakamang ka asin kabokabo an saimong kakakanon sa bilog mong pagkabuhay."
Genesis,3,15,"Papag-iwalon ko kamo asin an babae; an saimong banhi asin an saiyang banhi: roronoton kaini an saimong payo, asin hahampakon mo an saiyang bool.”"
Genesis,3,16,"Dangan tinaraman niya an babae, “Dadagdagan ko an kulog na titioson mo sa saimong pagbados asin pag-aki. Alagad, dai mawawara an saimong pagmawot para sa saimong agom asin siya an saimong pagkukuyogon.”"
Genesis,3,17,"Pakatapos, tinaraman niya si Adan, “Huli ta dinangog mo an saimong agom asin nagkakan ka kan bunga na dai ko saimo ipinapakakan, isinusumpa ko an daga huli saimo. Kaipuhan na maglapigot ka sa pagtrabaho sa bilog mong buhay tanganing magkaigwa ka nin pagkakan."
Genesis,3,18,"Matalubo sa daga an mga doot saka mga tonok, asin mapipiritan kang magkakan nin mga tinanom sa kadlagan."
Genesis,3,19,"Magpapatagdo ka nin ganot tanganing mapabunga nin anoman an daga, sagkod na ika magadan. Ginibo ka sa kabokabo nin daga kaya sa kabokabo ka mabalik.”"
Genesis,3,20,"Eva an inginaran ni Adan sa saiyang agom, huli ta siya an ina kan gabos na tawo."
Genesis,3,21,"An Kagurangnan Dios naggibo nin mga gubing hale sa anit nin mga hayop para ki Adan asin sa agom kaini, dangan ginubingan niya sinda."
Genesis,3,22,"Dangan nagtaram an Kagurangnan Dios, “Ngunyan, arog na satuya an tawo: aram na niya an marahay asin an maraot. Kaipuhan dai na siya makakakan kan bunga kan kahoy na nagtatao nin buhay, asin mabuhay sagkod lamang.”"
Genesis,3,23,Kaya pinaluwas siya nin Kagurangnan Dios sa tatamnan nin Eden asin pinapag-oma kan daga na ginikanan niya.
Genesis,3,24,Dangan nagbugtak an Kagurangnan Dios nin mga kerubin sa sirangan na parte kan tatamnan asin nin sarong naglalaad na espada na nagbibirik sa gabos na direksyon tanganing magbantay kan dalan pasiring sa kahoy nin buhay.
Genesis,4,1,"Dinorogan ni Adan si Eva na saiyang agom asin nagbados ini dangan nangaki nin lalaki. Nagsabi an babae, “Huli sa tabang nin Kagurangnan , nakakua ako nin aking lalaki.” Kaya nginaranan niya ini nin Cain."
Genesis,4,2,"Dai nahaloy nangaki pa siya nin saro pang lalaki, si Abel. Siya nagin sarong pastor nin mga karnero alagad si Cain sarong paraoma."
