book,chapter,verse_number,text
Leviticus,1,1,"Hale sa Tabernakulo, inapod nin Kagurangnan si Moises asin tinawan kan minasunod na pagsusundon"
Leviticus,1,2,"na kukuyogon kan mga Israelita kun nagdodolot sinda nin mga sakripisyo. Kun an siisay man saindo magdara nin dolot sa Kagurangnan , pwede niyang darahon an saro kan saiyang mga baka, karnero o kanding."
Leviticus,1,3,"Kun sarong baka an idodolot niya bilang tinutong na atang, kaipuhan lalaki iyan asin mayo nin kaninan. Idodolot niya iyan duman sa may pintoan kan Tabernakulo tanganing akoon siya nin Kagurangnan ."
Leviticus,1,4,"Iduduta niya an saiyang kamot sa ibabaw kan payo kan hayop, asin aakoon iyan bilang pantubos kan saiyang mga kasalan."
Leviticus,1,5,"Dangan bubunoon niya an hayop sa atubang nin Kagurangnan , asin an dugo kaiyan idodolot sa Kagurangnan kan mga pading aki ni Aaron. Iuula ninda an dugo sa apat na gilid kan altar na yaon sa may pintoan kan Tabernakulo."
Leviticus,1,6,Dangan aanitan niya an hayop asin pepedasohon.
Leviticus,1,7,An mga padi an mapakarahay kan mga igatong sa altar dangan maamak kaiyan.
Leviticus,1,8,An pinedasong karne kan hayop kaiba an payo asin taba kaiyan ibubugtak ninda sa ibabaw kan kalayo.
Leviticus,1,9,An kagdolot iyo an mahugas kan bituka asin kan nasa hurihan na mga bitis kan hayop. An padi iyo an matutong kan bilog na atang sa altar. An parong kaiyan nawiwilihan nin Kagurangnan .
Leviticus,1,10,"Kun an idodolot kan lalaki saro kan saiyang mga karnero o kanding, kaipuhan na lalaki asin mayong kaninan."
Leviticus,1,11,Bubunoon niya iyan sa parteng amihan kan altar asin an mga padi iyo an maula kan dugo kan hayop sa apat na gilid kan altar.
Leviticus,1,12,"Pakatapos na mapedaso kan lalaking nag-atang an hayop, ibubugtak iyan kan padi sa ibabaw kan kalayo sa altar, kaiba an payo saka an taba."
Leviticus,1,13,"Huhugasan kan kagdolot an bituka asin an nasa hurihan na mga bitis kan hayop, dangan idodolot kan padi an bilog na atang; tututongon niya iyan gabos sa altar. An parong kaiyan nawiwilihan nin Kagurangnan ."
Leviticus,1,14,"Kun an saiyang idodolot bilang tinutong na atang sarong gamgam, kaipuhan na magdara siya nin agbaan o salampati."
Leviticus,1,15,An padi iyo an madara kaiyan sa altar asin pipiripiton niya an liog kan gamgam dangan susuloon an payo kaini duman sa altar. Papatagdoon niya an dugo sa gilid kan altar sagkod na maubos.
Leviticus,1,16,"Pakatapos, hahaleon niya an butsi asin an mga balukag kan gamgam dangan itatapok niya sa parteng sirangan kan altar, sa lugar na binubugtakan kan abo."
Leviticus,1,17,"Dangan kakapotan niya an mag-ibong na pakpak asin babaakon niya an hawak, alagad dai niya pagsusuhayon. Pakatapos, tututongon niyang bilog an gamgam duman sa altar. An parong kaiyan nawiwilihan nin Kagurangnan ."
Leviticus,2,1,"Kun magdara nin trigo an siisay man tanganing idolot sa Kagurangnan bilang dolot na pagkakan, kaipuhan na gilingon niya ngona iyan na magin arina. Uulaan niya iyan nin lana nin oliba asin bubugtakan nin insenso sa ibabaw,"
Leviticus,2,2,"dangan dadarahon niya sa mga pading aki ni Aaron. Mahakbot an padi nin sarong gugom kan arina saka lana, kaiba an gabos na insenso dangan tututongon niya iyan sa altar bilang tanda na an gabos idinolot na sa Kagurangnan . An parong kaiyan nawiwilihan nin Kagurangnan ."
Leviticus,2,3,An tada kan idinolot na pagkakan mapapaduman sa mga padi; banal iyan huli ta kabtang iyan kan pagkakan na idinolot sa Kagurangnan .
Leviticus,2,4,"Kun tinapay na linuto sa horno an idodolot, kaipuhan linuto iyan na mayo nin lebadura. Pwedeng mahibog iyan o manipis, sinalakan nin lana nin oliba o linahidan sana."
Leviticus,2,5,"Kun an idodolot tinapay na linuto sa parilya, kaipuhan gibohon iyan hale sa arina na may salak na lana nin oliba alagad mayo nin lebadura."
Leviticus,2,6,Dangan roronoton ngona iyan asin uulaan nin lana; iyan sarong dolot na pagkakan.
Leviticus,2,7,"Kun an idodolot tinapay na linuto sa kawali, kaipuhan gibohon iyan sa arina asin sa lana nin oliba."
Leviticus,2,8,Darahon nindo iyan bilang dolot na pagkakan sa Kagurangnan asin itao nindo sa padi; an padi an madara kaiyan sa altar.
Leviticus,2,9,Makua nin sadit na kabtang an padi bilang tanda na an gabos idinolot sa Kagurangnan asin tututongon niya iyan sa altar. An parong kaiyan nawiwilihan nin Kagurangnan .
Leviticus,2,10,An tada kan idinolot mapapaduman sa mga padi; banal iyan huli ta kabtang iyan kan pagkakan na idinolot sa Kagurangnan .
Leviticus,2,11,Dai nanggad kamo magdara nin dolot na pagkakan sa Kagurangnan na may lebadura; dai kamo maggamit nin lebadura o dugos sa saindong mga dolot na pagkakan para sa Kagurangnan .
