book,chapter,verse_number,text
Genesis,1,1,Sa sinugdan gibuhat sa Dios ang kalangitan ug ang yuta.
Genesis,1,2,"Ug ang yuta walay dagway ug walay sulod ug ang kangitngit milukop sa nawong sa kahiladman, ug ang Espiritu sa Dios naglihok ibabaw sa katubigan."
Genesis,1,3,"Ug ang Dios miingon, “Motungha ang kahayag,” ug diha ang kahayag."
Genesis,1,4,"Nakita sa Dios nga ang kahayag maayo, ug gilain sa Dios ang kahayag gikan sa kangitngit."
Genesis,1,5,"Ug gitawag sa Dios ang kahayag nga Adlaw, ug ang kangitngit gitawag niya nga Gabii. Dihay kagabhion ug dihay kabuntagon, una nga adlaw."
Genesis,1,6,"Unya ang Dios miingon, “Mahimo ang usa ka wanang taliwala sa mga katubigan ug bahinon niini ang katubigan gikan sa katubigan.”"
Genesis,1,7,Busa gibuhat sa Dios ang wanang ug gilain niya ang katubigan nga diha sa ilalom sa wanang gikan sa katubigan nga diha sa ibabaw sa wanang. Ug nahimo kini.
Genesis,1,8,"Gitawag sa Dios ang wanang nga Langit. Dihay kagabhion ug dihay kabuntagon, ikaduha nga adlaw."
Genesis,1,9,"Unya ang Dios miingon, “Matingob ang katubigan nga anaa sa ubos sa kalangitan ngadto sa usa ka dapit ug motungha ang uga nga yuta.” Ug nahimo kini."
Genesis,1,10,"Ang uga nga dapit gitawag sa Dios nga Yuta, ug ang katubigan nga natingob iyang gitawag nga Kadagatan. Ug nakita sa Dios nga kini maayo."
Genesis,1,11,"Ug miingon ang Dios, “Magpaturok ug mga tanom ang yuta, mga tanom nga maghatag ug liso, ug mga kahoy nga maghatag ug bunga nga anaa ang binhi, ang matag usa sumala sa matang niini diha sa yuta.” Ug nahimo kini."
Genesis,1,12,"Busa ang yuta nagpaturok ug mga tanom, mga tanom nga naghatag ug liso, sumala sa matang niini, ug mga kahoy nga naghatag ug bunga nga anaa ang binhi niini, sumala sa mga matang niini. Ug nakita sa Dios nga kini maayo."
Genesis,1,13,"Dihay kagabhion ug dihay kabuntagon, ikatulo nga adlaw."
Genesis,1,14,"Unya ang Dios miingon, “Mahimo ang mga kahayag diha sa wanang sa kalangitan aron sa paglain sa adlaw gikan sa gabii, ug mahimo nga ilhanan alang sa mga panahon alang sa mga adlaw ug sa mga tuig,"
Genesis,1,15,ug mahimo sila nga mga kahayag diha sa wanang sa kalangitan aron paghatag ug kahayag ibabaw sa yuta.” Ug nahimo kini.
Genesis,1,16,"Busa gibuhat sa Dios ang duha ka dagkong kahayag: ang labaw ug kahayag magdan-ag panahon sa adlaw ug ang gamay ug kahayag magdan-ag panahon sa gabii, ug gibuhat usab niya ang mga bituon."
Genesis,1,17,"Gibutang sila sa Dios diha sa wanang sa kalangitan aron maghatag ug kahayag sa yuta,"
Genesis,1,18,"aron maggahom panahon sa adlaw ug sa gabii, ug aron sa paglain sa kahayag gikan sa kangitngit. Ug nakita sa Dios nga kini maayo."
Genesis,1,19,"Dihay kagabhion ug dihay kabuntagon, ikaupat nga adlaw."
Genesis,1,20,"Unya ang Dios miingon, “Mapuno ang katubigan sa daghan nga buhing binuhat ug manglupad ang kalanggaman sa ibabaw sa yuta diha sa wanang sa kalangitan.”"
