book,chapter,verse_number,text
Leviticus,1,1,"Ang Ginoo mitawag kang Moises ug misulti kaniya gikan sa tolda nga tagboanan, nga nag-ingon,"
Leviticus,1,2,"“Sultihi ang katawhan sa Israel, ug ingna sila: Sa diha nga ang usa kaninyo magdala ug halad ngadto sa Ginoo, pagdala kamo sa inyong halad gikan sa kahayopan, gikan sa panon sa mga baka o gikan sa panon sa karnero."
Leviticus,1,3,"“Kon ang iyang halad usa ka halad nga sunogon nga gikan sa mga baka, ihalad niya ang usa ka laki nga walay tatsa, ihalad niya kini didto sa pultahan sa tolda nga tagboanan aron siya dawaton sa atubangan sa Ginoo."
Leviticus,1,4,Iyang ibutang ang iyang kamot sa ibabaw sa ulo sa halad nga sunogon ug kini dawaton alang kaniya aron sa pagtabon sa sala alang kaniya.
Leviticus,1,5,Patyon niya ang torong baka sa atubangan sa Ginoo ug ang mga pari nga mga anak ni Aaron maghalad sa dugo ug magsablig niini libot sa halaran nga anaa sa pultahan sa tolda nga tagboanan.
Leviticus,1,6,Ug panitan niya ang halad nga sunogon ug hiwahiwaon kini.
Leviticus,1,7,Ang mga anak nga lalaki ni Aaron nga pari maoy magbutang ug kalayo ibabaw sa halaran ug magpahimutang ug sugnod sa ibabaw sa kalayo.
Leviticus,1,8,"Ug ang mga pari nga mga anak ni Aaron magpahimutang sa mga hiniwa, sa ulo ug sa tambok ngadto sa sugnod ibabaw sa kalayo nga anaa sa ibabaw sa halaran."
Leviticus,1,9,"Apan hugasan niya ug tubig ang mga sulod sa ginhawaan ug ang mga paa niini. Ug sunogon sa pari ang tibuok ibabaw sa halaran ingon nga usa ka halad nga sinunog, usa ka halad pinaagi sa kalayo, usa ka kahumot alang sa Ginoo."
Leviticus,1,10,"“Kon ang iyang halad alang sa halad nga sunogon gikan sa panon, sa mga karnero o sa mga kanding, ang iyang ihalad laki nga walay tatsa."
Leviticus,1,11,Patyon niya kini dapit sa amihanan nga kilid sa halaran sa atubangan sa Ginoo ug ang mga pari nga mga anak ni Aaron magsablig sa dugo niini libot sa halaran.
Leviticus,1,12,Ug hiwahiwaon niya kini uban ang ulo ug ang tambok niini ug ang pari maoy magpahimutang niini ibabaw sa sugnod ibabaw sa kalayo nga anaa ibabaw sa halaran.
Leviticus,1,13,"Apan hugasan niya ug tubig ang sulod sa ginhawaan ug ang mga paa, ug ihalad sa pari ang tibuok ug sunogon kini niya ibabaw sa halaran. Kini mao ang halad nga sinunog, halad pinaagi sa kalayo, usa ka kahumot alang sa Ginoo."
Leviticus,1,14,"“Kon ang iyang halad alang sa Ginoo usa ka halad nga sunogon nga mga langgam, kinahanglan nga ang iyang ihalad tukmo o mga kuyabog sa salampati."
Leviticus,1,15,"Ug dad-on kini sa pari ngadto sa halaran, ug lungison ang ulo niini, ug sunogon kini diha sa halaran, ug ang dugo niini patuloon sa kilid sa halaran."
Leviticus,1,16,"Ug iyang kuhaon ang pabalonan ug ang mga balhibo niini, ug ilabay niya kini duol sa halaran, dapit sa silangan, sa dapit sa mga abo."
Leviticus,1,17,"Laksion niya kini diha sa mga pako, apan dili na kini bahinon pa. Ug sunogon kini sa pari ibabaw sa halaran ibabaw sa sugnod diha sa kalayo. Kini mao ang halad nga sinunog, halad pinaagi sa kalayo, usa ka kahumot alang sa Ginoo."
Leviticus,2,1,"“Sa dihang adunay magdala ug halad nga pagkaon alang sa Ginoo , kinahanglan nga ang iyang ihalad pinong harina, ug buboan niya kini ug lana ug butangan niya ug insenso ang ibabaw niini."
Leviticus,2,2,"Unya dad-on niya kini ngadto sa mga anak ni Aaron, ang mga pari. Unya ang pari magkuha ug usa ka hakop sa pinong harina ug sa lana, uban ang tanan nga insenso niini. Ug kini sunogon sa pari ingon nga handomanan niini ibabaw sa halaran, halad pinaagi sa kalayo, usa ka kahumot alang sa Ginoo ."
Leviticus,2,3,Ug ang nahibilin sa halad nga pagkaon iya na ni Aaron ug sa iyang mga anak nga lalaki. Kini labing balaan sa mga halad pinaagi sa kalayo alang sa Ginoo .
Leviticus,2,4,"“Sa dihang ikaw maghalad ug usa ka halad nga pagkaon nga giluto diha sa hudno, kinahanglan nga kini mga pan nga walay patubo gikan sa pinong harina nga sinagolan ug lana o mga nipis nga pan nga walay patubo ug gihidhiran ug lana."
Leviticus,2,5,"Kon ang imong halad usa ka halad nga pagkaon nga giluto diha sa kaha nga mabaw, kinahanglan nga kini gikan sa pinong harina nga walay patubo nga sinagolan ug lana."
Leviticus,2,6,Kini imong tipiktipikon ug buboan ug lana. Mao kini ang halad nga pagkaon.
Leviticus,2,7,"Ug kon ang imong halad usa ka halad nga pagkaon nga giluto diha sa kaha, himoon kini gikan sa pinong harina nga sinagolan ug lana."
Leviticus,2,8,"Ug dad-on nimo ngadto sa Ginoo ang halad nga pagkaon nga hinimo gikan niining mga butanga, ug sa diha nga ihatag kini ngadto sa pari, siya magdala niini ngadto sa halaran."
Leviticus,2,9,"Ang pari magkuha ug diyotay gikan sa halad nga pagkaon alang sa handomanan niini, ug sunogon kini ibabaw sa halaran, halad pinaagi sa kalayo, usa ka kahumot alang sa Ginoo ."
Leviticus,2,10,Ug ang nahibilin sa halad nga pagkaon iya na ni Aaron ug sa iyang mga anak nga lalaki. Kini labing balaan sa mga halad pinaagi sa kalayo alang sa Ginoo .
Leviticus,2,11,“Walay halad nga pagkaon nga ihalad ninyo sa Ginoo nga himoon uban ang patubo kay walay bisan unsang butang nga may patubo o may dugos nga ihalad pinaagi sa kalayo alang sa Ginoo .
Leviticus,2,12,"Ingon nga halad sa unang mga abot dad-a ninyo kini ngadto sa Ginoo , apan dili kini ihalad ibabaw sa halaran ingon nga usa ka kahumot."
Leviticus,2,13,"Kinahanglang timplahan nimo ug asin ang tanan nimong halad nga pagkaon ug ayaw kalimti pagbutang ang asin sa kasabotan uban sa inyong Dios diha sa inyong halad nga pagkaon. Uban sa tanan nimong halad, maghalad ikaw ug asin."
Leviticus,2,14,"“Kon maghalad ikaw ug halad nga pagkaon alang sa Ginoo gikan sa unang mga abot, ihalad nimo ingon nga halad nga pagkaon gikan sa imong mga unang abot ang mga dinugmok nga bag-ong lugas gikan sa mga bag-ong ani nga uhay nga gisangag sa kalayo."
Leviticus,2,15,Buboi ug lana ang ibabaw niini ug butangi kini ug insenso. Kini usa ka halad nga pagkaon.
Leviticus,2,16,"Ug ang pari magsunog ug bahin sa mga lugas nga gidugmok ug bahin sa lana niini ingon nga handomanan niini, uban ang tanan nga insenso niini. Kini usa ka halad pinaagi sa kalayo alang sa Ginoo ."
Leviticus,3,1,"“Kon ang iyang halad usa ka inihaw nga halad sa pakigdait, kon siya maghalad gikan sa panon sa mga baka, laki o baye, maoy ihalad niya ang walay tatsa sa atubangan sa Ginoo."
Leviticus,3,2,"Ibutang niya ang iyang kamot sa ibabaw sa ulo sa iyang halad, ug patyon niya kini didto sa pultahan sa tolda nga tagboanan ug ang mga pari, ang mga anak ni Aaron, magsablig sa dugo niini libot sa halaran."
Leviticus,3,3,"Ug gikan sa inihaw nga mga halad sa pakigdait, ingon nga halad pinaagi sa kalayo alang sa Ginoo, ihalad niya ang tambok nga nagputos sa mga tinai, ug ang tanan nga tambok nga anaa sa sulod sa ginhawaan,"
Leviticus,3,4,"ug ang duha ka amimislon ug ang tambok nga anaa sa niini dapit sa hawak, ug ang habolhabol sa atay nga kuhaon uban sa mga amimislon."
Leviticus,3,5,"Unya ang mga anak ni Aaron magsunog niini ibabaw sa halaran uban sa halad nga gisunog ibabaw sa sugnod nga anaa sa ibabaw sa kalayo. Kini usa ka halad pinaagi sa kalayo, usa ka kahumot alang sa Ginoo."
Leviticus,3,6,"“Kon ang iyang halad inihaw nga halad sa pakigdait alang sa Ginoo gikan sa panon sa karnero, laki o baye, ihalad niya kini nga walay tatsa."
Leviticus,3,7,"Kon siya maghalad ug nating karnero ingon nga iyang halad, ihalad kini niya sa atubangan sa Ginoo."
Leviticus,3,8,Ug ibutang niya ang iyang kamot ibabaw sa ulo sa iyang halad ug kini iyang patyon sa atubangan sa Tolda nga Tagboanan ug ang mga anak ni Aaron magsablig sa dugo niini libot sa halaran.
Leviticus,3,9,"Unya gikan sa gihalad nga halad sa pakigdait ingon nga halad pinaagi sa kalayo alang sa Ginoo, ihalad niya ang tambok niini, ang tibuok ikog nga tambok nga kuhaon niya sa punoan sa dugokan ug ang tambok nga nagputos sa mga tinai ug ang tanan nga tambok nga anaa sa sulod sa ginhawaan,"
Leviticus,3,10,"lakip ang duha ka amimislon ug ang tambok nga anaa sa ibabaw niini dapit sa hawak, ug ang habolhabol sa ibabaw sa atay nga kuhaon uban sa mga amimislon."
Leviticus,3,11,Ug ang pari magsunog niini ibabaw sa halaran ingon nga pagkaon nga gihalad pinaagi sa kalayo ngadto sa Ginoo.
Leviticus,3,12,"“Kon kanding ang iyang halad, ihalad niya kini sa atubangan sa Ginoo."
Leviticus,3,13,Ibutang niya ang iyang kamot sa ibabaw sa ulo niini ug patyon niya kini sa atubangan sa tolda nga tagboanan ug ang mga anak ni Aaron magsablig sa dugo niini libot sa halaran.
Leviticus,3,14,"Ug gikan niini, ingon nga iyang halad pinaagi sa kalayo ngadto sa Ginoo, ihalad niya ang tambok nga nagputos sa mga tinai, ug ang tanan nga tambok nga anaa sa sulod sa ginhawaan,"
Leviticus,3,15,"ug ang duha ka amimislon, ug ang tambok nga anaa niini dapit sa hawak ug ang habolhabol sa atay nga kuhaon uban sa amimislon."
Leviticus,3,16,Ug ang pari magsunog niini sa ibabaw sa halaran ingon nga pagkaon nga gihalad pinaagi sa kalayo ingon nga kahumot alang sa Ginoo. Ang tanan nga tambok iya sa Ginoo.
Leviticus,3,17,"Kini usa ka tulumanon nga dayon alang sa inyong mga kaliwatan, sa tanan ninyong mga puluy-anan, aron dili kamo magkaon ug tambok o dugo.”"
Leviticus,4,1,"Ang Ginoo miingon kang Moises,"
Leviticus,4,2,"“Sultihi ang katawhan sa Israel: Kon ang usa ka tawo makasala nga wala tuyoa sa bisan unsa sa mga sugo sa Ginoo mahitungod sa mga butang nga dili angay nga buhaton, ug makabuhat sa usa niini—"
Leviticus,4,3,"kon ang dinihogan nga pari maoy makasala unya makaangin sa katawhan sa pagpakasala tungod sa sala nga iyang nabuhat, pahalara siya ngadto sa Ginoo ug usa ka torong baka nga nati nga walay tatsa alang sa halad tungod sa sala."
Leviticus,4,4,"Dad-on niya ang torong baka ngadto sa pultahan sa tolda nga tagboanan sa atubangan sa Ginoo, ug ibutang niya ang iyang kamot sa ibabaw sa ulo sa torong baka, ug patyon niya kini sa atubangan sa Ginoo."
Leviticus,4,5,"Ang dinihogan nga pari magkuha ug diyotay sa dugo sa torong baka, ug dad-on niya kini sa tolda nga tagboanan."
Leviticus,4,6,"Ituslob sa pari ang iyang tudlo sa dugo, ug iwisik niya ang dugo sa makapito sa atubangan sa Ginoo, atubangan sa tabil sa balaan nga dapit."
