book,chapter,verse_number,text
Exodus,1,1,Now these are the names of the children of Israel who came into Egypt; every man and his household came with Jacob:
Exodus,1,2,"Reuben, Simeon, Levi and Judah,"
Exodus,1,3,"Issachar, Zebulun and Benjamin,"
Exodus,1,4,"Dan and Naphtali, Gad and Asher."
Exodus,1,5,"And all the souls who came out of the loins of Jacob were seventy souls, for Joseph was in Egypt already."
Exodus,1,6,"And Joseph died, and all his brethren, and all that generation."
Exodus,1,7,"And the children of Israel were fruitful and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them."
Exodus,1,8,"Now there arose up a new king over Egypt, who knew not Joseph."
Exodus,1,9,"And he said unto his people, “Behold, the people of the children of Israel are more and mightier than we."
Exodus,1,10,"Come on, let us deal wisely with them, lest they multiply and it come to pass, when there befalleth any war, that they join also unto our enemies and fight against us, and so get them up out of the land.”"
Exodus,1,11,"Therefore they set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses."
Exodus,1,12,"But the more they afflicted them, the more they multiplied and grew; and they were grieved because of the children of Israel."
Exodus,1,13,And the Egyptians made the children of Israel to serve with rigor.
Exodus,1,14,"And they made their lives bitter with hard bondage, in mortar and in brick and in all manner of service in the field; all their service wherein they made them serve was with rigor."
Exodus,1,15,"And the king of Egypt spoke to the Hebrew midwives, of whom the name of one was Shiphrah, and the name of the other Puah."
Exodus,1,16,"And he said, “When ye do the office of a midwife to the Hebrew women and see them upon the birthstools, if it be a son then ye shall kill him; but if it be a daughter then she shall live.”"
Exodus,1,17,"But the midwives feared God, and did not do as the king of Egypt commanded them, but saved the men children alive."
Exodus,1,18,"And the king of Egypt called for the midwives and said unto them, “Why have ye done this thing, and have saved the men children alive?”"
Exodus,1,19,"And the midwives said unto Pharaoh, “Because the Hebrew women are not as the Egyptian women; for they are lively, and are delivered ere the midwives come in unto them.”"
Exodus,1,20,"Therefore God dealt well with the midwives, and the people multiplied and waxed very mighty."
Exodus,1,21,"And it came to pass, because the midwives feared God, that He made them houses."
Exodus,1,22,"And Pharaoh charged all his people, saying, “Every son who is born ye shall cast into the river, and every daughter ye shall save alive.”"
Exodus,2,1,"And there went a man of the house of Levi, and took for a wife a daughter of Levi."
Exodus,2,2,"And the woman conceived and bore a son; and when she saw that he was a goodly child, she hid him three months."
Exodus,2,3,"And when she could no longer hide him, she took for him an ark of bulrushes, and daubed it with slime and with pitch, and put the child therein; and she laid it in the reeds by the river’s brink."
Exodus,2,4,And his sister stood afar off to learn what would be done to him.
Exodus,2,5,"And the daughter of Pharaoh came down to wash herself at the river, and her maidens walked along by the riverside; and when she saw the ark among the reeds, she sent her maid to fetch it."
