book,chapter,verse_number,text
Genesis,1,1,Sang ginsuguran gintuga sang Dios ang kalangitan kag ang kalibutan.
Genesis,1,2,Ang kalibutan sadto wala pa sing porma kag mahawan pa. Ang tubig nga nagatabon sa kalibutan nalikupan sang kadulom. Kag ang Espiritu sang Dios nagahulag sa ibabaw sang tubig.
Genesis,1,3,"Dayon nagsiling ang Dios, “Magsanag!” Kag dayon may kasanag."
Genesis,1,4,Nanamian ang Dios sa kasanag nga iya nakita. Dayon ginseparar niya ang kasanag kag ang kadulom.
Genesis,1,5,"Gintawag niya nga “adlaw” ang kasanag kag gintawag niya nga “gab-i” ang kadulom. Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang una nga adlaw."
Genesis,1,6,"Dayon nagsiling ang Dios, “Matuga ang ulot nga magaseparar sa tubig sa duha ka lugar.”"
Genesis,1,7,Kag nahimo ini. Ginhimo sang Dios ang ulot nga nagaseparar sa tubig sa ibabaw kag sa tubig sa idalom.
Genesis,1,8,"Ini nga ulot gintawag sang Dios nga “kahawaan.” Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikaduha nga adlaw."
Genesis,1,9,"Dayon nagsiling ang Dios, “Magtingob sa isa ka lugar ang tubig sa kalibutan agod magguwa ang mamala nga lugar.” Kag nahimo ini."
Genesis,1,10,Gintawag niya nga “duta” ang mamala nga lugar kag gintawag niya nga “dagat” ang natingob nga tubig. Nanamian ang Dios sa iya nakita.
Genesis,1,11,"Dayon nagsiling ang Dios, “Magtubo sa duta ang nagkalain-lain nga mga tanom: ang mga tanom nga may mga liso kag ang mga kahoy nga nagapamunga suno sa ila nga klase.” Kag nahimo ini."
Genesis,1,12,"Nagtubo sa duta ang tanan nga klase sang tanom, kag nanamian ang Dios sa mga tanom nga iya nakita."
Genesis,1,13,"Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikatatlo nga adlaw."
