book,chapter,verse_number,text
Exodus,1,1,Dagitoy ti nagan dagiti annak ni Jacob a kimmuyog kenkuana a napan idiay Egipto agraman dagiti familiada:
Exodus,1,2,"Ruben, Simeon, Levi, Juda,"
Exodus,1,3,"Issacar, Zabulon, Benjamin,"
Exodus,1,4,"Dan, Neftali, Gad ken Aser."
Exodus,1,5,Pitopulo ti dagup dagiti annak a nagtaud ken ni Jacob. Adda idin ni Jose nga anakna idiay Egipto.
Exodus,1,6,"Natay sadiay ni Jose, kasta met amin a kakabsatna ken amin daydi a kaputotan."
Exodus,1,7,"Nupay kasta, napardas ti panagadu dagiti Israelita, isu a pimmigsada ket nagwaras dagiti kaputotanda iti entero nga Egipto."
Exodus,1,8,Naglabas ti tiempo. Nagturay idiay Egipto ti baro nga ari nga awan ti ammona maipapan ken ni Jose.
Exodus,1,9,"“Kitaenyo,” kinuna ti ari kadagiti iturayanna. “Agpeggadtayo ta nakaad-adu ken nabileg unayen dagiti Israelita."
Exodus,1,10,"Masapul nga agaramidtayo iti pamuspusan tapno malapdan ti panagaduda. Ta no adda gubat, amangan no kumapponda kadagiti kabusor a manggubat kadatayo, ket aglibasda a pumanaw iti dagatayo.”"
Exodus,1,11,"Iti kasta, nangdutokda kadagiti narungsot a kapatas a mangparigat kadagiti Israelita nga agtrabaho iti nadagdagsen pay ngem iti sigud nga ar-aramidenda. Binangon dagiti Israelita ti Pitom ken Rameses, dua a siudad a pagidulinan iti makan."
Exodus,1,12,"Ngem no kasano ti panangparparigat dagiti Egipcio kadakuada, immad-aduda ketdi ket nagwarasda. Isut' gapuna a kinabuteng ida dagiti Egipcio."
Exodus,1,13,Naranggas ti panangtagabuda kadagiti Israelita.
Exodus,1,14,Rimmigat ti biagda. Pinilitda ida nga agtrabaho kadagiti talonda ken agipasdek kadagiti patakderda. Dida naasian kadakuada.
Exodus,1,15,"Kinasao ti ari ti Egipto dagiti partera a Hebreo ket imbilinna kadakuada, “No paanakenyo dagiti Hebreo, patayenyo ti maladaga no lalaki. Ngem no babai, bay-anyo nga agbiag.” Maysa kadagitoy a partera ti agnagan iti Zifra ket Pua ti nagan met ti sabali."
