book,chapter,verse_number,text
Leviticus,1,1,Inayaban ni Yahweh ni Moises manipud iti Tolda ti Dios ket intedna dagitoy nga alagaden
Leviticus,1,2,"dagiti Israelita no agidatonda. No adda mangidatag iti daton a mapuoran, mabalin a maysa kadagiti bakana, wenno karnero, wenno kaldingna."
Leviticus,1,3,"No maysa kadagiti bakana ti idatagna a kas sakrifisio, mangted iti toro nga awan pakapilawanna ket ipanna iti ruangan ti Tolda ti Dios tapno awaten ni Yahweh."
Leviticus,1,4,Ipatayna ti imana iti ulo ti animal ket maawatto a kas daton a mangikkat kadagiti basbasolna.
Leviticus,1,5,"Patayennanto ti toro sadiay, ket idatag dagiti papadi a kapuonan ni Aaron ti dara ti animal ken ni Yahweh sada ibuyat kadagiti igid ti altar nga adda iti ruangan ti Tolda."
Leviticus,1,6,Lalatenna ti animal sana rangrangkayen.
Leviticus,1,7,Urnosen dagiti papadi dagiti kayo a pagsungrod iti rabaw ti altar sada aronan.
Leviticus,1,8,"Iparabawdanto dagiti narangrangkay a paset ti animal iti apuy, agraman ti ulo ken ti taba."
Leviticus,1,9,"Buggoan ti mangidaton dagiti lalaem ken dagiti kammaudi a saka ti animal. Paggigiddanento ti padi a puoran dagiti daton iti rabaw ti altar, kas nabanglo a daton iti Apo ."
Leviticus,1,10,"No karnero wenno kalding ti maidaton, masapul a kalakian ken awan depektona ti idatagna."
Leviticus,1,11,"Patayennanto daytoy iti akin-amianan a paset ti altar, ket ibuyat dagiti papadi ti dara ti animal kadagiti uppat a sikigan ti altar."
Leviticus,1,12,"Kalpasan ti panangrangrangkayna, iparabaw ti padi dagiti amin a paset ti animal agraman ti ulo ken ti taba iti sumsumged a kayo iti altar."
Leviticus,1,13,Mabuggoan nga umuna dagiti lalaem ken dagiti kammaudi a saka ti animal ket mapuoranda iti altar. Makaay-ayo ken nabanglo daytoy a daton ken ni Yahweh.
Leviticus,1,14,"No tumatayab ti datonna a mapuoran, masapul a pagaw wenno sibong ti kalapati ti idatagna."
Leviticus,1,15,"Ipanto ti padi iti altar, tiritirenna sana pulsoten ti tengnged ti tumatayab ket puoranna sadiay ti ulo. Maipaaruyot ti darana iti sikigan ti altar."
Leviticus,1,16,Ikkatenna ti kinarakaran ken dagiti nagyanna sana ibelleng iti akindaya a paset ti altar a pakaikabilan iti dapu.
Leviticus,1,17,"Pisangenna ti bagi ti tumatayab, ngem dina isinsina dagiti payakna sananto puoran ti sibubukel a tumatayab iti rabaw ti altar. Makaay-ayo ken nabanglo daytoy a daton iti Apo ."
Leviticus,2,1,"No adda mangidatag iti daton a makan iti Apo , umuna pay nga aramidenna nga arina a nafino. Ikkanna daytoy iti lana ti olibo ken insenso"
Leviticus,2,2,sana ipan kadagiti papadi a kapuonan ni Aaron. Mangrakem ti padi iti arina ken iti lana ken amin nga insenso sana puoran iti rabaw ti altar a mangipakita a naidatonna amin iti Apo . Makaay-ayo ken nabanglo daytoy a daton iti Apo .
Leviticus,2,3,Kukua dagiti papadi ti natda iti daton a makan. Sagrado unay daytoy agsipud ta paset ti naidaton iti Apo .
Leviticus,2,4,"No tinapay a naluto iti urno ti maidaton, masapul nga awan lebadurana ti maidatag. Mabalin a napuskol a tinapay a nalaokan iti lana ti olibo wenno naiingpis a kankanen a napulagidan iti lana ti olibo."
Leviticus,2,5,"No tinapay a naluto iti pariok ti maidaton, masapul a maaramid iti arina a nalaokan iti lana ti olibo, ngem awan ti lebadurana."
Leviticus,2,6,Mapispisi ti tinapay sa mabuyatan iti lana no maidatag a kas daton a makan.
Leviticus,2,7,"No tinapay a naluto iti kaserola ti maidaton, masapul a maaramid iti arina ken lana ti olibo."
Leviticus,2,8,"Idatonmo daytoy iti Apo , ket yawatmo iti padi a mangipan iti altar."
Leviticus,2,9,"Mangalanto ti padi iti sangkabassit a mangipakita a naidatag amin iti Apo , ket puoranna iti altar. Nabanglo ken makaay-ayo daytoy a daton iti Apo ."
Leviticus,2,10,Kukua dagiti papadi ti natda iti daton. Sagrado unay daytoy agsipud ta naggapu iti naidaton iti Apo .
Leviticus,2,11,Masapul nga awan lebadurana dagiti makan nga idatonyo iti Apo . Diyo laokan iti lebadura wenno diro ti makan nga idatonyo iti Apo .
Leviticus,2,12,"Masapul a maidaton iti Apo ti umuna a trigo a maapityo iti tunggal tawen, ngem diyo puoran iti altar."
Leviticus,2,13,"Asinanyo dagiti amin a daton a makan, agsipud ta ti asin ti mangibagi iti tulagyo iti Dios. (Masapul nga asinam dagiti amin nga idatonmo.)"
Leviticus,2,14,"No mangidatagkayo iti Apo iti daton nga agtaud kadagiti umuna a maapit iti trigo, masapul nga iniruban wenno nalebbek a trigo."
Leviticus,2,15,Ikkanyo iti lana ti olibo ken insenso.
Leviticus,2,16,"Puoran ti padi ti paset ti nalebbek a trigo ken ti lana a mangipakita a naidaton amin, kasta met ti amin nga insenso a kas daton iti Apo ."
Leviticus,3,1,"No adda mangidatag iti maysa kadagiti bakana a kas daton a pakikappia, masapul a toro wenno kabaian nga awan depektona."
Leviticus,3,2,Ipatayna ti imana iti ulo ti animal ket patayenna iti ruangan ti Tolda ti Dios. Ibuyatto dagiti papadi a kaputotan ni Aaron ti dara ti animal kadagiti uppat a sikigan ti altar.
Leviticus,3,3,"Puorandanto dagitoy a paset ti animal a kas daton iti Apo : amin a taba dagiti lalaem,"
Leviticus,3,4,dagiti bekkel ken dagiti kimpet a taba ken ti kasayaatan a paset ti dalem.
Leviticus,3,5,"Amin dagitoy, puoran dagiti papadi iti rabaw ti altar agraman dagiti daton a mapuoran. Nabanglo ken makaay-ayo daytoy a daton iti Apo ."
Leviticus,3,6,"No karnero wenno kalding ti daton a pakikappia, mabalin a kalakian wenno kabaian, ngem masapul nga awan depektona."
Leviticus,3,7,"No karnero ti idatag ti maysa a tao,"
Leviticus,3,8,ipatayna ti imana iti ulo ti animal ket patayenna iti sangoanan ti Tolda ti Dios. Ibuyat dagiti papadi ti dara ti animal kadagiti uppat a sikigan ti altar.
Leviticus,3,9,"Maidatonto iti Apo dagitoy a paset ti animal: ti taba, ti entero a nataba nga ipus a naputed iti asideg ti duri, dagiti amin a taba a nangbalkot kadagiti lalaem,"
Leviticus,3,10,dagiti bekkel ken dagiti kimpet a taba ken ti kasayaatan a paset ti dalem.
Leviticus,3,11,Puoranto ti padi amin dagitoy iti rabaw ti altar a kas daton iti Apo
Leviticus,3,12,"No kalding ti idatag ti tao,"
Leviticus,3,13,"ipatayna ti imana iti ulo ti animal, ket patayenna iti sangoanan ti Tolda ti Dios. Ibuyat dagiti papadi ti dara ti animal kadagiti uppat a sikigan ti altar."
Leviticus,3,14,"Maidatonto iti Apo dagitoy a paset ti animal: dagiti amin a taba dagiti lalaem,"
Leviticus,3,15,dagiti bekkel ken dagiti kimpet a taba ken ti kasayaatan a paset ti dalem.
Leviticus,3,16,Puoranto ti padi amin dagitoy iti rabaw ti altar a kas nabanglo a daton iti Apo . Kukua ti Apo dagiti amin a taba.
Leviticus,3,17,Awan ti Israelita a mapalubosan nga agsida iti taba wenno dara. Agnanayon daytoy nga alagaden a masapul a tungpalenda iti sadinoman a pagnaedanda.
Leviticus,4,1,Imbilin ni Yahweh ken ni Moises
Leviticus,4,2,"nga ibagana daytoy kadagiti Israelita. No adda agbasol ket salungasingenna ti uray ania kadagiti linteg ti Apo a dina inggagara, masapul a tungpalenna dagiti sumaganad nga annuroten."
Leviticus,4,3,"No ti Kangatoan a Padi ti agbasol a pakairamanan met dagiti tattao, masapul a mangidatag iti bumaro a baka nga awan depektona ket idatonna iti Apo gapu iti basolna."
Leviticus,4,4,"Ipanna ti baka iti ruangan ti Tolda, ipatayna ti imana iti ulo ti animal, ket patayenna sadiay iti imatang ti Apo ."
Leviticus,4,5,Mangala iti dara ti animal ket ipanna iti uneg ti Tolda.
Leviticus,4,6,Isawsawna ti ramayna iti dara sana warsian iti mamimpito ti sangoanan ti nasagradoan a kurtina ti santuario.
Leviticus,4,7,Pulagidanna iti dara dagiti sinan-sara ti altar a pagpuoran iti insenso iti Tolda. Ibuyatna ti natda a dara iti puon ti altar a pagidatagan iti daton a mapuoran nga adda iti ruangan ti Tolda.
Leviticus,4,8,"Ikkatenna amin a taba ti baka, ti taba dagiti lalaem,"
Leviticus,4,9,dagiti bekkel ken dagiti kimpet a taba ken ti kasayaatan a paset ti dalem.
Leviticus,4,10,"Alaen ti padi daytoy a taba ket puoranna iti altar dagiti daton a mapuoran, kas iti aramidenna iti taba dagiti animal a daton a pakikappia."
Leviticus,4,11,"Ngem alaenna ti lalat ti animal, amin a lasagna, ti ulo, dagiti saka, dagiti lalaem, agraman dagiti bagis."
Leviticus,4,12,"Ipanna amin dagitoy iti ruar ti kampo, iti lugar a nadalus iti imatang ti linteg, iti pagibellengan iti dapu, ket puoranna ida iti rabaw dagiti kayo a pagsungrod."
Leviticus,4,13,"No ti entero nga Israel ti agbasol ket dida ammo a sinalungasingda ti maysa kadagiti bilin ti Apo ,"
Leviticus,4,14,"apaman a maammoan ti basolda, masapul a mangyeg ti sangkagimongan iti bumaro a baka a kas daton gapu iti basol. Ipanda ti animal iti Tolda ti Dios."
Leviticus,4,15,"Ipatay dagiti pangulo ti sangkagimongan dagiti imada iti ulo ti animal, ket sadiay ti pakapatayanna."
Leviticus,4,16,Mangalanto ti Kangatoan a Padi iti dara ti baka sana ipan iti Tolda ti Dios.
Leviticus,4,17,Isawsawna ti ramayna iti dara sa mamimpito a warsianna ti sangoanan ti kurtina.
