book,chapter,verse_number,text
Exodus,1,1,Oreti ding lagyu da ring anak nang lalaking Jacob a minta karin Ehipto a kayabe na at ding pamilya ra:
Exodus,1,2,"i Ruben, Simeon, Levi, Juda,"
Exodus,1,3,"Isacar, Zebulun, Benjamin,"
Exodus,1,4,"Dan, Neftali, Gad ampon i Aser."
Exodus,1,5,Pitu lang pulu kabilangan ding heganaganang lahi nang Jacob. Atyu ne kanita i Jose karin Ehipto.
Exodus,1,6,"Kaybat na nita, mete ya i Jose at ding sabla nang kapatad ampon ding anak da ring anak da."
Exodus,1,7,Oneng menganak la ding Israelita a lahi da at merakal na lang merakal; mabilis lang merakal at tutung masikan angga king milaganapan ya karela ing Ehipto.
Exodus,1,8,Linabas ing panaun at ing Ehipto mika bayu yang ari a ala nang bitasang balu tungkul kang Jose.
Exodus,1,9,"Nganang sinabi karing sasakupan na, Lawan yu, mas dakal la at masikan kesa kekatamu deting Israelita."
Exodus,1,10,Nung sakaling lusuban da katamu ding kalaban pota makikampi la pa karela at kaybat takasan de ing bansa tamu. Inya kailangan tamung lumawe paralan ban e na la dakal pa.
Exodus,1,11,Inya mibili lang kapatas karing Israelita ban pasakitan da la king kapamilatan na ning mabayat a obra. Makanyan lang mengapuersa ding Israelita king pamitalakad karing siudad ning Pitom at Rameses a pipagponduan nang kabiayan at kagamitan ning ari.
Exodus,1,12,Oneng kabang pasakitan da la ring Israelita kanita la lalung merakal at mikalat. Makanyan lang mitakutan ding tau Ehipto karing Israelita.
Exodus,1,13,Inya lalu da la pang inalipusta.
Exodus,1,14,At alang lunus da lang pepagawan laryu at binie da karela ing sablang mabayat a obra king marangle.
Exodus,1,15,"Misan a aldo, pekisabian na la ning ari na ning Ehipto di Sipra at Pua, ding aduang ilut a papanganak karing babaing Hebreo."
Exodus,1,16,"Ngana karela, Potang papanganak kayu, kabud akit yu king ing anak a mibait lalaki ya, paten ye. Nung babai ya paburen yeng mie."
Exodus,1,17,"Oneng ding ilut, uli na ning takut da king Dios, e ra pemintuan ing utus na ning ari. E da la pete ding anak a lalaking mibait."
Exodus,1,18,"Inya pepayaus na la ning ari ning Ehipto at ngana karela, Obat makanyan ing depat yu? Obat pepaburen yu lang mebie ding anak a lalaki?"
Exodus,1,19,"Ngarang mekibat ding ilut king ari, Kasi pu deng babaing Hebreo e ra la pu kalupa ding babai tamu keti Ehipto; e la pu magkasakit manganak at akakua rang makapanganak bayu na akuang datang ning ninuman kekami."
Exodus,1,20,Metula ya ing Dios karing ilut at lalu lang merakal ampon mesikan ding Israelita.
Exodus,1,21,"Uling atin lang takut ding ilut king Dios, binendisyunan na la ning Dios at dininan sarasariling pamilya."
Exodus,1,22,"Kanita minie yang utus ing ari karing sasakupan na. Ngana karela, Iyugse ya king Ilug ning Nilo ing balang anak a lalaking mibait karing Hebreo, oneng paburen yu lang mie ding anak a babai."
Exodus,2,1,Ating metung a lalaking mibait king tribu nang Levi a mekapakiasawa king metung a babaing mibait munaman king tribung ita.
Exodus,2,2,"Mikayanak lang metung a lalaki. Masanting ya ing anak, inya selikut ne ning ima kilub ding atlung bulan."
Exodus,2,3,"Inyang e na ne agyung isalikut, kinangwa yang maragul a takba a megawa king tangke ning timbu, at penapalan neng alketran ban e ne aluban ning danum. Lilan ne keting takba iting anak, at kaybat binili ne ing takba libutad ding timbu king pampang ning ilug."
Exodus,2,4,Makabante ya ing atsi na ning anak king makarayung bagya ban lawan na nung nanu ing mapalyari king wali na.
Exodus,2,5,Dinulung ya king ilug ing prinsesang anak ning ari ban mandilu kabang ding babaing mamantabe king prinsesa lakad-lakad la king pampang ning ilug. Ikit ne ning prinsesa ing takba a makalibutad karing timbu. Pepakua ne king metung karing babaing mamantabe.
Exodus,2,6,"Inyang biklat ne ning prinsesa ing takba ikit ne ing anak a lalaking kikiak. Melunus ya ing prinsesa king anak at ngana, Metung ya iti karing anak da ring Hebreo."
Exodus,2,7,"Kanita linapit ya ing atsi na ning anak king prinsesa at nganang kinutang, Bisa kayu pung panintun kung babaing Hebreo a maningat king anak para kekayo?"
Exodus,2,8,"Wa, panintun mu ku, nganang mekibat ning prinsesa. Meko ya ing atsi na ning anak at ing inaus na ya mismu ing ima ning anak."
Exodus,2,9,"Nganang sinabi ning prinsesa king babai, Kuanan me ing anak a ini at sesen me para kanaku at bayaran da ka. Inya kinua ne ing anak at sinese ne."
Exodus,2,10,"Inyang meragul ne ing anak, dela ne king prinsesa at tinuring ne iting sarili nang anak. Pemalagyuan neng Moises uling agpang king prinsesa ya ing misaka king anak inyang atyu ya king danum."
Exodus,2,11,"Inyang meragul ne i Moises linual ya ban dalawan na la ding kabalen na, at ikit na nung makananu lang mengapuersa ding Israelita king obrang mangabayat. Ikit nia naman nung makananu neng pete ning tau Ehipto ing metung a Hebreo."
Exodus,2,12,"Miglalawe ya i Moises king makapadurut at inyang ikit nang alang aliwang manakit, pete ne ing tau Ehipto at kitkut ne ing bangke king balas."
Exodus,2,13,"Kabukasan migbalik ya i Moises at ikit na lang mipapate ding aduang Hebreo. Nganang Moises king maki kasalanan, Obat bubuatanan meng gamat ing kalupa mung Hebreo?"
Exodus,2,14,"Mekibat ya ing taung kitnan na, Ninu ing minie upaya keka ban maging pamuntuk ka at ukum kekami? Buri mu ku munaman galang paten antimo nung makananu meng pete itang tau Ehipto? Mitakutan ya i Moises at ngana king lub na, Abalu da na pala deng tau ing depat ku."
Exodus,2,15,Inyang abalitan na ning ari iting mepalyari buri neng ipapate i Moises. Oneng mekatakas ya at miras king Midian at karin ya menuknangan.
Exodus,2,16,"Atin yang pitung anak a babai i Jetro, ing pari ning Midian. Misan a aldo, makalukluk ya i Moises king lele ning talaga; dinatang la deting mikakapatad ban saklung danum para karing tupa at kambing nang tata ra."
Exodus,2,17,"Ating dinatang a pastul at penabi da la reting babai. Tinalakad ya i Moises ban saupan ding babai. Kaybat na nita, pepainum na lang Moises ding sese rang animal."
Exodus,2,18,"Inyang minuli na la, kitang nang Jetro a tata ra, Obat maranun kayung minuli ngeni?"
Exodus,2,19,"Ngarang mekibat, Pemingua na kami ning metung a tau Ehipto karing lalaking magpastul, at saka na ke pa piniaklung danum, at ya ing minie inuman karing animal a dela mi karin."
Exodus,2,20,Antayu ing taung yan? nganang tata ra. Obat likuan yu nia mu kabud karin? Puntalan ye at agkatan makipangan kekatamu.
Exodus,2,21,Mebisa ya i Moises ing karin ne manuknangan at binie neng Jetro kang Moises ing anak nang i Zipora ban maging asawa na.
Exodus,2,22,"Mikayanak lang metung a lalaki. At nganang Moises king lub na, Metung ku mung dayuan a miras keti. Inya pemalagyuan neng Gersom ing anak na."
Exodus,2,23,"Mapilan pang banua kaybat na nita, mete ya ing ari ning Ehipto at ipus la pa mu rin ding Israelita. E la patugut sasaingsing at maniawad saup uli na ning kasakitan a daralanan da. Miras king Dios ing saingsing da."
Exodus,2,24,"Dimdam na ing saingsing da at aganaka na ning Dios itang kasunduan na kari Abraham, Isaac, at Jacob."
Exodus,2,25,"Ikit ning Dios ing kabilian da ring Israelita, at melunus ya karela."
