book,chapter,verse_number,text
Genesis,1,1,"King pasimula, lelangan ne ning Dios ing banua at ing yatu."
Genesis,1,2,Ala yang kaayusan ing yatu; tatakpan na ning dalumdum ing kalalalaman kabang tutiup ya ing tutung masikan a angin babo na ning danuman.
Genesis,1,3,"Ngana ning Dios, Mika ating sala at linto ing sala."
Genesis,1,4,"Ikit na ning Dios king mayap ing sala. Kaybat, kewani ne ning Dios ing sala king dalumdum."
Genesis,1,5,"Inaus neng Aldo ning Dios ing sala, at ing dalumdum naman inaus neng Bengi. Miras ing bengi at dinatang ing abak. Ita ya ing mumunang aldo."
Genesis,1,6,"Kaybat ngana ning Dios, Mika ating maragul a suklub pilatan da ring danuman ban pikawanian ing danuman. At ita ing milyari:"
Genesis,1,7,lelangan ne ning Dios ing suklub at kewani na niti ing danum babo na ning suklub king danum lalam na.
Genesis,1,8,Inaus neng Banua ning Dios ing suklub. Miras ing bengi at dinatang ing abak. Ita ya ing kaduang aldo.
Genesis,1,9,"Kaybat ngana ning Dios, Mitipun ing danum lalam ning banua king metung a lugal ban palto na ing malanging gabun. At ita ing milyari."
Genesis,1,10,"Inaus neng Yatu ning Dios ing gabun, at ing danum a mitipun inaus neng Dagat. Ikit na ning Dios king ita mayap."
Genesis,1,11,"Kanita ngana ning Dios, Palto yang miyayaliwang tanaman ing gabun: balang uring tanaman a ating bini at balang uring tanaman a mamunga king yatu a ating butul kilub. At ita ing milyari."
Genesis,1,12,Pepalto na la ning yatu ding miyayaliwang klasing tanaman a ating bini at tanaman a mamungang ating butul kilub. Ikit na ning Dios king ita mayap.
Genesis,1,13,Miras ing bengi at dinatang ing abak. Ita ya ing katlung aldo.
Genesis,1,14,"Kaybat ngana ning Dios, Mika ating sala king banua ban mikawani ya ing aldo king bengi. Maging tanda la karing panaun ampon karing aldo at banua,"
Genesis,1,15,at magsilbi lang sulu king sikluban na ning banua ban aslagan de ing yatu. At ita ing milyari.
Genesis,1,16,Lelangan na la ning Dios ding aduang maragul a sulu; sunlag ya ing maragul kareti kabang aldo at sunlag ya ing malati neng bengi. Lelangan na la naman ding batuin.
Genesis,1,17,Binili na la ning Dios king sikluban ning banua ban aslagan de ing yatu
Genesis,1,18,ban sunlag neng aldo at neng bengi at ikawani na ing sala king dalumdum. Ikit na ning Dios king ita mayap.
Genesis,1,19,Miras ing bengi at dinatang ing abak. Ita ya ing kapat a aldo.
Genesis,1,20,"Kanita ngana ning Dios, Lunto la karing danuman ding dakal a mabie lelangan at sulapo la ding ayup lalam na ning banua. At ita ing milyari."
Genesis,1,21,Inya lelangan na la ning Dios ding maragul a asan ning danuman at ding sablang miyayaliwang kakawe king danuman at miyayaliwang ayup. Ikit na ning Dios king ita mayap.
Genesis,1,22,"Binendisyunan na la ning Dios at ngana karela, Magpakarakal kayu at katmuan ye ing dagat; ikayung ayup, magpakarakal kayu naman at katmuan ye ing yatu."
Genesis,1,23,Miras ing bengi at dinatang ing abak. Ita ya ing kalimang aldo.
Genesis,1,24,"Kaybat na nita, ngana ning Dios, Paburen yang palto na la ning yatu ding miyayaliwang mabie lelangan: matunud at malyap, mangaragul at mangalati. At ita ing milyari."
Genesis,1,25,"Lelangan na la ning Dios ding miyayaliwang animal, ding animal a antimo ding baka at miyayaliwa pang animal a gagapang king yatu. Ikit na ning Dios king ita mayap."
Genesis,1,26,"Kanita ngana ning Dios, Lalangan ta ya ing tau king wangis tamu. Ila ding manibala karing asan na ning dagat, karing ayup, karing baka, karing heganaganang animal, at karing heganaganang melalang a gagapang king yatu."
Genesis,1,27,Inya lelangan ne ning Dios ing tau king wangis na; king wangis ning Dios lelangan ne; lelangan na lang lalaki at babai.
Genesis,1,28,"Bendisyunan na la ning Dios at ngana, Magpakarakal kayu at katmuan ye ing yatu at sakupan ye. Ikayung mamahala karing asan king dagat, karing ayup, at karing heganaganang bage melalang a gagapang king yatu."
