book,chapter,verse_number,text
Leviticus,1,1,"Karin king Toldang tuknangan ning Ginu inaus ne i Moises at ngana,"
Leviticus,1,2,"Moises, sabian mu iti karing Israelita: Ing karapatdapat a iyain neng mamain kayu kanaku, ing Ginu , ya ing baka, tupa o kaya kambing."
Leviticus,1,3,Malyari yang kumang metung karing baka na a alang dipektu neng miyayain yang ain-a-durulukan ing ninuman kekayu. Idala ne iti king tulid na ning pasbul ning Toldang tuknangan ku ban maging karapatdapat ya kanaku.
Leviticus,1,4,"Itumpak ne ing gamat na king buntuk na ning animal, at matanggap ya iti bilang panatbus king kasalanan na."
Leviticus,1,5,"Karin ne paten ing baka at ding pari a anak nang Aaron ilang miyain king daya kanaku, ing Ginu , at kaybat isabug da iti king paligid na ning altar, lele nang pasbul ning Tolda."
Leviticus,1,6,"Kaybat na nita, ilako ne balat ing animal at saka ne pamiraswan,"
Leviticus,1,7,at ding lalaking anak nang Aaron a pari ilang miyayus king dutung a panangab king altar at saka ra patawan.
Leviticus,1,8,Ibili ra king api ing pemirasung karni at ing buntuk at taba ning animal.
Leviticus,1,9,"Luglugan na pa mu ning miyayain ing laman lub at ding bitis ning animal bayu ibili king altar. Ing pari ya ing duluk kabilugan kaniting ain king altar. Babie tula kanaku, ing Ginu , ing bau na niting ain-a-pamangan."
Leviticus,1,10,"Neng miyayain yang tupa o kambing a durulukan ing ninuman, kailangan ing lalaki ya at ala yang dipektu."
Leviticus,1,11,Paten ne iti king dane nang norti ning altar at isabug da ring pari ing daya ning animal king paligid na ning altar.
Leviticus,1,12,Pamiraswan ne at ibili na ning pari king api ning altar ing miyayaliwa nang dake ning animal at ing buntuk ampon taba ning animal.
Leviticus,1,13,"Luglugan na ning miyayain ing laman lub ampon ding bitis ning animal, at ing pari ya ing miyain kareti king Ginu at dulukan na ngan king altar. Babie tula kanaku, ing Ginu , ing bau na niting ain-a-pamangan."
Leviticus,1,14,"Nung miyayain yang ayup a dulukan ing ninuman, batu-batu o kaya pitsun ing idala na."
Leviticus,1,15,Ing pari ya ing miyain kaniti king altar; palipitan ne batal ing ayup at dulukan ne ing buntuk king altar. Patuluan na ing daya king paligid na ning altar.
Leviticus,1,16,"Ilako ne bulbul ampon buksi at iyugse na iti king piyugsianan abu, karin king dane aslagan ning altar."
Leviticus,1,17,"Kaybat na nita, talnan ne karing pakpak at saka ne pirasuan a katawan; ita sanang e la mikawani ding pakpak. Kaybat, dulukan neng kabilugan king altar. Babie tula kanaku, ing Ginu , ing bau na niting ain-a-pamangan."
Leviticus,2,1,"Neng miyayain yang ain-a-binutil ing ninuman para kanaku, ing Ginu , sukat na pa mung gilingan iti ban magawang arina. Tugtugan nang larung olibo at dinan nang insenso,"
Leviticus,2,2,"at kaybat idala na karing pari a anak nang Aaron. Ing paring mangasiwa ya ing kumang kasakmal king arina at ing laru ampon ing sablang insenso a atyu babo na ning arina ban dulukan na king altar bilang tanda ning e na pamangalinguan at bilang mabanglung ain kanaku, ing Ginu ."
Leviticus,2,3,"Mangaintulid karing pari ing mitagan king ain-a-binutil. Iti sagradu uling dake na ning ain a miyain kanaku, ing Ginu ."
Leviticus,2,4,"Nung ing yayain tinape yang melutu king ornu, sukat ing ala yang sangkap a lebadura. Malyaring tinape lang makapal a megawa king arinang semutanan larung olibo o kaya tinape lang maimpis a kiskasanan larung olibo."
Leviticus,2,5,"Nung ing yayain tinape yang melutu king sala-salang bakal, sukat ing megawa ya king mapinung arinang semutanan larung olibo, oneng ala yang lebadura."
Leviticus,2,6,"Piraswan lang mangalati deti at tugtugan lang laru potang iyain la bilang ain kanaku, ing Ginu ."
Leviticus,2,7,"Nung ing yayain tinape yang melutu king kawali, sukat ing megawa ya king mapinung arina at larung olibo."
Leviticus,2,8,"Idala iti king pari at ya ing miyain king altar bilang ain kanaku, ing Ginu ."
Leviticus,2,9,"Kuma yang kapirasu ing pari at dulukan ne iti king altar bilang tanda ning e pamangalinguan. Babie tula kanaku, ing Ginu , ing bau na niting ain-a-pamangan."
Leviticus,2,10,"Mangaintulid king paring i Aaron at karing anak na ing mitagan king ain. Iti sagradu uling dake na ning ain a miyain kanaku, ing Ginu ."
Leviticus,2,11,E sukat misamutanan lebadura ing isanu pa man karing ain-a-binutil a yayain yu; e kayu misasamut lebadura ni pulut-panilan king yayain yu.
Leviticus,2,12,"Ing pamag-ain yu karing mumunang bunga na ning kekayung pupul balang banua sukat yang idala kanaku, ing Ginu ; oneng e sukat dulukan iti king altar."
Leviticus,2,13,"Dinan yung asin ing balang ain-a-binutil a yayain yu, uling pawaga na ning asin ing kasunduan a tenguanan yu king Dios. (Inya sukat yung sangkapan asin ing sablang ain.)"
Leviticus,2,14,"Neng ing yayain yu ibat king mumunang bunga na ning pupul yung binutil, sukat ing misingle na iti o kaya giniling na."
Leviticus,2,15,Tugtugan yung larung olibo at dinan insenso.
Leviticus,2,16,"Kuanan na ning pari itang dake dulukan ampon ing laru at insenso bilang tanda ning e pamangalinguan. Iti ya ing ain-a-pamangan para kanaku, ing Ginu ."
Leviticus,3,1,"Nung ing yayain ning ninuman metung yang ain-ning-pamisulusulu, iyain ne ing metung karing toro o baka na, at sukat ing ala yang dipektu."
Leviticus,3,2,"Itumpak ne ning miyayain ing gamat na king buntuk na ning animal at saka ne paten king tulid nang pasbul ning Toldang tuknangan ku, ing Ginu . Ding pari a anak nang Aaron ilang misabug king daya king paligid na ning altar."
Leviticus,3,3,"Kaybat na nita, iyain da kanaku, ing Ginu , bilang ain-a-pamangan ing miyayaliwang dake na ning animal; ing sablang taba ning laman lub,"
Leviticus,3,4,"ding adua nang batu ampon ing taba ra, at ing masanting nang dake ning ate."
Leviticus,3,5,"Ding pari ilang duluk ngan kaniti potang mibili na king altar kayabe ning aliwa pang ain-a-durulukan. Babie tula kanaku, ing Ginu , ing bau na niting ain-a-pamangan."
Leviticus,3,6,"Nung tupa ya o kambing ing magamit bilang ain-ning-pamisulusulu, lalaki ya man o kaya babai, sukat ing ala yang dipektu."
Leviticus,3,7,"Nung tupa ne man ing iyain, idala ne ning miyayain king arapan ku, ing Ginu ."
Leviticus,3,8,"Kaybat na nita, itumpak ne ing gamat na king buntuk ning tupa at paten ne karin king arap ning Tolda. Isabug da ring pari ing daya ning tupa king paligid na ning altar,"
Leviticus,3,9,"at iyain da la reting dake na ning animal bilang ain-a-pamangan a iyain kanaku, ing Ginu : ing taba at ing sablang taba a meyakua king iki ampon kaikut, ing sablang tabang pekabalut ning laman lub,"
Leviticus,3,10,ding adua nang batu ampon ing taba ra at ing pemakasanting nang dake ning ate.
Leviticus,3,11,"Dulukan na ngan iti ning pari a mangasiwa karin king altar bilang ain-a-pamangan para kanaku, ing Ginu ."
Leviticus,3,12,"Nung kambing ne man ing iyain,"
Leviticus,3,13,"itumpak ne ning miyayain ing gamat na king buntuk na ning kambing, at kaybat paten ne ing kambing king arap ning Tolda. Isabug da ring pari ing daya ning kambing king paligid na ning altar,"
Leviticus,3,14,"at iyain da la ring makatuking dake na ning kambing bilang ain-a-pamangan a iyain kanaku, ing Ginu : ing sablang taba ning laman lub,"
Leviticus,3,15,ding adua nang batu ampon ing taba ra at ing masanting nang dake ning ate.
Leviticus,3,16,"Dulukan na ngan iti ning pari karin king altar bilang ain-a-pamangan, at iti babie tula kanaku, ing Ginu . Mangaintulid ing sablang taba kanaku, ing Ginu ."
Leviticus,3,17,Alang Israelita a malyaring mangan taba o daya; iti metung yang tuntunan a sukat matupad king kapilan pa man at nukarin la man manuknangan.
Leviticus,4,1,"Ngana ning Ginu kang Moises,"
Leviticus,4,2,"Sabian mu karing memalen na ning Israel king ing ninumang mikasala king isanu pa man karing kautusan ku, ing Ginu , king e na sasarian, sukat yang pailalam karing makatuking tuntunan."
Leviticus,4,3,"Nung ing mikasala ya ing Pamuntuk da ring Pari at uli na niti midame la ding tau king pamikasala na, sukat yang miyain biserung toro a alang dipektu, at iyain ne iti kanaku, ing Ginu , para king kasalanan na."
Leviticus,4,4,"Idala ne ing toro king tulid nang pasbul ning Tolda; itumpak ne ing gamat na king buntuk na ning toro at paten ne karin king arapan ku, ing Ginu ."
Leviticus,4,5,"Kaybat na nita, ing Pamuntuk da ring Pari a mikasala kuma yang ditak king daya na ning toro at idala na kilub ning Tolda."
Leviticus,4,6,Itiltil ne ing taliri na king daya at ipisik na iting makatapitung besis king arap ning tabing.
Leviticus,4,7,"Kaybat, ibili na ing ditak a daya karing sagung atyu karing suluk ning altar a pidurulukan king mabanglung insenso kilub ning Tolda. Itugtug na kanita ing dayang mitagan king talpakan na ning altar a pidurulukan karing ain a atyu king tulid nang pasbul ning Tolda."
Leviticus,4,8,"Kuanan na ing sablang taba ning toro, ing taba ning laman lub,"
Leviticus,4,9,"ding adua nang batu ampon ing taba ra, ing taba ning balakang, at ing masanting nang diling dake ning ate."
Leviticus,4,10,"Kuanan na ning pari iting taba at dulukan na king altar a magamit para king pamanduluk karing ain, antimo ing daraptan na king taba na ning animal a mepate para king ain-ning-pamisulusulu."
Leviticus,4,11,"Pero kuanan na ing balat, ing sabla nang laman, buntuk, bitis, laman lub, at pati na ing bituka."
Leviticus,4,12,"Idala na ngan iti king lual na ning kampu ketang lugal a malinis para piyugsianan king abu, at karin na ngan silaban."
Leviticus,4,13,"Nung ing kabilugan a balen ning Israel ya ing mikasala at mekalabag ya king kautusan ku, ing Ginu , king e na sasarian,"
Leviticus,4,14,"kabud mebalu ing pamikasala, magdala yang biserung toro ing kapulungan bilang ain para king pangapatawaran ning kasalanan. Idala de iti arap na ning Toldang tuknangan ku, ing Ginu ."
Leviticus,4,15,"Itumpak da la ring gamat da ring manimuna na ning balen king buntuk ning toro, at kaybat paten de karin mu rin."
Leviticus,4,16,Kuma yang ditak king daya ing Pamuntuk da ring Pari at ilub na iti king Tolda.
Leviticus,4,17,Itiltil ne kanita ing taliri na king daya at ipisik nang makatapitung besis arap ning tabing.
Leviticus,4,18,Dinan na la namang daya ding sagung atyu makapaligid king altar ning pidurulukan insenso. Itugtug na ing dayang mitagan king talpakan na ning altar a pidurulukan ain a atyu king tulid nang pasbul ning Tolda.
Leviticus,4,19,"Kaybat na nita, kuanan na ing taba at dulukan na iti king altar,"
Leviticus,4,20,"antimo ing depatan na king taba ning torong miyain para king pangapatawaran ning kasalanan. Daptan na ning pari iti ban mipatawaran la kasalanan ding tau, at mipatawaran no man."
Leviticus,4,21,"Kaybat na nita, ilual ne king kampu ing toro, at karin ne dulukan antimo nung makananu neng dilukan ing torong miyain para king sarili nang kasalanan. Iti ya ing ain para king pangapatawaran na kasalanan ning kapulungan."
Leviticus,4,22,"Nung ing pamuntuk na ning kapulungan ya ing mikasala at mekalabag metung karing kautusan ku, ing Ginu , king e na sasarian,"
Leviticus,4,23,"kabud meyaus ya pansin tungkul king pamikasala na, sukat yang magdalang metung a kambing a lalaki a alang dipektu bilang ain na."
Leviticus,4,24,"Itumpak ne ing gamat na king buntuk ning kambing, at saka ne paten karin king dane nang norti ning altar nung nu ra la papaten ding animal a miyayain bilang ain-a-durulukan. Iti ya ing ain a makalako king kasalanan na."
Leviticus,4,25,Kuma yang ditak ing pari king daya na ning kambing at ibili na iti karing sagu na ning altar ning pidurulukan ain. Itugtug na ing dayang mitagan king talpakan na ning altar.
Leviticus,4,26,"Kaybat na nita, kuanan na ing sablang taba at idala na king altar ban dulukan bilang ain-ning-pamisulusulu. Iti ing daptan na ning pari king kasalanan na ning pamuntuk ning kapulungan, at mipatawaran ya."
Leviticus,4,27,"Nung karaniwan yang memalen ing mikasala at mekalabag yang metung karing kautusan ku, ing Ginu , king e na sasarian,"
Leviticus,4,28,"kabud meyaus ya pansin king pamikasala na, sukat yang magdalang metung a babaing kambing a alang dipektu bilang ain na."
Leviticus,4,29,"Itumpak ne ing gamat na king buntuk ning kambing, at saka ne paten karin king dane nang norti ning altar nung nu ra la papaten ding animal a miyayain bilang ain-a-durulukan."
Leviticus,4,30,Kuma yang ditak ing pari king daya na ning kambing at ibili na iti karing sagung atyu king altar. Itugtug na ing dayang mitagan king talpakan na ning altar.
Leviticus,4,31,"Kaybat na nita, kuanan na ing sablang taba, antimo nung makananung lalako ing taba ning animal a pete para king ain-ning-pamisulusulu. Idala na iti king altar at karin na dulukan. Babie tula kanaku, ing Ginu , ing bau na niti. Iti ya ing daptan na ning pari ban mipatawaran ya kasalanan ing taung karaniwan, at mipatawaran ya."
Leviticus,4,32,"Nung ing iyain na ning ninuman para king kasalanan na metung yang tupa, sukat ing babai ya ing tupa at ala yang dipektu."
Leviticus,4,33,"Itumpak ne ing gamat na king buntuk ning tupa, at saka ne paten karin king dane nang norti ning altar nung nu ra la papaten ding animal para karing ain-a-durulukan."
Leviticus,4,34,"Kuma yang ditak a daya ing pari at ibili na iti karing sagung atyu king paligid na ning altar. Kaybat na nita, itugtug na ing dayang mitagan king talpakan na ning altar."
Leviticus,4,35,"Kuanan na ning pari ing sablang taba, antimo nung makananu rang kakuanan ing taba ning tupang pete ra para karing ain-ning-pamisulusulu. Idala na iti king altar at dulukan na karin pati na ing pamangan a miyain kanaku, ing Ginu . King anti kaniting paralan ne iyain ning pari ing ain-a-kapamayaran-king-kasalanan ning mikasala, at mipatawaran ya."
Leviticus,5,1,"Nung mayawad king metung a tau ing magtestigu ya tungkul king bage mepalyari a ikit na o balu na, pero e ya bisang magsalita, mikasala ya at atin yang pakibatan."
Leviticus,5,2,"Nung ing ninuman mekatagkil yang nanumang bage a kikilalanan nang marinat ning kautusan a antimo ing bangke ning animal, midinatan ya at mikasala kabud akilala na ing depatan na."
Leviticus,5,3,"Nung ing ninuman, king e na sasarian, mekatagkil yang bage marinat a ibat king tau, nanu ya pa man iti, mikasala ya kabud akilala na ing depatan na."
Leviticus,5,4,"Nung mipatalusad ya dila ing ninuman king pamangawang pangaku, e mayap o mayap tungkul king nanu pa mang bage, mikasala ya kabud akilala na ing depatan na."
Leviticus,5,5,Nung mikasala ya ing ninuman karing bage mebanggit na sukat nang ipagtapat ing kasalanan na.
Leviticus,5,6,"Ban mipatawaran ya, sukat yang miyain kanaku, ing Ginu , metung a babaing tupa o kaya babaing kambing. Iyain ne iti ning pari para king pangapatawaran na ning mikasala."
Leviticus,5,7,"Nung e ne agyung iyain ning ninuman ing metung a tupa o kambing, miyain yang aduang pitsun kanaku, ing Ginu , o kaya aduang batu-batu bilang kapamayaran king depat nang kasalanan. Miyain ya ing metung karing ain-a-kapamayaran-king-kasalanan at ing metung bilang ain-a-durulukan."
Leviticus,5,8,"Idala na la deti king pari, at iyain neng mumuna ing ayup a makatalaga para king ain-a-kapamayaran-king-kasalanan. Palipitan ne batal, pero e ne paburen matatanggal a buntuk."
Leviticus,5,9,Ipisik na kanita ing daya king lele na ning altar. Patiktikan na ngan ing mitagan king daya king talpakan na ning altar. Iti metung yang ain a makalako king kasalanan.
Leviticus,5,10,"Kaybat na nita, iyain ne ing kaduang ayup bilang ain-a-durulukan, agpang karing tuntunan. Makanyan neng iyain ning pari para king pangapatawaran na kasalanan ning mikasala, at mipatawaran ya."
Leviticus,5,11,"Nung e na la pa mu rin agyung iyain ning ninuman ding aduang pitsun o ding aduang batu-batu, sukat yang magdalang atlu ampon kapitnang litrung mapinung arina bilang ain-a-kapamayaran-king-kasalanan. E na sasamutanan larung olibo o insenso, uling iti metung yang ain-a-kapamayaran-king-kasalanan."
Leviticus,5,12,"Idala na iti king pari a kumang kasakmal kaniti anting simbulu king ing kabilugan miyain na kanaku, ing Ginu , at dulukan na ning pari ing kinua nang kasakmal karin king altar bilang ain-a-pamangan. Metung ya iti karing ain a makalako king kasalanan."
Leviticus,5,13,"King anti kaniting paralan na iyain ning pari ing ain-a-kapamayaran-king-kasalanan ning mikasala, at mipatawaran ne man. Mangaintulid king pari ing mitagan king ain, antimo ing mararapat king pamiyain ain-a-binutil."
Leviticus,5,14,"Ngana ning Ginu kang Moises,"
Leviticus,5,15,"Nung ating mikasala king e na sasarian a antimo ing e na pamamie ketang bage sagradu a mangaintulid kanaku, ing Ginu , sukat yang magdalang metung a lalaking tupa o lalaking kambing a alang dipektu bilang ain-a-kapaglarinan-king-kasalanan kanaku. Makayagpang ing alaga na ning animal king timbangan ning santuaryu."
Leviticus,5,16,"Sukat na namang bayaran itang alagang akalinguan nang beyaran, at sukat neng patunganan beinti por sientu ing mesabing alaga. Ibie na iti king pari, at iyain ne ning pari ing animal bilang ain-a-kapamayaran-king-kasalanan na, at mipatawaran ya."
Leviticus,5,17,"Nung mekalabag ya ing ninuman king e na sasarian karing kautusan ku, mikasala ya at kailangan nang bayaran ing depat nang pamikasala."
Leviticus,5,18,"Kailangan ing idala ne king pari ing metung a lalaking tupa o lalaking kambing a alang dipektu. Makayagpang ya ing alaga na ning animal king timbangan ning santuaryu. Iyain ne iti ning pari para king pangapatawaran na ning kasalanan na ning mikasala, at mipatawaran ya."
Leviticus,5,19,"Ing ain a iti para king kasalanan ya, uling mikasala ya kanaku, ing Ginu ."
Leviticus,6,1,"Ngana pa ning Ginu kang Moises,"
Leviticus,6,2,Mikasala ya ing ninuman nung ilingad ne ing bage a penilas da keya o e tinupad king kasunduan o menako ya o kaya migsamantala ya king kalupa nang tau
Leviticus,6,3,o payalian ne ing metung a bage a apulut na at sinumpa yang e ne ikit.
Leviticus,6,4,"Bayaran ne ning mikasala itang penako na, ing bindian nang apulut o mipanilas keya a babandian na."
Leviticus,6,5,"Isubli ne ing isanu man kareting mebanggit, at saka ne pa patunganan beinti por sientu ing alagang sukat bayaran na."
Leviticus,6,6,"Kailangan ya namang miyain metung karing sese nang lalaking tupa o lalaking kambing a alang dipektu. Idala ne iti king pari bilang kapamayaran kanaku, ing Ginu . Makayagpang ya ing alaga na ning animal king timbangan ning santuaryu."
Leviticus,6,7,"Iyain ne iti ning pari para king pangapatawaran ning kasalanan na ning mikasala, at mipatawaran ya."
Leviticus,6,8,"Ngana pa ning Ginu kang Moises,"
Leviticus,6,9,Sabian mu la kang Aaron at karing anak nang lalaki deting tuntunan tungkul karing ain-a-durulukan. Sukat yang manatiling kabukas ing metung a ain-a-durulukan king altar a ating aping e matatda.
Leviticus,6,10,"Kaybat na nita, isulud ne ning pari ing barung makabang linen ampon salol a linen at saka na ilako ing abu. Ibili na iti king lele na ning altar."
Leviticus,6,11,"Kaybat na nita, manalili yang piblas ing pari, at idala na ing abu king lual na ning kampu; ketang lugal a malinis a mitalaga para kaniti."
Leviticus,6,12,Sukat manatiling mitatau ing api king altar; tamban kabukas. Dagdagan na tangab ning pari balang abak; ayusan ne babo ning tangab ing ain-a-durulukan at dulukan na ing taba na ning ain-ning-pamisulusulu.
Leviticus,6,13,Sukat manatiling mitatau ing api king altar; e paburen matatda.
Leviticus,6,14,"Ila naman deti ring tuntunan tungkul king ain-a-binutil. Ding pari a anak nang Aaron ilang malyaring miyain kaniti king altar ku, ing Ginu ."
Leviticus,6,15,"Kuma yang kasakmal ing metung karela king mapinung arinang semutanan laru at insenso. Kaybat, dulukan na iti king altar bilang tanda king ing kabilugan a ain miyain na kanaku, ing Ginu . Babie tula kanaku, ing Ginu , ing bau na niting ain."
Leviticus,6,16,Mangaintulid karing pari ing mitagan king ain.
Leviticus,6,17,"Gawan dang tinape alang lebadura at kanan da iti king metung a lugal a banal; kilub na ning patyu ning Tolda. Binie ku na, ing Ginu , iti karing pari bilang dake ra karing ain-a-pamangan. Iti tune banal; kalupa re ding ain-a-kapamayaran-king-kasalanan at ding ain-a-kapaglarinan-king-kasalanan."
Leviticus,6,18,"Malyari dang kanan king kapilan pa man ding sablang lalaki king lahi nang Aaron iting dake ra king pamangan a miyayain kanaku, ing Ginu . Manasakit ya ing ninumang tagkil king ain-a-pamangan, uli na ning kabanalan na niti."
Leviticus,6,19,"Ngana pa ning Ginu kang Moises,"
Leviticus,6,20,Iti ya ing ain a idala na kanakung Aaron at anak nang lalaki king aldo na ning karelang ordinasyun: atlu at kapitnang litrung mapinung arina (anti ring karaniwan ain-a-binutil). Iyain neng abak ing kapitna kaniti at itang kapitna neng gatpanapun.
Leviticus,6,21,"Samutanan tabang olibo at ilutu king sala-salang bakal. Kaybat na nita, pisian yang mangalati at iyain bilang ain-a-binutil. Babie tula kanaku, ing Ginu , ing bau na niti."
Leviticus,6,22,"Karing panaun a daratang, iting pamiyain sukat neng gampanan ning balang lahi nang Aaron a susuyu bilang Pamuntuk da ring Pari."
Leviticus,6,23,Iting ain-a-binutil a iyain ning pari sukat ngang dulukan kabilugan; e malyaring kanan iti.
Leviticus,6,24,"Ngana pa ning Ginu kang Moises,"
Leviticus,6,25,Sabian mu kang Aaron at karing anak nang lalaki king deti naman ila ring tuntunan tungkul karing ain-a-kapamayaran-king-kasalanan. Sukat yang paten ing animal a magamit king ain-a-kapamayaran-king-kasalanan king dane nang norti ning altar nung nu ra la papaten ding animal para karing ain-a-durulukan. Iti metung yang ain a tune banal.
Leviticus,6,26,"Kanan ne ning pari a miyayain kaniti ketang lugal a banal, ing patyu na ning Toldang tuknangan ku."
Leviticus,6,27,"Manasakit ya king upaya na ning kabanalan na niti ing ninumang makatagkil king laman na niting animal. Nung ating nanu pa mang imalan a mitalamsikan king daya na ning animal, pipian ya iti king lugal a banal."
Leviticus,6,28,"Sukat yang balbalan ing isanu mang kasangkapan a kapsa a megamit king pamipabukal king karni. Nung kasangkapan yang bakal ing megamit, sukat yang isisan at luglugan king danum."
Leviticus,6,29,Malyari yang mangan kaniting ain ing ninumang lalaking miembru da ring pamilyang pari; iti metung a bage banal.
Leviticus,6,30,"Nung atin lang linub king Tolda king daya na niting animal at megamit iti king seremonia na ning pamaglako king kasalanan, e ya sukat kakanan ing animal; dulukan ya."
Leviticus,7,1,Ila naman deti ring tuntunan tungkul karing ain-a-kapaglarinan-king-kasalanan a tune banal.
Leviticus,7,2,Ing animal a iyain para bayaran ing kasalanan sukat yang paten king dane nang norti ning altar nung nu ra la papaten ding animal para karing ain-a-durulukan. Sukat isabug ing daya king paligid ning altar.
Leviticus,7,3,"Ilako ing sablang taba na at iyain king altar; itang taba king iki, ing tabang babalut karing laman lub,"
Leviticus,7,4,"ding aduang batu at ing taba da reti, at ing masanting nang dake ning ate."
Leviticus,7,5,"Dulukan na ngan ning pari iti king altar bilang ain-a-pamangan para kanaku, ing Ginu . Iti metung yang ain-a-kapaglarinan-king-kasalanan."
Leviticus,7,6,"Malyari yang mangan king mitagan ing ninuman karing lalaking miembru da ring pamilyang pari, pero sukat kanan iti king lugal a banal, uling iti banal."
Leviticus,7,7,Ating metung a tuntunan tungkul karing ain-a-kapamayaran-king-kasalanan at king ain-a-kapaglarinan-king-kasalanan. Mangaintulid ing karni king paring mangasiwa.
Leviticus,7,8,Mangaintulid munaman ing balat ning animal a miyayain king pari a miyayain kaniti.
Leviticus,7,9,Ing balang ain-a-binutil a melutu king ornu o melutu king kawali o kaya king sala-salang bakal mangaintulid munaman king pari a miyayain kaniti king Dios.
Leviticus,7,10,"Pero ing balang trigung e lutu, ating samut a taba o ala, mangaintulid ngan karing paring anak nang Aaron at sukat pirarakayan para king metung at metung."
Leviticus,7,11,"Ila naman deti ring tuntunan tungkul karing ain-ning-pamisulusulu a miyain para kanaku, ing Ginu ."
Leviticus,7,12,"Nung gampanan ne ning ninuman ing anti kaniting kasuyuan bilang ain-a-kapasalamatan, iyabe na la ding tinape alang lebadura king animal a miyain. Malyari lang makapal deting tinape a megawa king arina at tabang olibo o kiskasanan king taba o kaya megawa king mapinung arina a semutanan king tabang olibo."
Leviticus,7,13,"Karagdagan kaniti, miyain ya namang tinape ating lebadura."
Leviticus,7,14,"Iyain ne ing balang uring tinape bilang metung a makapasubaling ain kanaku, ing Ginu ; mangaintulid la reti king pari a kukua king daya ning animal. Kaybat na nita, isabug na king arap ning altar."
Leviticus,7,15,Sukat mapangan ing karni na ning animal king aldo mu rin a miyain ya; ala sanang mitatagan angga king kabukasan abak.
Leviticus,7,16,"Nung miyain yang ain-ning-pamisulusulu bilang pamanupad king panata na o kaya ain yang kusa nang babie, e ya sukat pakigisanan ing anti kaniting ain itang aldo miyain ya, pero malyari yang kanan ing mitagan itang kabukasan."
Leviticus,7,17,"Nung king katlung aldo atin pang mitagan king karni, iti sukat nang dulukan."
Leviticus,7,18,"Nung ating mapangan kaniting tagan king katlung aldo, e ku na tanggapan ing ain a iti; ala nang ulaga. Maging makasumami ya at mika pakibatan ya pa ing ninumang mangan kaniti."
