book,chapter,verse_number,text
Exodus,1,1,Saray anak nen Jacob tan saray pamilya ra a kaiba to ran linmad Egipto et saraya:
Exodus,1,2,"Ruben, Simeon, Levi, Juda,"
Exodus,1,3,"Isacar, Zabulon, Benjamin,"
Exodus,1,4,"Dan, Neftali, Gad, tan Aser."
Exodus,1,5,"Pitomplo ya amin iray anak tan apo nen Jacob, a pati si Jose a wadman la ed Egipto."
Exodus,1,6,"Diad impankurang na panaon si Jose, saramay agagi to, tan amin a totoo ed saman a kailalakan et inaatey ira."
Exodus,1,7,"Balet amayamay iray anak tan apo na saman a kailalakan, a salanti saray Israelita; dinmakerakel ira tan nagmaliw iran makapanyarin tuloy, kanyan kinmayat iran nanayam ed intiron bansa na Egipto."
Exodus,1,8,Sinmabiy panaon a walay balon ari na Egipto ya ag to kabat si Jose.
Exodus,1,9,"Sayan ari inkuantod saray totoo to, “Makapataktakot la ra yan Israelita, ta dakerakel tan makapanyari la ra nen say sikatayo."
Exodus,1,10,"Gawaen tayoy kasiliban a pamatonda na idadakel da, ta no walay onsabi-sabin bakal, ag la pigan migampi rad saray kalaban tayo. Onlaban irad satan ed sikatayo, insan da taynan so bansa tayo.”"
Exodus,1,11,Kanyan angipasen iray Egipsio na saray opisyal a mamairap ed saray Israelita. Impankikimey da ra na ambelat diad impamaalagey dad saray siudad na Pitom tan Rameses a panangisempenay abasto na ari.
Exodus,1,12,"Balet no panoy impanpapairap na saray Egipsio ed saray Israelita, lalon ondarakel ira tan onaawang so pasen a panaayaman da. Apagaan ed satan iray Egipsio ed saray Israelita,"
Exodus,1,13,kanyan impagmaliw dan masegsegang so bilay da. Pinapasoot da ran inaripen. Impankikimey da rad panagmasa na dalin tan diad panaggawa na laryo; impankikimey da met ni rad kaalogan da. Ag da ran balut kinasian.
Exodus,1,14,kanyan impagmaliw dan masegsegang so bilay da. Pinapasoot da ran inaripen. Impankikimey da rad panagmasa na dalin tan diad panaggawa na laryo; impankikimey da met ni rad kaalogan da. Ag da ran balut kinasian.
Exodus,1,15,"Insan say ari na Egipto akisalitad kindi Sifra tan Pua, saray duaran manamianak a Hebrea."
Exodus,1,16,"Inkuantod sikara, “No mamaanak kayod saray bibiin Hebrea, patey yo so ogaw no laki, balet ag yo papateyen no bii.”"
Exodus,1,17,"Balet sarayan manamianak, lapud walay takot dad Dios, ag da inonur imay ingganggan na ari ed sikara; ag da pinatey iray ogogaw a lalaki."
Exodus,1,18,"Impatawag to sirin ira yan manamianak tan tinepet tod sikara, “Akin et onyay gagawaen yo? Akin et ag yo papateyen iray ogogaw a lalaki?”"
Exodus,1,19,"Inmebat ira may manamianak, “Aliwan singa saray bibiin Egipsia iray bibiin Hebrea, ta mainomay iran mananak; ag ni sinmabiy manamianak et akapananak la ra.”"
Exodus,1,20,"Lapud sarayan manamianak et walay takot dad Dios, tinumangan ira na Dios tan initdan to ray anak da."
Exodus,1,21,Ag tinmonda so indakel na saray Israelita tan nagmaliw iran makapanyarin tuloy.
Exodus,1,22,"Diad satan, say ari angipaakseb na sakey a ganggan ed saray amin a totoo to: “Ipaanur yod Ilog na Nilo so balang Hebreon laki a kapangyanak, balet ag yo papateyen iray kapangyanak a bibii.”"
Exodus,2,1,Diad saman a panaon walay sakey a lakin kabyangay boleg nen Levi ya angasaway biin kabolegan to.
Exodus,2,2,"Nanlokun yan bii tan nananak na laki. Nen anengneng to a balibalin ogaw so anak to, inyamut ton taloy bulan."
Exodus,2,3,"Balet nen ag to la nayarian ya iyamut so anak to, angala na sakey a baskit a papiro; kinapolan to na beket, pian ag naloobay danum. Insan to inlogan ed baskit imay ogaw tan inggaton to ed gilig na ilog a kawalaay atatagey a dika."
Exodus,2,4,"Say atsi to may ogaw nambantay ed bandad arawi, pian naamtaan to no antoy nagawad samay agi to."
Exodus,2,5,Et nibana a say prinsisa ya anak na ari et linmasur ed ilog a manames; balet saray mamarikit a katulong to nanakarakar irad gilig na ilog. Kabebekta anengneng to may baskit ed kawalaay atatagey a dika; ingganggan toy sakey a katulong to a mangalad samay baskit.
Exodus,2,6,"Nilokasan nen prinsisa imay baskit tan anengneng toy sakey ya ogaw a manakakis. Naabagey to tan inkuanto, “Sayan ogaw et anak na sakey ed saray bibiin Hebrea.”"
Exodus,2,7,"Insan samay atsi na ogaw inkuanto, “Itawagan ta kayo na biin Hebrea, ta komisan to yan ogaw para sikayo?”"
Exodus,2,8,"“Laka sirin,” inkuanen prinsisa. Kanyan nila ton tinawag imay ina na ogaw."
Exodus,2,9,"Inkuan na prinsisa ed samay ina, “Alam yan ogaw tan ikomisan mo ak; upaan ta ka.” Inala to sirin imay ogaw tan kinomponi to."
Exodus,2,10,"Nen baleg la may ogaw inyakar tod samay prinsisa ya anak na ari. Samay prinsisa inala to may ogaw tan impasen ton anak ton dili. Inkuanto, “Diad danum so angaonan ko, kanyan ingaran ko na Moises.”"
Exodus,2,11,"Nen baleg lay Moises dinalaw to ray agagi ton Hebreo, et naimatunan toy kakairapan da. Anengneng nen Moises so sakey ya Egipsio a mamapatey ed sakey a Hebreo a kadalaan to."
Exodus,2,12,"Nanlingaw-lingaw si Moises; nen anggapoy toon nanengneng to, pinatey to may Egipsio tan intabun tod kabueran."
Exodus,2,13,"Diad ontombuk ya agew pinmaway si Moises tan anengneng to ray duaran Hebreo a manlalaban. Inkuantod samay nankasalanan, “Akin et kakabilen moy kaparam a Hebreo?”"
