book,chapter,verse_number,text
Genesis,1,1,"Diad gapoy gapo nen pinalsa na Dios iray katawenan tan say dalin,"
Genesis,1,2,say mundo anggapoy oksuy tan nengneng to. Ambilbilonget so tapew na manungol a dayat a nilanayapan toy ganagana tan mansiplug so pakayari na Dios ed tapew na danum.
Genesis,1,3,"Insan inkuan na Dios, “Onlesa so liwawa”—et linmesay liwawa;"
Genesis,1,4,anengneng na Dios a maung so liwawa. Insan imbiig na Dios so liwawa ed bilonget;
Genesis,1,5,tinawag to na “Agew” so liwawa tan “Labi” so bilonget. Linmabas so labi tan sinmabiy kabwasan—sikato ya so onaan ya agew.
Genesis,1,6,"Insan inkuan na Dios, “Onlesay liwang a mamalduay danum tan pambiigan tod duaran pasen”—et agawa."
Genesis,1,7,"Onya so impamalsa na Dios ed liwang a linmeet ed danum, kanyan walay danum ed tagey to tan diad leksab to."
Genesis,1,8,Tinawag to na “Tawen” so liwang. Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumadwan agew.
Genesis,1,9,"Insan inkuan na Dios, “Natipon ed sakey a pasen so danum a walad silong na tawen, pian ompaway so amagan pasen”—et agawa."
Genesis,1,10,"Tinawag to na “Dalin” so amagan pasen, tan “Dayat” imay danum ya atipon. Say Dios anengneng to a maung so agawa."
Genesis,1,11,"Insan ingganggan na Dios, “Sikan dalin, mamatubo ka na amin a klasiy tanaman, saray mangiter na ilik tan saray mambungay prutas a nambokel”—et agawa."
Genesis,1,12,"Pinatubo na dalin iray amin a klasiy tanaman, saray mangiter na ilik, saray mambungay prutas a nambokel. Say Dios anengneng to a maung so agawa."
Genesis,1,13,Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumatlon agew.
Genesis,1,14,"Insan inkuan na Dios, “Onlesa ed tawen iray silew a mangibiig na agew ed labi tan mangipanengneng na igapo na saray agew, taon, tan saray panaon;"
Genesis,1,15,onsilew irad tawen a mangiter na liwawa ed dalin”—et agawa.
Genesis,1,16,"Onya so impamalsa na Dios ed saray duaran baleg a silew, say banwa a baleg a silew a manoley no agew tan say bulan a memelag a silew a manoley no labi; pinalsa to met iray bitewen."
Genesis,1,17,"Impasen tod tawen ira yan silew a mangiter na liwawa ed dalin,"
Genesis,1,18,"manoley no agew tan labi, tan mangibiig na liwawa ed bilonget. Say Dios anengneng to a maung so agawa."
Genesis,1,19,Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumapat ya agew.
Genesis,1,20,"Insan ingganggan na Dios, “Sikan danum, mamawala ka na amayamay a klasiy mabilay a bengatla, tan sikan liwang, mamawala ka na amayamay a klasiy manok.”"
Genesis,1,21,"Onya so impamalsa na Dios ed saray ankakabaleg a dragon ed dayat, amin a klasiy pinalsa a manaayam ed danum, tan amin a klasiy manok. Say Dios anengneng to a maung so agawa."
Genesis,1,22,"Binindisionan to ran amin a kuantod sikara, “Sikayo ran pinalsan manaayam ed danum, mamparakel kayo tan pano yoy dayat, tan sikayo ran manok, mamparakel kayo.”"
Genesis,1,23,Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumaliman agew.
Genesis,1,24,"Insan ingganggan na Dios, “Sika a dalin, mamawala ka na amin a klasiy mabilay ya ayep, saray amo tan saray atap, saray baleg tan saray melag”—et agawa."
Genesis,1,25,Onya so impamalsa na Dios ed sarayan amin ya ayayep. Say Dios anengneng to a maung so agawa.
Genesis,1,26,"Insan inkuan na Dios, “Natan mamalsa tayoy too; gawaen tayo ran kaparparay indengan tayo tan kaolibay tayo. Sikaray manoley ed saray sira, saray manok, tan amin ya ayayep, saray amo tan saray atap, saray baleg tan saray melag.”"
Genesis,1,27,"Onya so impamalsa na Dios ed too; pinalsa to ra a kaparay indengan to. Pinalsa toy laki tan say bii,"
Genesis,1,28,"binindisionan to ra, tan inkuantod sikara, “Mamparakel kayoy anak, makmakan yoy intiron mundo, tan oleyan yo. Oleyan yo ray sira, saray manok, tan amin iray ayayep."
Genesis,1,29,Inter kon tagano yo iray amin a tanaman a mangiter na ilik tan amin a kiew a mambungay prutas a nambokel;
Genesis,1,30,balet inter kod saray ayayep tan saray amin a manok iray dika tan tanaman a tagano ra”—et agawa.
Genesis,1,31,"Ninengneng na Dios iray pinalsa to, et maung a tuloy iran amin. Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumanem ya agew."
Genesis,2,1,Asumpal sirin ya apalsa so tawen tan dalin tan amin a logan da.
Genesis,2,2,"Diad loob na anem agew asumpal na Dios a pinalsa ira yan amin, insan diad kumapiton agew nampainawa ed amin a kimey to."
Genesis,2,3,"Binindisionan na Dios yan kumapiton agew tan imbiig ton sakey a masanton agew, ta diad sayan agew asumpal toy impamalsa tod ganagana tan nampainawa."
Genesis,2,4,"Onya so istoria na inkapalsa na sansinakuban. Nen kayari na Katawan a Dios a pinalsa so tawen tan dalin,"
Genesis,2,5,"anggapo ni ray tanaman ed dalin odino bokel a tinmubo, lapud ag to ni pinaoran, tan anggapoy toon ondalus ed dalin."
Genesis,2,6,Balet pinmaway so danum ed saray sobul tan aparanuman so dalin.
Genesis,2,7,"Insan say Katawan a Dios angalay dabuk ed dalin, minoli ton sakey a too-too, insan to iningasan na linawan manangiter na bilay ed saray abut na eleng to, et nagmaliw a mabilay a too."
Genesis,2,8,"Insan say Katawan a Dios nanggawa na sakey a tanamanan diad bandad bokig a sakop na Eden, tan diman to impanayam imay toon minoli to."
Genesis,2,9,"Pinatubo to rad may amin a klasiy mararakep a kiew tan pinabunga to ra na masasamit a prutas. Diad pegley na tanamanan so kawalaan na kiew a mangiiter na bilay, tan say kiew a mangiiter na pakaamta ed maung tan maoges."
Genesis,2,10,Walay ilog ya onaagos ed Eden tan sasalugen to may tanamanan; diad paway na Eden nansanga na apatiran ilog.
Genesis,2,11,Pison so ngaran na onaan ya ilog; onaagos ed kaliber-liber na bansa na Havila. (
Genesis,2,12,"Dia naalmoy puron balituk, tan pati nidoma-doman pabalingit tan saray ankablin batoy alahas.)"
Genesis,2,13,Gihon so ngaran na kumadwan ilog; onaagos ed kaliber-liber na bansa na Cus.
Genesis,2,14,"Tigris so ngaran na kumatlon ilog; onaagos ed bandad bokig na Asiria, tan Eufrates so ngaran na kumapat ya ilog."
Genesis,2,15,"Insan say Katawan a Dios inala to may too tan impasen tod tanamanan na Eden, pian nadalusan to tan naasikaso to."
Genesis,2,16,"Ingganggan tod sikato, “Nayarian mon kaney bunga na antokaman a kiew ed tanamanan,"
