book,chapter,verse_number,text
Leviticus,1,1,"Manlapud Tuldan Ayamay Katawan , say Katawan tinawag toy Moises tan inter tod sikato iray onggendan a totontonen"
Leviticus,1,2,"a tombuken na saray Israelita no mangibagat ira. No mangibagat na sakey ya ayep so siopaman, nepeg a say ayep a manlapud saray baka to, odino diad saray karniro to odino diad saray kanding to."
Leviticus,1,3,"No sakey ed saray baka to so isaklang ton bagat a popoolan, nepeg a bakan kalakyan ya anggapoy deral na laman to. Nepeg ton isaklang so baka diad lolooban na samay Tulda pian awaten na Katawan so mangisaklang."
Leviticus,1,4,"Samay too itapew tod olo na samay baka so lima to, et diad ontan naawat imay baka a sakey a bagat a mangekal na saray kasalanan to."
Leviticus,1,5,"Pateyen tod man imay baka, insan saray paparin anak nen Aaron iyapay dad Katawan so dala to may baka. Kayari to ya, isibo da may dala diad apatiran dapag na altar a walad lolooban to may Tulda."
Leviticus,1,6,Insan to kataten imay ayep tan tegtegtegen to.
Leviticus,1,7,Saray papari mampool irad tapew na altar insan ira mangipatalatal na saray kiew ed tapew na apoy.
Leviticus,1,8,"Ipool da ray tegteg na samay ayep, a pati say olo tan taba to."
Leviticus,1,9,"Samay too et nepeg ton orasan iray loob-loob tan saray sali, insan say parin mangibabagat poolan tod tapew na altar imay intiron bagat. Makapaliket ed Katawan so balingit na sayan bagat."
Leviticus,1,10,"No sakey ed saray karniro odino kanding so ibagat na samay too, nepeg a sakey a kalakyan ya anggapoy deral na laman to."
Leviticus,1,11,"Pateyen tod baybay a dapag na altar, insan saray papari isibo day dala to may ayep diad apatiran dapag na altar."
Leviticus,1,12,"No samay too et ategteg to la may ayep, say parin mangibabagat ipool to ray amin a parti, a pati say olo tan say taba."
Leviticus,1,13,"Samay too et nepeg ton orasan iray loob-loob tan saray sali, insan samay pari iyapay tod Katawan imay bagat tan poolan ton intiro ed tapew na altar. Makapaliket ed Katawan so balingit na sayan bagat."
Leviticus,1,14,"No samay too et mangisaklang na sakey a manok a bagat a popoolan, nepeg a sakey a malapati odino sakey a malangwer a palekpek."
Leviticus,1,15,"Say pari iyapay tod altar so manok, yesyesen tod beklew, insan to ipool ed altar so olo to. Nepeg ya ipaterter ed dapag na altar so dala to."
Leviticus,1,16,Ekalen toy bitoka to may manok tan saray karga to insan to ra ibantak ed nibokig a dapag na altar a pangiinan na dapul.
Leviticus,1,17,"Benbenan to ray payak tan pisagen to may manok balet ag to ilaus, insan to ipool ya intiro ed tapew na altar. Makapaliket ed Katawan so balingit na sayan bagat."
Leviticus,2,1,"No say sakey a too et mangisaklang ed Katawan na bagat a trigo, nepeg to nin gilingen a pagmaliwen ya arina. Patoroan to na larak na oliba tan tapewan to na insinso,"
Leviticus,2,2,insan to iyakar ed saray paparin anak nen Aaron. Say parin mangibabagat et alaen toy sankaakup ed samay arinan pinatoroan na larak tan amin imay insinso insan to ra poolan ed tapew na altar. Sikato yay pakapatnagan a nibagat lan amin ed Katawan imay arina. Makapaliket ed Katawan so balingit na sayan bagat.
Leviticus,2,3,"Kayaryan na saray papari so soluk ed sayan bagat a trigo; masanto yan tuloy, ta inala ed kakanen ya imbagat ed Katawan ."
Leviticus,2,4,"No say ibagat et tinapay a nilutod ornowan, nepeg ya anggapoy libadura to. Nayarin makapal ya inkames ed larak na oliba odino maimpis a pinoranisay larak na oliba."
Leviticus,2,5,"No say ibagat et tinapay a nilutod bibingkaan, say arina nepeg ya ikames ed larak na oliba balet ag laukan na libadura."
Leviticus,2,6,Pingpinglisen insan patoroan na larak no iyapay a sakey a bagat.
Leviticus,2,7,"No say ibagat et tinapay a nilutod kawali, say arina nepeg ya igawad larak na oliba."
Leviticus,2,8,Iyakar ya ibagat ed Katawan tan iter ed pari a sikatoy mangyakar ed altar.
Leviticus,2,9,"Samay pari mangalay daiset ed samay bagat, insan to poolan ed tapew na altar. Sikato yay pakapatnagan a nibagat lan amin imay kakanen. Makapaliket ed Katawan so balingit na sayan bagat a kakanen."
