book,chapter,verse_number,text
Exodus,1,1,"Estos son los nombres de los hijos de Israel que, acompañados de sus familias, llegaron con Jacob a Egipto:"
Exodus,1,2,"Rubén, Simeón, Leví, Judá,"
Exodus,1,3,"Isacar, Zabulón, Benjamín,"
Exodus,1,4,"Dan, Neftalí, Gad y Aser."
Exodus,1,5,"En total, los descendientes de Jacob eran setenta. José ya estaba en Egipto."
Exodus,1,6,Murieron José y sus hermanos y toda aquella generación.
Exodus,1,7,"Sin embargo, los israelitas tuvieron muchos hijos y a tal grado se multiplicaron que fueron haciéndose más y más poderosos. El país se fue llenando de ellos."
Exodus,1,8,Pero llegó al poder en Egipto un nuevo rey que no había conocido a José
Exodus,1,9,"y dijo a su pueblo: «¡Cuidado con los israelitas, que ya son más fuertes y numerosos que nosotros!"
Exodus,1,10,"Vamos a tener que manejarlos con mucha astucia; de lo contrario, seguirán aumentando y, si estalla una guerra, se unirán a nuestros enemigos, nos combatirán y se irán del país»."
Exodus,1,11,"Fue así como los egipcios pusieron capataces para que oprimieran a los israelitas. Les impusieron trabajos forzados, tales como los de edificar para el faraón las ciudades de almacenaje Pitón y Ramsés."
Exodus,1,12,"Pero cuanto más los oprimían, más se multiplicaban y se extendían, de modo que los egipcios llegaron a tenerles miedo;"
Exodus,1,13,por eso les imponían trabajos pesados y los trataban con crueldad.
Exodus,1,14,"Les amargaban la vida obligándolos a hacer mezcla, ladrillos y todas las labores del campo. En todos los trabajos de esclavos que los israelitas realizaban, los egipcios los trataban con crueldad."
Exodus,1,15,"Había dos parteras de las hebreas, llamadas Sifrá y Fuvá, a las que el rey de Egipto ordenó:"
Exodus,1,16,"—Cuando ayuden a las hebreas en sus partos, fíjense en el sexo: si es niño, mátenlo; pero si es niña, déjenla con vida."
Exodus,1,17,"Sin embargo, las parteras temían a Dios, así que no siguieron las órdenes del rey de Egipto, sino que dejaron con vida a los varones."
Exodus,1,18,Entonces el rey de Egipto mandó llamar a las parteras y les preguntó: —¿Por qué han hecho esto? ¿Por qué han dejado con vida a los varones?
Exodus,1,19,"Las parteras respondieron: —Resulta que las hebreas no son como las egipcias, sino que están llenas de vida y dan a luz antes de que lleguemos."
Exodus,1,20,"De este modo los israelitas se hicieron más numerosos y más fuertes. Además, Dios trató muy bien a las parteras"
Exodus,1,21,"y, por haberse mostrado temerosas de Dios, les concedió tener muchos hijos."
Exodus,1,22,"El faraón, por su parte, dio esta orden a todo su pueblo: —¡Tiren al río a todos los niños hebreos que nazcan! A las niñas, déjenlas con vida."
Exodus,2,1,Hubo un levita que tomó por esposa a una mujer de su propia tribu.
Exodus,2,2,"La mujer quedó embarazada y tuvo un hijo, y al verlo tan hermoso lo escondió durante tres meses."
