book,chapter,verse_number,text
Genesis,1,1,En el principio Dios creó los cielos y la tierra.
Genesis,1,2,"La tierra no tenía forma y estaba vacía, las tinieblas cubrían el abismo y el Espíritu de Dios se movía sobre la superficie de las aguas."
Genesis,1,3,Y dijo Dios: «¡Que haya luz!». Y la luz llegó a existir.
Genesis,1,4,Dios consideró que la luz era buena y la separó de las tinieblas.
Genesis,1,5,"A la luz la llamó «día» y a las tinieblas, «noche». Vino la noche y llegó la mañana: ese fue el primer día."
Genesis,1,6,Y dijo Dios: «¡Que haya una expansión en medio de las aguas y que las separe!».
Genesis,1,7,Y así sucedió. Dios hizo la expansión que separó las aguas que están debajo de las aguas que están arriba.
Genesis,1,8,A esta expansión Dios la llamó «cielo». Vino la noche y llegó la mañana: ese fue el segundo día.
Genesis,1,9,Y dijo Dios: «¡Que las aguas debajo del cielo se reúnan en un solo lugar y que aparezca lo seco!». Y así sucedió.
Genesis,1,10,A lo seco Dios lo llamó «tierra» y al conjunto de aguas lo llamó «mares». Y Dios consideró que esto era bueno.
Genesis,1,11,"Luego dijo Dios: «¡Que haya vegetación sobre la tierra; que esta produzca hierbas que den semilla y árboles que den fruto con semilla, todos según su especie!». Y así sucedió."
Genesis,1,12,"Comenzó a brotar la vegetación: hierbas que dan semilla y árboles que dan fruto con semilla, todos según su especie. Y Dios consideró que esto era bueno."
Genesis,1,13,Vino la noche y llegó la mañana: ese fue el tercer día.
Genesis,1,14,"Y dijo Dios: «¡Que haya luces en la expansión del cielo que separen el día de la noche; que sirvan como señales de las estaciones, de los días y de los años,"
Genesis,1,15,y que brillen en la expansión del cielo para iluminar la tierra!». Y sucedió así.
Genesis,1,16,Dios hizo los dos grandes astros: el astro mayor para gobernar el día y el menor para gobernar la noche. También hizo las estrellas.
Genesis,1,17,Dios colocó en la expansión del cielo los astros para alumbrar la tierra.
Genesis,1,18,Los hizo para gobernar el día y la noche y para separar la luz de las tinieblas. Y Dios consideró que esto era bueno.
Genesis,1,19,Vino la noche y llegó la mañana: ese fue el cuarto día.
Genesis,1,20,Y dijo Dios: «¡Que las aguas se llenen de seres vivientes y que vuelen las aves sobre la tierra a lo largo de la expansión del cielo!».
Genesis,1,21,"Y creó Dios los grandes animales marinos, todos los seres vivientes que se mueven y llenan las aguas; también creó todas las aves, según su especie. Y Dios consideró que esto era bueno"
Genesis,1,22,y los bendijo con estas palabras: «¡Sean fructíferos y multiplíquense; llenen las aguas de los mares! ¡Que las aves se multipliquen sobre la tierra!».
Genesis,1,23,Vino la noche y llegó la mañana: ese fue el quinto día.
Genesis,1,24,"Y dijo Dios: «¡Que produzca la tierra seres vivientes: animales domésticos, animales salvajes y reptiles, según su especie!». Y sucedió así."
Genesis,1,25,"Dios hizo los animales domésticos, los animales salvajes y todos los animales que se arrastran por el suelo, según su especie. Y Dios consideró que esto era bueno."
