book,chapter,verse_number,text
Leviticus,1,1,El Señor llamó a Moisés y le habló desde la Tienda de reunión. Le ordenó
Leviticus,1,2,"que dijera a los israelitas: «Cuando alguno de ustedes traiga una ofrenda al Señor , deberá presentar un animal de ganado vacuno u ovino."
Leviticus,1,3,"»Si el animal que ofrece en holocausto es de ganado vacuno, deberá presentar un macho sin defecto a la entrada de la Tienda de reunión. Así será aceptable al Señor ."
Leviticus,1,4,"Pondrá su mano sobre la cabeza de la víctima, la cual será aceptada en su lugar y servirá para obtener el perdón de sus pecados."
Leviticus,1,5,"Después degollará el ternero ante el Señor y los hijos de Aarón, los sacerdotes, tomarán la sangre y la derramarán alrededor del altar que está a la entrada de la Tienda de reunión."
Leviticus,1,6,Luego le quitará el cuero a la víctima del holocausto y la cortará en trozos.
Leviticus,1,7,"Los hijos de Aarón, los sacerdotes, harán fuego sobre el altar y echarán leña;"
Leviticus,1,8,"después acomodarán los trozos sobre la leña encendida del altar, junto con la cabeza y el sebo."
Leviticus,1,9,"Las entrañas y las patas se lavarán con agua, y luego el sacerdote lo quemará todo en el altar. Es un holocausto, una ofrenda puesta al fuego, cuyo aroma es grato al Señor ."
Leviticus,1,10,"»Si alguien ofrece un holocausto de ganado ovino, sea de corderos o de cabras, deberá presentar un macho sin defecto."
Leviticus,1,11,"Lo degollará ante el Señor , en el costado norte del altar, y los hijos de Aarón, los sacerdotes, derramarán la sangre alrededor del altar."
Leviticus,1,12,"Luego lo cortará en trozos, los cuales el sacerdote acomodará sobre la leña encendida del altar, junto con la cabeza y el sebo."
Leviticus,1,13,"Las entrañas y las patas se lavarán con agua, y el sacerdote lo tomará todo y lo quemará en el altar. Es un holocausto, una ofrenda puesta al fuego cuyo aroma es grato al Señor ."
Leviticus,1,14,"»Si alguien ofrece al Señor un holocausto de ave, deberá presentar una tórtola o un pichón de paloma."
Leviticus,1,15,"El sacerdote llevará el ave al altar para quemarla. Le arrancará la cabeza; después exprimirá la sangre en un costado del altar,"
Leviticus,1,16,"y le quitará también el buche y las entrañas, y los arrojará hacia el costado oriental del altar, donde se echa la ceniza."
Leviticus,1,17,"Después la desgarrará por las alas, pero sin arrancárselas. Entonces el sacerdote la quemará en el altar sobre la leña encendida. Es un holocausto, una ofrenda puesta al fuego cuyo aroma es grato al Señor ."
Leviticus,2,1,"»Si alguien presenta al Señor una ofrenda de cereal, esta será de flor de harina refinada, sobre la cual pondrá aceite e incienso."
Leviticus,2,2,"Luego la llevará a los hijos de Aarón, los sacerdotes; allí tomará un puñado de harina refinada con aceite, junto con todo el incienso, y el sacerdote quemará esa ofrenda memorial en el altar. Es una ofrenda puesta al fuego cuyo aroma es grato al Señor ."
