book,chapter,verse_number,text
Exodus,1,1,Ito ang mga pangalan ng mga anak ni Israel na dumating sa Ehipto kasama si Jacob; bawat isa ay kasama ang kanya-kanyang sambahayan:
Exodus,1,2,"sina Ruben, Simeon, Levi, Juda,"
Exodus,1,3,"Isacar, Zebulon, Benjamin,"
Exodus,1,4,"Dan, Neftali, Gad, at Aser."
Exodus,1,5,"Lahat ng taong nagmula sa balakang ni Jacob ay pitumpung katao, at si Jose ay nasa Ehipto na."
Exodus,1,6,Namatay si Jose at ang lahat ng kanyang mga kapatid at ang buong salinlahing iyon.
Exodus,1,7,Ang mga anak ni Israel ay lumago at nadagdagang mabuti; sila'y dumami at naging napakalakas kaya't ang lupain ay napuno nila.
Exodus,1,8,At may bumangong isang bagong hari sa Ehipto na hindi kilala si Jose.
Exodus,1,9,"Sinabi niya sa kanyang bayan, “Tingnan ninyo, ang sambayanan ng mga anak ni Israel ay mas marami at higit na malakas kaysa atin."
Exodus,1,10,"Halikayo, pakitunguhan natin sila nang may katusuhan, baka sila'y dumami at mangyari na kapag nagkaroon ng digmaan ay umanib sila sa ating mga kaaway, lumaban sa atin, at umalis sa lupain.”"
Exodus,1,11,"Kaya't naglagay sila ng mga tagapangasiwa upang pahirapan sila sa kanilang mga sapilitang paggawa. Kanilang ipinagtayo si Faraon ng mga lunsod imbakan, ang Pitom at Rameses."
Exodus,1,12,"Subalit habang kanilang pinahihirapan sila, lalo silang dumarami at lalong lumalaganap. At kinasuklaman nila ang mga anak ni Israel."
Exodus,1,13,Malupit na pinapaglingkod ng mga Ehipcio ang mga anak ni Israel;
Exodus,1,14,"at kanilang pinapait ang kanilang buhay sa pamamagitan ng mahirap na paglilingkod, sa luwad at sa tisa, at sa lahat ng uri ng gawain sa bukid; at sa lahat ng kanilang gawain ay malupit silang pinapaglingkod. Ipinapatay ang mga Batang Lalaki"
Exodus,1,15,"Ang hari ng Ehipto ay nagsalita sa mga hilot na mga Hebrea, na ang pangalan ng isa ay Sifra, at ang pangalan ng ikalawa ay Pua."
Exodus,1,16,"Kanyang sinabi, “Paghilot ninyo sa mga babaing Hebrea at pagtingin ninyo sa kanila sa upuang panganganakan, kung lalaki ay papatayin ninyo; ngunit kung babae ay mabubuhay ito.”"
Exodus,1,17,"Subalit ang mga hilot ay natakot sa Diyos at hindi nila ginawa ang gaya nang iniutos sa kanila ng hari ng Ehipto, kundi hinayaan nilang mabuhay ang mga batang lalaki."
Exodus,1,18,"Ipinatawag ng hari ng Ehipto ang mga hilot at sinabi sa kanila, “Bakit ninyo ginawa ang bagay na ito at hinayaan ninyong mabuhay ang mga batang lalaki?”"
Exodus,1,19,"Sinabi ng mga hilot sa Faraon, “Sapagkat ang mga babaing Hebrea ay hindi gaya ng mga babaing Ehipcia. Sila'y malalakas at nakapanganak na bago dumating ang hilot sa kanila.”"
Exodus,1,20,Kaya't ang Diyos ay naging mabuti sa mga hilot; at ang taong-bayan ay dumami at naging napakalakas.
Exodus,1,21,"Dahil ang mga hilot ay natakot sa Diyos, kanyang binigyan sila ng mga sambahayan."
Exodus,1,22,"Pagkatapos, iniutos ni Faraon sa kanyang buong bayan, “Itatapon ninyo sa ilog ang bawat lalaking ipanganak ngunit bawat babae ay hayaan ninyong mabuhay.”"
Exodus,2,1,May isang lalaki sa lipi ni Levi na humayo at nag-asawa ng isang anak na babae ni Levi.
Exodus,2,2,"Ang babae ay naglihi at nanganak ng isang lalaki. Nang kanyang makita na ito ay maganda, kanyang itinago ito ng tatlong buwan."
Exodus,2,3,"Nang hindi na niya ito maitago pa, ikinuha niya ito ng isang basket na yari sa papiro, at pinahiran niya ng betun at alkitran. Kanyang isinilid ang bata roon at inilagay sa talahiban sa tabi ng ilog."
Exodus,2,4,Tumayo sa malayo ang kanyang kapatid na babae upang malaman ang mangyayari sa bata.
Exodus,2,5,"Noon, ang anak na babae ni Faraon ay lumusong upang maligo sa ilog, at naglakad ang kanyang mga alalay na babae sa tabi ng ilog. Kanyang nakita ang basket sa talahiban at ipinakuha sa kanyang alalay."
Exodus,2,6,"Nang kanyang buksan ito, nakita niya ang bata; at narito, ang sanggol ay umiyak. At kanyang kinaawaan siya at sinabi, “Ito'y isa sa mga anak ng mga Hebreo.”"
Exodus,2,7,"Nang magkagayo'y sinabi ng kanyang kapatid na babae sa anak ng Faraon, “Aalis ba ako upang itawag kita ng isang tagapag-alaga mula sa mga babaing Hebrea na mag-aalaga ng bata para sa iyo?”"
Exodus,2,8,"Sinabi sa kanya ng anak ng Faraon, “Umalis ka.” Ang batang babae ay umalis at tinawag ang ina ng bata."
Exodus,2,9,"Sinabi ng anak ng Faraon sa kanya, “Dalhin mo ang batang ito at alagaan mo para sa akin at uupahan kita.” Kaya't kinuha ng babae ang bata at inalagaan ito."
Exodus,2,10,"Ang bata ay lumaki at kanyang dinala ito sa anak ng Faraon, at ito'y naging kanyang anak. Kanyang pinangalanan siyang Moises, dahil sinabi niya, “Sapagkat aking iniahon siya sa tubig.” Tumakas si Moises Patungong Midian"
Exodus,2,11,"Nang mga araw na iyon, nang malaki na si Moises, nagtungo siya sa kanyang mga kapatid, at nakita ang kanilang sapilitang paggawa. Kanyang nakita ang isang Ehipcio na binubugbog ang isang Hebreo na isa sa kanyang mga kapatid."
Exodus,2,12,"Siya'y tumingin sa magkabi-kabilang dako at nang siya'y walang makitang tao, kanyang pinatay ang Ehipcio at kanyang itinago sa buhanginan."
Exodus,2,13,"Nang siya'y lumabas nang sumunod na araw, may dalawang lalaking Hebreo na naglalaban; at kanyang sinabi sa gumawa ng masama, “Bakit mo sinasaktan ang iyong kasama?”"
Exodus,2,14,"Sinabi niya, “Sinong naglagay sa iyo bilang pinuno at hukom sa amin? Iniisip mo bang patayin ako, gaya nang pagpatay mo sa Ehipcio?” Natakot si Moises at kanyang inisip, “Tiyak na ang bagay na ito ay alam na.”"
Exodus,2,15,"Nang mabalitaan ng Faraon ang bagay na ito, ninais niyang patayin si Moises. Subalit si Moises ay tumakas mula kay Faraon at nanirahan sa lupain ng Midian. Siya'y umupo sa tabi ng isang balon."
Exodus,2,16,Ang pari noon sa Midian ay may pitong anak na babae. Sila'y dumating at umigib ng tubig at kanilang pinuno ang mga inuman upang painumin ang kawan ng kanilang ama.
