book,chapter,verse_number,text
Genesis,1,1,"Nang pasimula, nilikha ng Diyos ang langit at ang lupa."
Genesis,1,2,"Ang lupa ay walang anyo at walang laman, at binalot sa kadiliman ang kalaliman samantalang ang Espiritu ng Diyos ay kumikilos sa ibabaw ng mga tubig."
Genesis,1,3,"At sinabi ng Diyos, “Magkaroon ng liwanag,” at nagkaroon ng liwanag."
Genesis,1,4,"Nakita ng Diyos na ang liwanag ay mabuti, at ibinukod ng Diyos ang liwanag sa kadiliman."
Genesis,1,5,"Tinawag ng Diyos ang liwanag na Araw, at ang kadiliman ay tinawag niyang Gabi. Nagkaroon ng gabi at nagkaroon ng umaga nang unang araw."
Genesis,1,6,"Sinabi ng Diyos, “Magkaroon ng isang kalawakan sa gitna ng tubig at paghiwalayin nito ang tubig.”"
Genesis,1,7,Ginawa ng Diyos ang kalawakan at ibinukod ang tubig na nasa ilalim ng kalawakan mula sa tubig na nasa itaas ng kalawakan. At ito ay nangyari.
Genesis,1,8,Tinawag ng Diyos ang kalawakan na Langit. Nagkaroon ng gabi at nagkaroon ng umaga nang ikalawang araw.
Genesis,1,9,"Sinabi ng Diyos, “Magtipon ang tubig na nasa silong ng langit sa isang dako at hayaang lumitaw ang lupa.” At ito ay nangyari."
Genesis,1,10,Tinawag ng Diyos ang tuyong lupa na Lupa at ang tubig na natipon ay tinawag niyang mga Dagat. At nakita ng Diyos na ito ay mabuti.
Genesis,1,11,"Sinabi ng Diyos, “Sibulan ang lupa ng halaman, ng mga tanim na nagkakabinhi at ng punungkahoy na namumunga ayon sa kanyang binhi, ang bawat isa ayon sa kanyang uri sa ibabaw ng lupa.” At ito ay nangyari."
Genesis,1,12,"At ang lupa ay sinibulan ng halaman, ng mga tanim na nagkakabinhi ayon sa kanyang sariling uri at ng punungkahoy na namumunga ayon sa kanyang binhi, bawat isa ayon sa kanyang uri. At nakita ng Diyos na ito ay mabuti."
Genesis,1,13,Nagkaroon ng gabi at nagkaroon ng umaga nang ikatlong araw.
Genesis,1,14,"Sinabi ng Diyos, “Magkaroon ng mga tanglaw sa kalawakan ng langit upang ihiwalay ang araw sa gabi; at ang mga ito ay maging palatandaan para sa mga panahon, sa mga araw, at sa mga taon,"
Genesis,1,15,at ang mga ito ay maging tanglaw sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa.” At ito ay nangyari.
Genesis,1,16,Nilikha ng Diyos ang dalawang malalaking tanglaw; ang malaking tanglaw ay upang maghari sa araw at ang maliit na tanglaw ay upang maghari sa gabi. Nilikha rin niya ang mga bituin.
Genesis,1,17,"Ang mga ito ang inilagay ng Diyos sa kalawakan ng langit upang tumanglaw sa ibabaw ng lupa,"
Genesis,1,18,"upang mamahala sa araw at sa gabi, at upang ihiwalay ang liwanag sa kadiliman. At nakita ng Diyos na ito ay mabuti."
Genesis,1,19,Lumipas ang gabi at sumapit ang umaga nang ikaapat na araw.
Genesis,1,20,"Sinabi ng Diyos, “Hayaang bumukal mula sa tubig ang maraming nilalang na may buhay, at magsilipad ang mga ibon sa ibabaw ng lupa sa kalawakan ng langit.”"
Genesis,1,21,"Kaya't nilikha ng Diyos ang mga dambuhala sa dagat at ang bawat nilalang na may buhay na gumagalaw na ibinukal ng tubig ayon sa kanya-kanyang uri at ang lahat ng ibong may pakpak, ayon sa kanya-kanyang uri. At nakita ng Diyos na ito ay mabuti."
Genesis,1,22,"At sila'y binasbasan ng Diyos, “Kayo'y magkaroon ng mga anak at magpakarami at inyong punuin ang tubig sa mga dagat, at magpakarami ang mga ibon sa lupa.”"
Genesis,1,23,Nagkaroon ng gabi at nagkaroon ng umaga nang ikalimang araw.
