book,chapter,verse_number,text
Leviticus,1,1,"Ipinatawag ng Panginoon si Moises at nagsalita sa kanya mula sa toldang tipanan, na sinasabi,"
Leviticus,1,2,"“Magsalita ka sa mga anak ni Israel at sabihin mo sa kanila: Kapag ang sinuman sa inyo ay nagdadala ng alay sa Panginoon , ang dadalhin ninyong alay ay galing sa mga hayop, mga bakahan, at sa kawan."
Leviticus,1,3,"“Kung ang kanyang alay ay isang handog na sinusunog mula sa bakahan, mag-aalay siya ng isang lalaking walang kapintasan. Ito ay kanyang dadalhin sa pintuan ng toldang tipanan, upang siya ay tanggapin sa harapan ng Panginoon ."
Leviticus,1,4,Ipapatong niya ang kanyang kamay sa ulo ng handog na sinusunog at ito ay tatanggapin para sa ikatutubos niya.
Leviticus,1,5,"At kanyang papatayin ang toro sa harapan ng Panginoon ; ang dugo ay ihahandog ng mga anak ni Aaron, na mga pari, at iwiwisik ito sa palibot ng dambana na nasa pintuan ng toldang tipanan."
Leviticus,1,6,Kanyang babalatan at pagpuputul-putulin ang handog na sinusunog.
Leviticus,1,7,"Maglalagay ang mga anak ng paring si Aaron ng apoy sa ibabaw ng dambana, at aayusin ang kahoy sa apoy."
Leviticus,1,8,"Aayusin ng mga paring anak ni Aaron ang mga bahagi, ang ulo, at ang taba sa kahoy na nakapatong sa apoy na nasa ibabaw ng dambana;"
Leviticus,1,9,"ngunit ang mga lamang-loob at mga paa ay huhugasan niya ng tubig. Susunugin ng pari ang kabuuan nito sa ibabaw ng dambana bilang handog na sinusunog, isang handog na pinaraan sa apoy na isang mabangong samyo sa Panginoon ."
Leviticus,1,10,"“Kung ang kanyang kaloob para sa handog na sinusunog ay mula sa kawan, sa mga tupa, o sa mga kambing, siya ay maghahandog ng isang lalaking walang kapintasan."
Leviticus,1,11,"Ito ay kanyang kakatayin sa hilagang bahagi ng dambana sa harapan ng Panginoon . Iwiwisik ng mga anak ni Aaron, na mga pari, ang dugo niyon sa palibot ng dambana."
Leviticus,1,12,"At ito ay kanyang pagpuputul-putulin, kasama ang ulo at ang kanyang taba, at iaayos ng pari sa ibabaw ng kahoy na nasa apoy sa ibabaw ng dambana;"
