book,chapter,verse_number,text
Exodus,1,1,"An mga anak ni Jacob nga inmupod ha iya ngadto ha Ehipto ngan an kada usa upod an iya panimalay,"
Exodus,1,2,"amo hira Ruben, Simeon, Levi, Juda,"
Exodus,1,3,"Isacar, Zabulon, Benjamin,"
Exodus,1,4,"Dan, Neftali, Gad ug Aser."
Exodus,1,5,Setenta hira ngatanan nga mga tawo nga tunay nga tulin ni Jacob. Hi Jose nga iya anak nakadto na ngadaan ha Ehipto.
Exodus,1,6,"Linmabay in maiha nga katuigan ngan nagkamatay hira Jose, an ngatanan nga iya kabugtoan, ngan an ngatanan hini nga katulinan,"
Exodus,1,7,kundi damo an mga anak han ira mga tulin nga mga Israelita. Nagdamo hira hin duro ngan nagmakusog gud hira ug nakaluob hira han Ehipto.
Exodus,1,8,Nagkamay-ada bag-o nga hadi didto ha Ehipto nga waray gud niya hinbaroan mahitungod kan Jose.
Exodus,1,9,"Nagsiring hiya ha iya mga tawo, “Damo na hin duro ug magkusog na ini nga mga Israelita ngan makaharadlok na hira para ha aton."
Exodus,1,10,"Ha panahon hin araway, bangin dumapig hira han aton mga kaaway ngan makig-away hira kontra ha aton, ngan kumalagiw hira tikang han nasod. Kinahanglan mamiling kita hin paagi hin pagpugong nga diri hira magtikadamo.”"
Exodus,1,11,Sanglit iginbutang hira han mga Ehiptohanon ha ubos hin mga mag-isog nga mga kapatas nga magpapaantos ha ira pinaagi hin makuri nga trabaho. Gintindog han mga Israelita an mga syudad han Piton ug Rameses nga mga sentro nga hirimosan hin pagkaon han hadi.
Exodus,1,12,"Kundi mas nga ginpakurian han mga Ehiptohanon an mga Israelita, nagtikadamo lugod hira ngan nalukop nira an tuna. Nagkahadlok han mga Israelita an mga Ehiptohanon,"
Exodus,1,13,"ngan ginpakurian gud an ira mga kinabuhi pinaagi hin pagpirit ha ira ngadto hin mapait nga pagkaoripon. Ginpatrabaho hira didto han ira mga buruhaton hin pagbalay ngan didto han ira kaumhan, ngan waray gud nira pagkalooy ha ira."
Exodus,1,14,"ngan ginpakurian gud an ira mga kinabuhi pinaagi hin pagpirit ha ira ngadto hin mapait nga pagkaoripon. Ginpatrabaho hira didto han ira mga buruhaton hin pagbalay ngan didto han ira kaumhan, ngan waray gud nira pagkalooy ha ira."
Exodus,1,15,"Niyan ginsiring han hadi han Ehipto hira Sifra ug Pua nga duha nga mga parahilot nga nagbulig hin pagpaanak han Hebreo nga kababayen-an,"
Exodus,1,16,"“Kon magpapaanak kamo han Hebreo nga kababayen-an, pataya niyo an bata, kon lalake ini; kundi kon babaye, pabay-i nga mabuhi an bata.”"
Exodus,1,17,Kundi mahadlokon han Dyos an mga parahilot sanglit waray nira pagsugta an hadi; ira lugod tinugotan nga mabuhi an kabataan nga kalalaken-an.
Exodus,1,18,"Ginpasugoan han hadi an mga parahilot ngan ginpakianhan hira, “Kay ano nga ginbuhat niyo ini? Kay ano nga tinugotan niyo nga mabuhi an kabataan nga kalalaken-an?”"
Exodus,1,19,"Binmaton hira, “Diri sugad han Hebreo nga kababayen-an an Ehiptohanon nga kababayen-an, madagmit la hira mag-anak, ngan natatawo na an bata ha diri pa kami naabot.”"
Exodus,1,20,"Tungod nga mahadlokon han Dyos an mga parahilot, ginpakaupay hira han Dyos ngan gintagan hira hin mga panimalay nga ira kalugaringon. Ngan nagpadayon hin pagdamo ngan pagmakusog an mga Israelita."
Exodus,1,21,"Tungod nga mahadlokon han Dyos an mga parahilot, ginpakaupay hira han Dyos ngan gintagan hira hin mga panimalay nga ira kalugaringon. Ngan nagpadayon hin pagdamo ngan pagmakusog an mga Israelita."
Exodus,1,22,"Ha kataposan nagsugo an hadi han ngatanan niya nga mga tawo, “Kuhaa niyo an tagsa nga bag-o nga natatawo nga lalake nga Hebreo ngan ilabog hiya ngadto han Salog Nilo, kundi tugoti nga mabuhi an ngatanan nga kabataan nga kababayen-an.”"
Exodus,2,1,"Dida hini nga panahon may-ada usa ka tawo nga sakop han tribo ni Levi, nga nangasawa hin babaye nga sakop han iya kalugaringon nga tribo"
Exodus,2,2,"ngan nag-anak hira hin lalake. Han paghikit-i han iroy nga mahusay hiya nga bata, iya gintago an bata sulod hin tulo ka bulan."
Exodus,2,3,"Kundi han makuri na niya matago an bata, kinmuha hiya hin basket nga hinimo hin mga tangbo, ngan ginbuli ini hin alkitran basi diri sudlon hin tubig. Iginsulod niya an bata, ngan iya iginbutang ini didto han higtaas nga mga tangbo ha ligid han salog."
Exodus,2,4,Didto ha uruunhan nagtukdaw an bugto nga babaye han bata hin pag-inaw kon ano an mahinanabo han bata.
Exodus,2,5,"Linmugsong ha salog an anak nga babaye han hadi hin pagkarigo, samtang naglalakat an iya mga surugoon nga kadaragan-an ha pangpang han salog. Ha gilayon iya hinkit-an an basket didto han higtaas nga mga tangbo, ngan ginsugo niya in usa nga oripon nga babaye hin pagkuha han basket."
Exodus,2,6,"Ginbuksan han prinsesa an basket ngan hinkit-an niya in usa nga bata nga lalake. Nagtitinangis ini ngan nalooy hiya ngan nagsiring, “Usa gud ini han kabataan nga Hebreo.”"
Exodus,2,7,"Niyan ginpakianhan an prinsesa han babayehay nga bugto han bata, “Makadto ba ako hin pagtawag hin usa nga babaye nga Hebreo nga magpapasuso han bata para ha imo?”"
Exodus,2,8,"“Alayon, hin pagkadto,” binmaton hiya. Sanglit linmakat an babayehay ngan gindara niya an kalugaringon nga iroy han bata."
Exodus,2,9,"Ginsiring han prinsesa an babaye, “Dad-a ini nga bata ngan pasusoha ini para ha akon, ngan susuholan ko ikaw.” Sanglit gindara han babaye an bata ngan ginpasuso ini niya."
Exodus,2,10,"Han dakolaay na an bata, iya gindara an bata ngadto han babaye nga anak han hadi, nga naghablos hini nga bata sugad nga iya kalugaringon nga anak. Nagsiring hiya ha iya ngahaw, “Ginkuha ko hiya tikang han tubig, sanglit pagngangaranan ko hiya nga Moises.”"
Exodus,2,11,"Han dako na hi Moises, ginmawas hiya hin pagduaw han iya mga tawo nga mga Hebreo, ngan hinkit-an niya kon gin-unan-o hin pagpirita ha ira hin pagbuhat hin magbug-at nga buruhaton. Hinkit-an pa ngani niya in usa nga Ehiptohanon nga nagpapatay hin usa nga Hebreo, nga usa han iya kalugaringon nga mga tawo."
Exodus,2,12,"Tinman-aw anay hi Moises, ngan han pakakita niya nga waray man nagkikita, ginpatay niya an Ehiptohanon ngan ginlubong niya an lawas dida han baras."
Exodus,2,13,"Han pagkabuwas binmalik hiya ngan hinkit-an niya nga nag-aaway in duha nga mga Hebreo. Ginsiring niya an nakasayop, “Kay ano nga gintutubal mo in usa nga imo igkasi-Hebreo?”"
Exodus,2,14,"Binmaton an tawo, “Hin-o an naghimo ha imo nga amon punoan ngan maghurukom? Papatayon mo ba liwat ako sugad han pagpatay mo han Ehiptohanon?” Nahadlok hi Moises ngan nakapanhunahuna, “Nahibaroan ngay-an han mga tawo an akon ginbuhat.”"
Exodus,2,15,"Han pakabati han hadi hiunong han nahinabo, nagtinguha hiya hin pagpatay kan Moises, kundi pinmalagiw hi Moises ngan kinmadto hiya hin pag-ukoy didto ha tuna han Madian. Usa ka adlaw han nalingkod hi Moises ha ligid hin usa nga atabay, nagkaabot in pito nga mga anak nga kababayen-an ni Jetro nga padi han Madian, hin pag-alog ngan pagpuno han mga irimnan han kahayopan para han mga karnero ngan mga kanding han ira amay."
Exodus,2,16,"Han pakabati han hadi hiunong han nahinabo, nagtinguha hiya hin pagpatay kan Moises, kundi pinmalagiw hi Moises ngan kinmadto hiya hin pag-ukoy didto ha tuna han Madian. Usa ka adlaw han nalingkod hi Moises ha ligid hin usa nga atabay, nagkaabot in pito nga mga anak nga kababayen-an ni Jetro nga padi han Madian, hin pag-alog ngan pagpuno han mga irimnan han kahayopan para han mga karnero ngan mga kanding han ira amay."
