book,chapter,verse_number,text
Genesis,1,1,"Ha tinikangan, han pagtuha han Dyos han bug-os nga kalibutan ug han mga butang ha kalangitan"
Genesis,1,2,"an tuna waray katuhayan ngan waray pa sulod nga bisan ano nga butang. Putos hin kasisidman an mabalod nga kalalawdan nga nakalukop han ngatanan nga mga butang, ngan nahanoy ha bawbaw han tubig an gahom han Dyos."
Genesis,1,3,"Niyan nagsiring an Dyos, “Magkamay-ada kapawa”—ngan pinmakita an kapawa."
Genesis,1,4,"Nalipay an Dyos han iya hinkit-an. Ngan ginlain niya han kasisidman an kapawa,"
Genesis,1,5,ngan ginngaranan niya nga “Adlaw” an kapawa ug “Gab-i” an kasisidman. Linmabay an kagab-ihon ngan inmabot an aga—amo adto an syahan nga adlaw.
Genesis,1,6,"Niyan nagsiring an Dyos, “Magkamay-ada panganoron nga magbubuhag han katubigan basi magkaduha ka lain nga dapit”—ngan natuman ini. Sanglit ginhimo han Dyos an panganoron nga amo an nagbuhag han katubigan; may katubigan ha ilarom han panganoron ngan may-ada liwat ha bawbaw hini."
Genesis,1,7,"Niyan nagsiring an Dyos, “Magkamay-ada panganoron nga magbubuhag han katubigan basi magkaduha ka lain nga dapit”—ngan natuman ini. Sanglit ginhimo han Dyos an panganoron nga amo an nagbuhag han katubigan; may katubigan ha ilarom han panganoron ngan may-ada liwat ha bawbaw hini."
Genesis,1,8,Ginngaranan niya nga “Langit” an panganoron. Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikaduha nga adlaw.
Genesis,1,9,"Niyan nagsiring an Dyos, “An katubigan ha ubos han langit magtirok ngadto hin usa nga dapit basi pumakita an kamad-an,”—ngan natuman ini."
Genesis,1,10,"Ginngaranan niya nga “Tuna” an kamad-an, ngan “Dagat” an nagtirok nga katubigan. Ngan nalipay an Dyos han iya hinkit-an."
Genesis,1,11,"Niyan nagsiring hiya, “Magpaturok an tuna han magkalainlain nga mga tanom, adton mga nahatag hin binhe ngan adton mga nahatag hin bunga”—ngan natuman ini."
Genesis,1,12,"Sanglit tinmurok ha tuna an magkalainlain nga mga tanom, ngan nalipay an Dyos han iya hinkit-an."
Genesis,1,13,Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikatulo nga adlaw.
Genesis,1,14,"Niyan nagsiring an Dyos, “Magpakita didto ha langit in mga suga nga maglalain han adlaw ug han gab-i, ngan amo an panigamnan han pagtikang han mga adlaw, mga tuig, ngan mga siringbahan nga pyesta;"
Genesis,1,15,masiga ini hira didto ha langit basi makahatag ha tuna hin kapawa”—ngan natuman ini.
Genesis,1,16,Sanglit ginhimo han Dyos an duha nga dagko nga mga suga; an usa nga dako nga suga maghahatag hin kapawa ha bug-os nga adlaw ngan an ikaduha nga suga ha bug-os nga gab-i; naghimo liwat hiya han mga bitoon.
Genesis,1,17,"Iginbutang niya an mga suga didto ha langit basi makalamrag han tuna,"
Genesis,1,18,"makapawa ha bug-os nga adlaw ug gab-i, ngan basi malain han kasisidman an kapawa. Ngan nalipay an Dyos han iya hinkit-an."
Genesis,1,19,Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikaupat nga adlaw.
Genesis,1,20,"Niyan nagsiring an Dyos, “Malukop hin magkalainlain nga buhi nga mga binuhat an katubigan, ngan maluob hin katamsihan an kahanginan.”"
Genesis,1,21,"Sanglit gintuha han Dyos an dagko nga kamanampan ha dagat, an magkalainlain nga mga binuhat nga nag-uokoy ha tubig, ngan an magkalainlain nga katamsihan. Ngan nalipay an Dyos han iya hinkit-an."
Genesis,1,22,"Ginbendisyonan niya ini ngatanan ngan ginsiring an mga binuhat nga nag-uokoy ha tubig nga magdamo ini hira ngan pun-on nira an kadagatan, ngan ginsiring niya an katamsihan nga magdamo liwat hira."
Genesis,1,23,Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikalima nga adlaw.
Genesis,1,24,"Niyan nagsiring an Dyos, “Magkamay-ada an tuna magkalainlain nga kamanampan: ihayop ngan ihalas, dagko ngan gudti”—ngan natuman ini."
Genesis,1,25,Sanglit ginhimo han Dyos ini ngatanan ngan nalipay hiya han iya hinkit-an.
Genesis,1,26,"Niyan nagsiring an Dyos, “Ngan yana paghihimoon ta an tawo; ha aton panagway ug ladawan hihimoon ta hiya. Maghahadi hiya han kaisdaan, katamsihan, ngan han ngatanan nga kamanampan, ihayop ngan ihalas, dagko ngan gudti!”"
Genesis,1,27,"Sanglit gintuha han Dyos an tawo, nga ginhimo hiya nga sugad ha iya ngahaw. Nagtuha hiya hin lalake ug babaye,"
Genesis,1,28,"ginbendisyonan hira ngan ginsiring, “Magkamay-ada kamo damo nga mga anak, basi mag-ukoy ha bug-os nga tuna an iyo mga tulin ngan paghadian nira ini. Iginbubutang ko kamo nga tinaporan han kaisdaan, han katamsihan, ngan han ngatanan nga ihalas nga kamanampan."
Genesis,1,29,Iginhatag ko an ngatanan nga magkalainlain nga mga binhe ngan an ngatanan nga magkalainlain nga mga bunga nga iyo kakaonon;
Genesis,1,30,kundi iginhatag ko an kabanwaan ngan an mga tanom para han ngatanan nga ihalas nga kamanampan ngan han ngatanan nga katamsihan”—ngan natuman ini.
Genesis,1,31,Nakita han Dyos an ngatanan nga iya ginhimo ngan nalipay hiya hin duro. Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikaunom nga adlaw.
Genesis,2,1,Sanglit nahuman an bug-os nga kalibutan ngan an mga butang ha kalangitan.
Genesis,2,2,"Dida han ikapito ka adlaw, nahuman han Dyos an iya mga gintuha, ngan pinmahuway hiya."
Genesis,2,3,"Ginbendisyonan niya an ikapito nga adlaw ngan ginlain niya ini sugad nga usa nga talagsaon nga adlaw, kay hito nga adlaw nahuman niya an iya pagtuha ngan hinmunong na hiya hin pagtuha."
Genesis,2,4,"Ngan amo ini an paagi han pagtuhaa han bug-os nga kalibutan ngan han ngatanan nga aada ha langit. Han paghimoa han Ginoo nga Dyos han bug-os nga kalibutan,"
Genesis,2,5,"waray pa mga tanom dida han tuna ngan waray pa naturok nga mga binhe, kay waray pa man hiya magpadara hin uran, ngan waray pa tawo nga nag-uuma han tuna."
Genesis,2,6,Kundi naawas in tubig tikang ha ilarom han tuna ngan amo an nagtutubig han tuna.
Genesis,2,7,Niyan kinmuha an Ginoo nga Dyos hin tuna ngan naghimo hiya hin tawo; gininhawaan niya an irong han tawo ngan nabuhi an tawo.
Genesis,2,8,"Niyan nagbutang an Ginoo nga Dyos hin usa nga tanaman didto ha Eden, didto ha Sinirangan, ngan didto iginbutang niya an tawo nga iya ginhimo."
Genesis,2,9,"Ginpaturok niya didto an ngatanan nga magkalainlain nga magtahom nga mga kahoy nga nahatag hin magrasa nga mga bunga. Didto ha butnga han tanaman nakadto an kahoy nga nahatag hin kinabuhi, ngan an kahoy nga nahatag hin pakasabot han maupay ngan han maraot."
Genesis,2,10,Naawas in usa nga salog didto ha Eden ngan nagtutubig han tanaman; ha unhan han Eden nagsasanga ini ngan nahihimo nga upat nga mga salog.
Genesis,2,11,An syahan nga salog amo an Pison; naawas ini palibot han katunaan han Havila. (
Genesis,2,12,Aadto hiaagii an puraw nga bulawan ngan an talagsaon liwat nga pahamot ngan mahal nga mga bato.)
Genesis,2,13,An ikaduha nga salog amo an Gihon; naawas ini palibot han katunaan han Cus.
Genesis,2,14,"An ikatulo nga salog amo an Tigris nga naawas ha sinirangan han Asiria, ngan an ikaupat nga salog amo an Eufrates."
Genesis,2,15,Niyan iginbutang han Ginoo nga Dyos an tawo didto han Tanaman han Eden basi niya pag-umhon ngan pagbantayan.
Genesis,2,16,"Ginsiring hiya han Dyos, “Makakakaon ka han bunga han bisan ano nga kahoy dinhe ha tanaman,"
Genesis,2,17,"labot han kahoy nga nahatag hin pakasabot han maupay ngan han maraot. Kinahanglan diri ka kumaon han bunga hito nga kahoy; kon kumaon ka hito, mapatay ka hito manta nga adlaw.”"
Genesis,2,18,"Niyan nagsiring an Ginoo nga Dyos, “Diri maupay nga mag-usaan la an tawo. Maghihimo ako hin angay niya nga kaupod-upod nga mabulig ha iya.”"
Genesis,2,19,"Sanglit kinmuha hiya hin tuna ngan iya ginhimo an ngatanan nga kamanampan, ngan an ngatanan nga katamsihan, ngan gindara ini han Dyos ngadto han tawo basi pagngaranan niya ngatanan; sanglit amo ini an pagkamay-ada nira mga ngaran."
Genesis,2,20,"Sanglit ginngaranan han tawo an ngatanan nga katamsihan, ngan an ngatanan nga kamanampan; kundi waray gud usa ha ira nga angay nga kaupod-upod hin pagbulig ha iya."
Genesis,2,21,"Niyan dida han pagkaturog han tawo ginpahimuok hiya han Ginoo nga Dyos, ngan samtang hinmumuokan hiya, kinuha han Dyos in usa han mga gusok han tawo ngan ginputos ini hin unod."
Genesis,2,22,"Ginhimo niya in usa nga babaye tikang han gusok nga ginkuha niya tikang han lalake, ngan gindara niya an babaye ngadto han lalake."
Genesis,2,23,"Niyan nagsiring an lalake, “Iini na gud man in usa nga sugad ha akon kapareho— Tul-an nga tikang han akon tul-an, ngan unod nga tikang han akon unod. Tatawgon hiya nga ‘Babaye’ kay kinuha hiya tikang han lalake.”"
Genesis,2,24,"Sanglit amo ini an hinungdan nga an lalake kinahanglan bumaya han amay ug iroy niya ngan makigtampo han iya asawa, ngan hira nga duha uusa na la."
Genesis,2,25,"Mga hubo-lubas nga duha an lalake ngan an babaye, kundi waray hira pagkaawod."
Genesis,3,1,"Niyan an halas amo gud an labi ka listo han ngatanan nga mananap nga ginhimo han Ginoo nga Dyos. Ginpakianhan han halas an babaye, “Tinuod ba nga gindid-an kamo han Dyos hin pagkaon hin bunga tikang hin bisan ano nga kahoy dinhe han tanaman?”"
Genesis,3,2,"Binmaton an babaye, “Makakakaon kami han bunga hin bisan ano nga kahoy dinhe han tanaman,"
Genesis,3,3,"labot han kahoy nga aada ha butnga han tanaman. Gindid-an kami han Dyos hin pagkaon han bunga hito nga kahoy, o bisan pagkamkam hito; kon amon ini pagbuhaton, mapatay kami.”"
Genesis,3,4,"Binmaton an halas, “Buwa ito; diri kamo mapatay."
Genesis,3,5,"Ginsiring ito han Dyos kay maaram hiya nga kon kumaon kamo han bunga, masusugad kamo han Dyos, ngan makakasabot kamo han maupay ngan han maraot.”"
