book,chapter,verse_number,text
Leviticus,1,1,Nagtawag kan Moises an Ginoo tikang han iya Tulda ngan ginhatag kan Moises an nasunod nga mga turumanon
Leviticus,1,2,"nga pinapagtuman han mga Israelita kon maghalad hira han ira mga hayop nga pagtutuboron. Kon maghalad an bisan hin-o hin hayop nga pagtutuboron, makakahimo hiya hin paghalad hin usa han iya mga baka o usa han iya mga karnero o mga kanding."
Leviticus,1,3,"Kon maghalad hiya hin usa han iya mga baka basi pagtuboron, kinahanglan magdara hiya hin lalaki nga waray gud mga dum-it. Kinahanglan ighalad ini niya ngadto han agian han Tulda han Ginoo basi karawaton hiya han Ginoo ."
Leviticus,1,4,Ipapandong han tawo an iya kamot dida han ulo han hayop ngan kakarawaton ini nga usa nga halad nga pagtutuboron hin pagkuha han iya mga sala.
Leviticus,1,5,"Iihawon niya ha agian an baka ngan ighahalad an dugo ngadto han Ginoo han kapadian nga mga tulin ni Aaron, ngan onina isasablig an dugo ngada han ngatanan nga upat nga mga ligid han altar nga aada han agian han Tulda."
Leviticus,1,6,Niyan pag-aanitan niya an hayop ngan pag-aatadohon niya.
Leviticus,1,7,Maghaharing an kapadian hin mga sungo ha bawbaw han altar.
Leviticus,1,8,"Ibubutang nira dida han kalayo an mga gin-atado nga hayop, lakip an ulo ngan an tambok."
Leviticus,1,9,"Kinahanglan paghugasan han tawo an mga sakob han ginhawa ngan an mangorhi nga mga paa, ngan pagtuboron han nangungulo nga padi an bug-os nga halad dida han altar. Nakakalipay han Ginoo an kahamot hini nga halad nga pagkaon."
Leviticus,1,10,"Kon maghalad an tawo hin usa han iya mga karnero o mga kanding, kinahanglan lalaki ini ngan waray gud mga dum-it."
Leviticus,1,11,Iihawon ini niya didto han amihanan nga dapit han altar ngan isasablig han kapadian an dugo hini ngada han ngatanan nga upat nga mga ligid han altar.
Leviticus,1,12,"Katapos pag-aatadoha an inihaw, ibubutang han nangungulo nga padi an ngatanan nga mga bahin hini dida han kalayo lakip an ulo ngan an tambok."
Leviticus,1,13,"Kinahanglan paghugasan han tawo an mga sakob han ginhawa ngan an mangorhi nga mga paa, ngan ighahalad han padi an inihaw nga hayop ngadto han Ginoo ngan pagtutuboron ini ngatanan dida han altar. Nakakalipay han Ginoo an kahamot hini nga halad nga pagkaon."
Leviticus,1,14,"Kon maghalad an tawo hin usa nga tamsi nga pagtutuboron, kinahanglan usa ini nga sarapati o tukmo."
Leviticus,1,15,"Dadad-on ini han padi ngadto han altar, bibirikson an liog basi mapugot an ulo, ngan tutuboron an ulo dida ha altar. Ipapaturo an dugo hini ngada han ligid han altar."
Leviticus,1,16,Kukuhaon niya an babalonan ngan an sulod hini ngan ilalabog ini ngadto ha sinirangan han altar nga binubutangan han mga agbon.
Leviticus,1,17,"Kakaptan niya an mga pako ngan pipikason niya an lawas hini, ngan diri bubutason an mga pako, ngan pagtutuboron ini nga bug-os dida han altar. Nakakalipay han Ginoo an kahamot hini nga halad nga pagkaon."
Leviticus,2,1,"Kon may maghalad hin pagkaon ngadto han Ginoo , kinahanglan iya paggilingon anay ini nga mahimo nga harina. Kinahanglan pagbutangan ini niya hin lana hin olibo ug insyenso,"
Leviticus,2,2,ngan pagdad-on ini ngadto han kapadian nga mga tulin ni Aaron. Makuha an nangungulo nga padi hin usa ka kumkom han harina ug hin lana ngan han ngatanan nga insyenso ngan pagtutuboron ini dida ha altar sugad hin usa nga hinumdoman nga ini ngatanan iginhalad ngadto han Ginoo . Makakalipay han Ginoo an kahamot hini nga halad nga pagkaon.
Leviticus,2,3,Kanan kapadian na an salin han halad nga pagkaon labi hin baraan ini kay kinuha ini tikang han pagkaon nga iginhalad ngadto han Ginoo .
Leviticus,2,4,"Kon tinapay nga hinudno an ighalad, kinahanglan paghimoon ini nga waray patubo. Mahihimo nga magdakmol ini nga mga tinapay nga hinimo hin harina nga sinaktan hin lana hin olibo, o magnipis nga mga torta nga pinahiran hin lana hin olibo."
Leviticus,2,5,"Kon tinapay nga linuto dida hin lata nga parilyahan an ighalad, kinahanglan paghimoon ini hin harina nga sinaktan hin lana hin olibo, kundi waray patubo."
Leviticus,2,6,Kunota ini ngan ipisi hin lana kon ighalad niyo ini.
Leviticus,2,7,"Kon tinapay nga linuto dida hin karaha an ighalad, kinahanglan paghimoon ini hin harina ngan lana hin olibo."
Leviticus,2,8,Dad-a ini nga halad ngadto han Ginoo ngan ighatag ini ngadto han padi nga magdadara hini ngadto ha altar.
Leviticus,2,9,Iibanan ini han padi sugad nga tigaman nga iginhalad na ini ngatanan ngadto han Ginoo ngan pagtutuboron ini niya dida han altar. Nakakalipay han Ginoo an kahamot hini nga halad nga pagkaon.
Leviticus,2,10,Kanan kapadian na an salin han halad; labi hin ka baraan ini kay kinuha ini tikang han pagkaon nga iginhalad ngadto han Ginoo .
Leviticus,2,11,Waray han mga halad nga pagkaon nga iyo ighahalad ngadto han Ginoo nga paghihimoon nga may patubo; kinahanglan diri gud kamo gumamit hin patubo o dugos dida hin pagkaon nga ighahalad ngadto han Ginoo .
Leviticus,2,12,"Pagdadad-on niyo ngadto han Ginoo in usa nga halad han syahan nga abot han gin-aani niyo ha kada tuig, kundi diri ini pagtutuboron dida han altar."
Leviticus,2,13,"Asini an tagsa nga halad nga pagkaon, kay natindog an asin han ginsaaran niyo ngan han Dyos. (Kinahanglan pag-asinan niyo an ngatanan niyo nga mga halad.)"
Leviticus,2,14,"Kon magdara kamo ngadto han Ginoo hin usa nga halad han syahan nga iyo inani nga pagkaon, sanlaga o gilinga niyo an iyo ighahalad."
Leviticus,2,15,Sakti ini hin lana hin olibo ngan hin insyenso.
Leviticus,2,16,"Pagtutuboron han padi ito nga bahin han giniling nga halad ug an lana sugad nga usa nga hinumdoman, ngan an ngatanan liwat nga insyenso, sugad nga usa nga halad nga pagkaon ngadto han Ginoo ."
Leviticus,3,1,"Kon may maghalad hin usa han iya mga baka nga ipapahinungod para hin pagkaurosa, kinahanglan todo o umagwas ini ngan waray gud mga dum-it."
Leviticus,3,2,Ipapandong han tawo an iya kamot dida han ulo han hayop ngan pag-iihawon ini didto han agian han Tulda han Ginoo . Isasablig han kapadian nga mga tulin ni Aaron an dugo hini ngada han ngatanan nga upat nga mga ligid han altar
Leviticus,3,3,"ngan pagdadad-on inin nasunod nga mga bahin han hayop nga usa nga halad nga pagkaon ngadto han Ginoo : an ngatanan nga tambok ha sakob han ginhawa,"
Leviticus,3,4,"an mga isol ngan an tambok hini, ngan an labi ka maupay nga bahin han atay."
Leviticus,3,5,Pagtutuboron han kapadian ini ngatanan dida han altar upod han iba nga mga halad nga pagtutuboron. Nakakalipay han Ginoo an kahamot hini nga halad nga pagkaon.
Leviticus,3,6,"Kon usa nga karnero o kanding an gamiton para hin halad nga pagkaurosa, kinahanglan nga lalaki o babayi ini, kundi kinahanglan waray gud mga dum-it."
Leviticus,3,7,"Kon ighalad in usa nga karnero,"
Leviticus,3,8,"ipapandong an iya kamot dida han ulo hini ngan pag-ihawon ini didto ha atubangan han Tulda. Isasablig han kapadian an dugo hini ngada han ngatanan nga upat nga mga ligid han altar,"
Leviticus,3,9,"ngan dadad-on inin nasunod nga mga bahin han hayop nga usa nga halad nga pagkaon ngadto han Ginoo : an tambok, an bug-os nga matambok nga ikog nga hinilap hirani han gutoguto, an ngatanan nga kinakas,"
Leviticus,3,10,"an mga isol ngan an tambok dida hini, ngan an labi kamaupay nga bahin han atay."
Leviticus,3,11,Pagtutuboron han nangungulo nga padi ini ngatanan dida han altar sugad nga usa nga halad nga pagkaon ngadto han Ginoo .
Leviticus,3,12,"Kon ighalad hin kanding, in usa ka tawo"
Leviticus,3,13,"ipapandong an iya kamot dida han ulo hini ngan pag-iihawon ini didto ha atubangan han Tulda. Isasablig han kapadian an dugo hini ngada han ngatanan nga upat nga mga ligid han altar,"
Leviticus,3,14,"ngan ighahalad inin masunod nga mga bahin hini sugad nga usa nga halad nga pagkaon ngadto han Ginoo : an ngatanan nga kinakas,"
Leviticus,3,15,"an mga isol ngan an tambok dida hini, ngan an labi kamaupay nga bahin han atay."
Leviticus,3,16,Pagtutuboron han padi ini ngatanan dida han altar sugad nga usa nga halad nga pagkaon nga makakalipay ha Ginoo . Kanan Ginoo an ngatanan nga tambok.
Leviticus,3,17,Waray Israelita nga makaon hin tambok o dugo; turumanon ini nga pagsusugton ha kadayonan han ngatanan nga mga Israelita bisan diin hira mag-uokoy.
Leviticus,4,1,Ginsugo han Ginoo hi Moises
Leviticus,4,2,"hin pagsumat han mga tawo han Israel nga adton makasala ngan makasupak hin diri tinuyo han mga sugo han Ginoo , kinahanglan magtuman hiya hinin nasunod nga mga lagda."
