book,chapter,verse,text_Bikol,text_Cebuano
Exodus,1,1,"Iyo ini an mga aki ni Jacob na nag-iriba saiya pasiring sa Egipto, kaiba an saindang mga pamilya:","Mao kini ang mga ngalan sa mga anak nga lalaki ni Israel nga misulod sa Ehipto uban kang Jacob, ang matag usa uban sa iyang panimalay:"
Exodus,1,2,"si Ruben, Simeon, Levi, Juda,","si Ruben, si Simeon, si Levi, si Juda,"
Exodus,1,3,"Issakar, Zabulon, Benjamin,","si Isacar, si Zabulon, ug si Benjamin,"
Exodus,1,4,"Dan, Neftali, Gad, asin Aser.","si Dan, si Neftali, si Gad, ug si Aser."
Exodus,1,5,"Setenta gabos an kapagarakian ni Jacob. Si Jose na saro pa niyang aki, haloy na sa Egipto.","Ug ang tanang kaliwat ni Jacob, 70 ka buok. Si Jose didto nang daan sa Ehipto."
Exodus,1,6,"Dangan nagadan si Jose, an saiyang mga tugang asin an gabos na henerasyon na idto.","Unya namatay si Jose ug ang tanan niyang mga igsoon, ug ang tanan niadtong maong kaliwatan."
Exodus,1,7,"Alagad an saindang kapagarakian, an mga Israelita, nagkaigwa nin dakul na mga aki kaya kuminosog sinda asin napano ninda an Egipto.",Apan ang mga kaliwat ni Israel nagmabungahon ug midaghan pag-ayo ug misanay ug nahimong lig-on sa hilabihan gayod ug nalukop nila ang yuta.
Exodus,1,8,Dangan nagkaigwa an Egipto nin bagong hade na dai midbid si Jose.,Unya dihay miabot nga usa ka bag-ong hari sa Ehipto nga wala makaila kang Jose.
Exodus,1,9,"Nagsabi an hade sa saiyang banwaan, “Dakul nang marahay an mga Israelita asin mas makosog na ki sa sato.","Ug siya miingon sa iyang katawhan, “Tan-awa, ang katawhan sa Israel hilabihan ka daghan ug mas lig-on pa kay kanato."
Exodus,1,10,"Kaipuhan magin tuso kita tanganing mapugol an saindang pagdakul, ta kun magkagera, tibaad umapil sinda sa satong mga kaiwal, labanan kita dangan bayaan an satong daga.”","Dali kamo, magmaigmat kita sa pagharong kanila, basin unya ug modaghan sila ug kon moabot kanato ang gubat, unya moipon sila sa atong mga kaaway ug makig-away batok kanato ug moikyas gikan sa yuta.”"
Exodus,1,11,"Kaya nagbugtak sinda nin mga makuring parapamahala tanganing pasakitan an mga Israelita sa paagi nin mga magabat na trabaho. Ipinatugdok sa sainda kan hade an Pitom asin Rameses, mga syudad na sarayan kan mga pagkakan asin kagamitan.",Busa gibutangan nila sila ug mga tigdumala sa buhat aron sa paglisodlisod kanila pinaagi sa mga bug-at nga palas-anon. Ug nagtukod sila alang sa Paraon ug mga siyudad nga tigomanan sa mga bahandi nga mao ang Pitom ug Raamses.
Exodus,1,12,"Alagad kun kasuarin pinasakitan an mga Israelita, lalo logod sindang nagdakul asin orog na nakalakop sa daga nin Egipto. Natakot an mga Egipcio sa mga Israelita","Apan sa nagdugang ang pagdaogdaog kanila, misamot pa hinuon sila pagdaghan ug pagkatag sa nasod. Ug ang mga Ehiptohanon nangalisang sa katawhan sa Israel."
Exodus,1,13,kaya ginibo nindang makaherak an buhay kan mga ini sa paagi nin magagabat na trabaho.,Busa ilang gipaalagad pag-ayo ang Israel
Exodus,1,14,Mayong pagkaherak na pinirit nindang magtrabaho an mga Israelita sa saindang mga proyektong pagtugdok nin mga edipisyo asin sa gabos na trabaho sa saindang oma.,"ug gihimo ang ilang mga kinabuhi nga makaluluoy tungod sa bug-at nga buhat, sa pagmasa ug yuta, sa pagbuhat ug tisa ug sa tanang matang sa buhat diha sa uma, ug sa tanan nilang buluhaton gipabuhat sila sa walay kaluoy."
Exodus,1,15,"Dangan sinabihan kan hade si Sifra asin si Pua, mga parterang nagpapaaki sa mga babaeng Hebreyo.","Unya ang hari sa Ehipto miingon sa mga mananabang nga babaye nga Hebreo, nga ang usa kanila ginganlan ug Sipra ug ang usa si Pua,"
Exodus,1,16,"“Kun kamo magpaaki sa mga babaeng Hebreyo, gadanon nindo an aki kun lalaki alagad pabayaan nindong mabuhay kun babae.”","“Sa diha nga manabang kamo sa mga babayeng Hebreo ug makita ninyo sila diha ibabaw sa angkanan nga lantay, kon lalaki kini patya siya ug kon babaye, mabuhi siya.”"
Exodus,1,17,Alagad dai sinunod kan mga partera an pagboot kan hade huli ta may pagkatakot sinda sa Dios; pinabayaan nindang mabuhay an mga aking lalaki.,"Apan ang mga mananabang nahadlok sa Dios ug wala sila magbuhat sumala sa gisugo kanila sa hari, hinuon ilang gitugotan nga mabuhi ang mga bata nga lalaki."
Exodus,1,18,"Kaya ipinaapod sinda kan hade dangan hinapot, “Tano ta dai kamo nagsunod? Tadaw ta pinabayaan nindong mabuhay an mga aking lalaki?”","Ug ang hari sa Ehipto mipatawag sa mga mananabang ug miingon kanila, “Nganong gibuhat man ninyo kini, nga inyong gitugotan nga mabuhi ang mga bata nga lalaki?”"
Exodus,1,19,"Nagsimbag sinda, “Iba kaya an mga babaeng Hebreyo sa mga babaeng taga Egipto; bako sindang masakit mangaki, kaya bago umabot an saro samo, nakapangaki na sinda.”","Ang mga mananabang mitubag sa Paraon, “Kay ang mga babayeng Hebreo dili sama sa mga babayeng Ehiptohanon, lagsik sila, ug manganak na sa dili pa moabot ang mananabang.”"
Exodus,1,20,"Huli kaini, benendisyonan nin Dios an mga partera asin tinawan niya sinda nin dakul na mga aki.",Busa ang Dios nagbuhat ug maayo sa mga mananabang ug ang katawhan midaghan ug nahimong lig-on kaayo.
Exodus,1,21,Padagos man na nagdakul asin nagkosog an mga Israelita.,"Ug tungod kay ang mga mananabang nahadlok man sa Dios, gihatagan niya sila ug mga panimalay."
Exodus,1,22,"Kaya nagboot an hade sa mga Egipcio, “Itapok nindo sa Salog nin Nilo an lambang bagong mamundag na lalaki sa mga Hebreyo, alagad pabayaan nindong mabuhay an gabos na aking babae.”","Unya ang Paraon misugo sa tanan niyang katawhan, “Itambog ninyo sa suba ang tanang bata nga lalaki nga Hebreo nga matawo apan ang tanang bata nga babaye tugoti ninyo nga mabuhi.”"
