book,chapter,verse,text_Spanish,text_Bikol
Exodus,1,1,"Estos son los nombres de los hijos de Israel que, acompañados de sus familias, llegaron con Jacob a Egipto:","Iyo ini an mga aki ni Jacob na nag-iriba saiya pasiring sa Egipto, kaiba an saindang mga pamilya:"
Exodus,1,2,"Rubén, Simeón, Leví, Judá,","si Ruben, Simeon, Levi, Juda,"
Exodus,1,3,"Isacar, Zabulón, Benjamín,","Issakar, Zabulon, Benjamin,"
Exodus,1,4,"Dan, Neftalí, Gad y Aser.","Dan, Neftali, Gad, asin Aser."
Exodus,1,5,"En total, los descendientes de Jacob eran setenta. José ya estaba en Egipto.","Setenta gabos an kapagarakian ni Jacob. Si Jose na saro pa niyang aki, haloy na sa Egipto."
Exodus,1,6,Murieron José y sus hermanos y toda aquella generación.,"Dangan nagadan si Jose, an saiyang mga tugang asin an gabos na henerasyon na idto."
Exodus,1,7,"Sin embargo, los israelitas tuvieron muchos hijos y a tal grado se multiplicaron que fueron haciéndose más y más poderosos. El país se fue llenando de ellos.","Alagad an saindang kapagarakian, an mga Israelita, nagkaigwa nin dakul na mga aki kaya kuminosog sinda asin napano ninda an Egipto."
Exodus,1,8,Pero llegó al poder en Egipto un nuevo rey que no había conocido a José,Dangan nagkaigwa an Egipto nin bagong hade na dai midbid si Jose.
Exodus,1,9,"y dijo a su pueblo: «¡Cuidado con los israelitas, que ya son más fuertes y numerosos que nosotros!","Nagsabi an hade sa saiyang banwaan, “Dakul nang marahay an mga Israelita asin mas makosog na ki sa sato."
Exodus,1,10,"Vamos a tener que manejarlos con mucha astucia; de lo contrario, seguirán aumentando y, si estalla una guerra, se unirán a nuestros enemigos, nos combatirán y se irán del país».","Kaipuhan magin tuso kita tanganing mapugol an saindang pagdakul, ta kun magkagera, tibaad umapil sinda sa satong mga kaiwal, labanan kita dangan bayaan an satong daga.”"
Exodus,1,11,"Fue así como los egipcios pusieron capataces para que oprimieran a los israelitas. Les impusieron trabajos forzados, tales como los de edificar para el faraón las ciudades de almacenaje Pitón y Ramsés.","Kaya nagbugtak sinda nin mga makuring parapamahala tanganing pasakitan an mga Israelita sa paagi nin mga magabat na trabaho. Ipinatugdok sa sainda kan hade an Pitom asin Rameses, mga syudad na sarayan kan mga pagkakan asin kagamitan."
Exodus,1,12,"Pero cuanto más los oprimían, más se multiplicaban y se extendían, de modo que los egipcios llegaron a tenerles miedo;","Alagad kun kasuarin pinasakitan an mga Israelita, lalo logod sindang nagdakul asin orog na nakalakop sa daga nin Egipto. Natakot an mga Egipcio sa mga Israelita"
Exodus,1,13,por eso les imponían trabajos pesados y los trataban con crueldad.,kaya ginibo nindang makaherak an buhay kan mga ini sa paagi nin magagabat na trabaho.
Exodus,1,14,"Les amargaban la vida obligándolos a hacer mezcla, ladrillos y todas las labores del campo. En todos los trabajos de esclavos que los israelitas realizaban, los egipcios los trataban con crueldad.",Mayong pagkaherak na pinirit nindang magtrabaho an mga Israelita sa saindang mga proyektong pagtugdok nin mga edipisyo asin sa gabos na trabaho sa saindang oma.
Exodus,1,15,"Había dos parteras de las hebreas, llamadas Sifrá y Fuvá, a las que el rey de Egipto ordenó:","Dangan sinabihan kan hade si Sifra asin si Pua, mga parterang nagpapaaki sa mga babaeng Hebreyo."
Exodus,1,16,"—Cuando ayuden a las hebreas en sus partos, fíjense en el sexo: si es niño, mátenlo; pero si es niña, déjenla con vida.","“Kun kamo magpaaki sa mga babaeng Hebreyo, gadanon nindo an aki kun lalaki alagad pabayaan nindong mabuhay kun babae.”"
Exodus,1,17,"Sin embargo, las parteras temían a Dios, así que no siguieron las órdenes del rey de Egipto, sino que dejaron con vida a los varones.",Alagad dai sinunod kan mga partera an pagboot kan hade huli ta may pagkatakot sinda sa Dios; pinabayaan nindang mabuhay an mga aking lalaki.
Exodus,1,18,Entonces el rey de Egipto mandó llamar a las parteras y les preguntó: —¿Por qué han hecho esto? ¿Por qué han dejado con vida a los varones?,"Kaya ipinaapod sinda kan hade dangan hinapot, “Tano ta dai kamo nagsunod? Tadaw ta pinabayaan nindong mabuhay an mga aking lalaki?”"
Exodus,1,19,"Las parteras respondieron: —Resulta que las hebreas no son como las egipcias, sino que están llenas de vida y dan a luz antes de que lleguemos.","Nagsimbag sinda, “Iba kaya an mga babaeng Hebreyo sa mga babaeng taga Egipto; bako sindang masakit mangaki, kaya bago umabot an saro samo, nakapangaki na sinda.”"
Exodus,1,20,"De este modo los israelitas se hicieron más numerosos y más fuertes. Además, Dios trató muy bien a las parteras","Huli kaini, benendisyonan nin Dios an mga partera asin tinawan niya sinda nin dakul na mga aki."
Exodus,1,21,"y, por haberse mostrado temerosas de Dios, les concedió tener muchos hijos.",Padagos man na nagdakul asin nagkosog an mga Israelita.
