book,chapter,verse,text_Spanish,text_Tagalog
Genesis,1,1,En el principio Dios creó los cielos y la tierra.,"Nang pasimula, nilikha ng Diyos ang langit at ang lupa."
Genesis,1,2,"La tierra no tenía forma y estaba vacía, las tinieblas cubrían el abismo y el Espíritu de Dios se movía sobre la superficie de las aguas.","Ang lupa ay walang anyo at walang laman, at binalot sa kadiliman ang kalaliman samantalang ang Espiritu ng Diyos ay kumikilos sa ibabaw ng mga tubig."
Genesis,1,3,Y dijo Dios: «¡Que haya luz!». Y la luz llegó a existir.,"At sinabi ng Diyos, “Magkaroon ng liwanag,” at nagkaroon ng liwanag."
Genesis,1,4,Dios consideró que la luz era buena y la separó de las tinieblas.,"Nakita ng Diyos na ang liwanag ay mabuti, at ibinukod ng Diyos ang liwanag sa kadiliman."
Genesis,1,5,"A la luz la llamó «día» y a las tinieblas, «noche». Vino la noche y llegó la mañana: ese fue el primer día.","Tinawag ng Diyos ang liwanag na Araw, at ang kadiliman ay tinawag niyang Gabi. Nagkaroon ng gabi at nagkaroon ng umaga nang unang araw."
Genesis,1,6,Y dijo Dios: «¡Que haya una expansión en medio de las aguas y que las separe!».,"Sinabi ng Diyos, “Magkaroon ng isang kalawakan sa gitna ng tubig at paghiwalayin nito ang tubig.”"
Genesis,1,7,Y así sucedió. Dios hizo la expansión que separó las aguas que están debajo de las aguas que están arriba.,Ginawa ng Diyos ang kalawakan at ibinukod ang tubig na nasa ilalim ng kalawakan mula sa tubig na nasa itaas ng kalawakan. At ito ay nangyari.
Genesis,1,8,A esta expansión Dios la llamó «cielo». Vino la noche y llegó la mañana: ese fue el segundo día.,Tinawag ng Diyos ang kalawakan na Langit. Nagkaroon ng gabi at nagkaroon ng umaga nang ikalawang araw.
Genesis,1,9,Y dijo Dios: «¡Que las aguas debajo del cielo se reúnan en un solo lugar y que aparezca lo seco!». Y así sucedió.,"Sinabi ng Diyos, “Magtipon ang tubig na nasa silong ng langit sa isang dako at hayaang lumitaw ang lupa.” At ito ay nangyari."
Genesis,1,10,A lo seco Dios lo llamó «tierra» y al conjunto de aguas lo llamó «mares». Y Dios consideró que esto era bueno.,Tinawag ng Diyos ang tuyong lupa na Lupa at ang tubig na natipon ay tinawag niyang mga Dagat. At nakita ng Diyos na ito ay mabuti.
Genesis,1,11,"Luego dijo Dios: «¡Que haya vegetación sobre la tierra; que esta produzca hierbas que den semilla y árboles que den fruto con semilla, todos según su especie!». Y así sucedió.","Sinabi ng Diyos, “Sibulan ang lupa ng halaman, ng mga tanim na nagkakabinhi at ng punungkahoy na namumunga ayon sa kanyang binhi, ang bawat isa ayon sa kanyang uri sa ibabaw ng lupa.” At ito ay nangyari."
