book,chapter,verse,text_Tagalog,text_Cebuano
Genesis,1,1,"Nang pasimula, nilikha ng Diyos ang langit at ang lupa.",Sa sinugdan gibuhat sa Dios ang kalangitan ug ang yuta.
Genesis,1,2,"Ang lupa ay walang anyo at walang laman, at binalot sa kadiliman ang kalaliman samantalang ang Espiritu ng Diyos ay kumikilos sa ibabaw ng mga tubig.","Ug ang yuta walay dagway ug walay sulod ug ang kangitngit milukop sa nawong sa kahiladman, ug ang Espiritu sa Dios naglihok ibabaw sa katubigan."
Genesis,1,3,"At sinabi ng Diyos, “Magkaroon ng liwanag,” at nagkaroon ng liwanag.","Ug ang Dios miingon, “Motungha ang kahayag,” ug diha ang kahayag."
Genesis,1,4,"Nakita ng Diyos na ang liwanag ay mabuti, at ibinukod ng Diyos ang liwanag sa kadiliman.","Nakita sa Dios nga ang kahayag maayo, ug gilain sa Dios ang kahayag gikan sa kangitngit."
Genesis,1,5,"Tinawag ng Diyos ang liwanag na Araw, at ang kadiliman ay tinawag niyang Gabi. Nagkaroon ng gabi at nagkaroon ng umaga nang unang araw.","Ug gitawag sa Dios ang kahayag nga Adlaw, ug ang kangitngit gitawag niya nga Gabii. Dihay kagabhion ug dihay kabuntagon, una nga adlaw."
Genesis,1,6,"Sinabi ng Diyos, “Magkaroon ng isang kalawakan sa gitna ng tubig at paghiwalayin nito ang tubig.”","Unya ang Dios miingon, “Mahimo ang usa ka wanang taliwala sa mga katubigan ug bahinon niini ang katubigan gikan sa katubigan.”"
Genesis,1,7,Ginawa ng Diyos ang kalawakan at ibinukod ang tubig na nasa ilalim ng kalawakan mula sa tubig na nasa itaas ng kalawakan. At ito ay nangyari.,Busa gibuhat sa Dios ang wanang ug gilain niya ang katubigan nga diha sa ilalom sa wanang gikan sa katubigan nga diha sa ibabaw sa wanang. Ug nahimo kini.
Genesis,1,8,Tinawag ng Diyos ang kalawakan na Langit. Nagkaroon ng gabi at nagkaroon ng umaga nang ikalawang araw.,"Gitawag sa Dios ang wanang nga Langit. Dihay kagabhion ug dihay kabuntagon, ikaduha nga adlaw."
Genesis,1,9,"Sinabi ng Diyos, “Magtipon ang tubig na nasa silong ng langit sa isang dako at hayaang lumitaw ang lupa.” At ito ay nangyari.","Unya ang Dios miingon, “Matingob ang katubigan nga anaa sa ubos sa kalangitan ngadto sa usa ka dapit ug motungha ang uga nga yuta.” Ug nahimo kini."
Genesis,1,10,Tinawag ng Diyos ang tuyong lupa na Lupa at ang tubig na natipon ay tinawag niyang mga Dagat. At nakita ng Diyos na ito ay mabuti.,"Ang uga nga dapit gitawag sa Dios nga Yuta, ug ang katubigan nga natingob iyang gitawag nga Kadagatan. Ug nakita sa Dios nga kini maayo."
